ds,y
1980-01-01,243.311
1980-02-01,229.15
1980-03-01,252.966
1980-04-01,280.001
1980-05-01,319.909
1980-06-01,306.392
1980-07-01,301.886
1980-08-01,297.38
1980-09-01,326.989
1980-10-01,377.84
1980-11-01,362.392
1980-12-01,543.266
1981-01-01,317.978
1981-02-01,278.713
1981-03-01,285.15
1981-04-01,312.828
1981-05-01,332.783
1981-06-01,326.989
1981-07-01,323.127
1981-08-01,292.874
1981-09-01,292.874
1981-10-01,294.805
1981-11-01,316.691
1981-12-01,528.461
1982-01-01,323.771
1982-02-01,291.587
1982-03-01,303.817
1982-04-01,326.346
1982-05-01,361.104
1982-06-01,369.472
1982-07-01,346.944
1982-08-01,356.599
1982-09-01,374.622
1982-10-01,379.128
1982-11-01,415.817
1982-12-01,558.714
1983-01-01,323.771
1983-02-01,296.736
1983-03-01,338.576
1983-04-01,361.748
1983-05-01,420.323
1983-06-01,393.932
1983-07-01,379.771
1983-08-01,373.334
1983-09-01,391.357
1983-10-01,395.22
1983-11-01,420.323
1983-12-01,561.289
1984-01-01,353.38
1984-02-01,305.104
1984-03-01,344.369
1984-04-01,381.059
1984-05-01,437.059
1984-06-01,417.748
1984-07-01,397.151
1984-08-01,372.047
1984-09-01,337.932
1984-10-01,394.576
1984-11-01,388.139
1984-12-01,535.542
1985-01-01,354.024
1985-02-01,292.231
1985-03-01,330.208
1985-04-01,330.208
1985-05-01,380.415
1985-06-01,297.38
1985-07-01,277.426
1985-08-01,249.748
1985-09-01,239.449
1985-10-01,285.15
1985-11-01,278.713
1985-12-01,401.656
1986-01-01,283.219
1986-02-01,231.081
1986-03-01,256.828
1986-04-01,272.277
1986-05-01,296.093
1986-06-01,273.564
1986-07-01,307.035
1986-08-01,270.989
1986-09-01,279.357
1986-10-01,310.897
1986-11-01,317.978
1986-12-01,444.139
1987-01-01,296.736
1987-02-01,252.966
1987-03-01,306.392
1987-04-01,318.622
1987-05-01,369.472
1987-06-01,336.001
1987-07-01,334.714
1987-08-01,295.449
1987-09-01,316.047
1987-10-01,363.036
1987-11-01,390.07
1987-12-01,551.634
1988-01-01,317.334
1988-02-01,290.943
1988-03-01,331.495
1988-04-01,385.564
1988-05-01,435.128
1988-06-01,498.852
1988-07-01,329.564
1988-08-01,345.012
1988-09-01,373.334
1988-10-01,371.403
1988-11-01,392.001
1988-12-01,548.415
1989-01-01,342.438
1989-02-01,312.828
1989-03-01,348.231
1989-04-01,348.875
1989-05-01,404.875
1989-06-01,382.346
1989-07-01,357.242
1989-08-01,359.173
1989-09-01,336.645
1989-10-01,402.944
1989-11-01,462.806
1989-12-01,662.347
1990-01-01,397.794
1990-02-01,334.07
1990-03-01,383.633
1990-04-01,435.128
1990-05-01,467.312
1990-06-01,445.427
1990-07-01,406.162
1990-08-01,428.047
1990-09-01,387.495
1990-10-01,422.898
1990-11-01,442.208
1990-12-01,655.91
1991-01-01,396.507
1991-02-01,325.058
1991-03-01,375.265
1991-04-01,403.587
1991-05-01,442.208
1991-06-01,426.76
1991-07-01,466.668
1991-08-01,424.185
1991-09-01,425.472
1991-10-01,449.289
1991-11-01,476.967
1991-12-01,681.657
1992-01-01,476.323
1992-02-01,374.622
1992-03-01,424.185
1992-04-01,459.588
1992-05-01,477.611
1992-06-01,469.243
1992-07-01,469.243
1992-08-01,428.047
1992-09-01,455.725
1992-10-01,502.714
1992-11-01,496.921
1992-12-01,720.922
1993-01-01,433.197
1993-02-01,375.265
1993-03-01,439.633
1993-04-01,496.921
1993-05-01,500.783
1993-06-01,541.335
1993-07-01,472.461
1993-08-01,452.507
1993-09-01,463.45
1993-10-01,514.3
1993-11-01,550.346
1993-12-01,769.841
1994-01-01,476.967
1994-02-01,420.967
1994-03-01,469.243
1994-04-01,565.151
1994-05-01,573.519
1994-06-01,569.013
1994-07-01,590.898
1994-08-01,585.105
1994-09-01,587.036
1994-10-01,664.278
1994-11-01,678.439
1994-12-01,957.152
1995-01-01,562.576
1995-02-01,534.254
1995-03-01,632.737
1995-04-01,661.059
1995-05-01,719.634
1995-06-01,650.76
1995-07-01,657.197
1995-08-01,661.059
1995-09-01,668.14
1995-10-01,759.542
1995-11-01,773.06
1995-12-01,1007.359
1996-01-01,600.553
1996-02-01,518.162
1996-03-01,563.864
1996-04-01,705.473
1996-05-01,731.864
1996-06-01,655.266
1996-07-01,693.887
1996-08-01,638.531
1996-09-01,608.921
1996-10-01,634.025
1996-11-01,640.462
1996-12-01,896.003
1997-01-01,562.576
1997-02-01,475.68
1997-03-01,565.795
1997-04-01,597.979
1997-05-01,646.898
1997-06-01,617.289
1997-07-01,594.117
1997-08-01,544.553
1997-09-01,509.795
1997-10-01,585.105
1997-11-01,606.347
1997-12-01,866.393
1998-01-01,538.76
1998-02-01,463.45
1998-03-01,484.047
1998-04-01,537.473
1998-05-01,552.921
1998-06-01,527.818
1998-07-01,557.427
1998-08-01,510.438
