ds,y
1990-01-01,135.098
1990-02-01,127.535
1990-03-01,141.917
1990-04-01,135.033
1990-05-01,142.725
1990-06-01,137.877
1990-07-01,146.797
1990-08-01,153.229
1990-09-01,156.914
1990-10-01,156.009
1990-11-01,170.326
1990-12-01,222.071
1991-01-01,149.642
1991-02-01,148.672
1991-03-01,150.223
1991-04-01,147.379
1991-05-01,154.231
1991-06-01,148.09
1991-07-01,157.754
1991-08-01,163.41
1991-09-01,159.822
1991-10-01,164.347
1991-11-01,172.589
1991-12-01,227.63
1992-01-01,152.033
1992-02-01,145.666
1992-03-01,153.617
1992-04-01,150.934
1992-05-01,157.075
1992-06-01,152.971
1992-07-01,159.952
1992-08-01,159.014
1992-09-01,161.665
1992-10-01,169.745
1992-11-01,178.633
1992-12-01,242.465
1993-01-01,160.566
1993-02-01,151.581
1993-03-01,157.075
1993-04-01,160.663
1993-05-01,160.695
1993-06-01,157.916
1993-07-01,165.446
1993-08-01,159.661
1993-09-01,167.676
1993-10-01,165.705
1993-11-01,172.653
1993-12-01,231.993
1994-01-01,159.79
1994-02-01,150.353
1994-03-01,163.087
1994-04-01,165.252
1994-05-01,167.288
1994-06-01,160.113
1994-07-01,171.878
1994-08-01,172.33
1994-09-01,178.762
1994-10-01,176.92
1994-11-01,187.747
1994-12-01,256.104
1995-01-01,163.765
1995-02-01,161.762
1995-03-01,172.556
1995-04-01,163.572
1995-05-01,179.279
1995-06-01,182.479
1995-07-01,166.189
1995-08-01,174.754
1995-09-01,182.511
1995-10-01,184.289
1995-11-01,193.371
1995-12-01,256.524
1996-01-01,182.059
1996-02-01,175.207
1996-03-01,188.523
1996-04-01,183.933
1996-05-01,189.46
1996-06-01,181.832
1996-07-01,190.785
1996-08-01,198.122
1996-09-01,188.296
1996-10-01,200.901
1996-11-01,216.092
1996-12-01,285.353
1997-01-01,189.621
1997-02-01,178.568
1997-03-01,196.021
1997-04-01,196.667
1997-05-01,207.656
1997-06-01,190.171
1997-07-01,204.424
1997-08-01,215.348
1997-09-01,209.013
1997-10-01,208.367
1997-11-01,227.597
1997-12-01,300.091
1998-01-01,198.412
1998-02-01,188.878
1998-03-01,199.673
1998-04-01,201.968
1998-05-01,212.892
1998-06-01,207.204
1998-07-01,220.293
1998-08-01,222.297
1998-09-01,228.438
1998-10-01,242.044
1998-11-01,253.744
1998-12-01,326.27
1999-01-01,212.31
1999-02-01,204.359
1999-03-01,225.173
1999-04-01,208.108
1999-05-01,220.584
1999-06-01,213.635
1999-07-01,221.198
1999-08-01,219.841
1999-09-01,224.495
1999-10-01,226.725
1999-11-01,233.447
1999-12-01,311.048
2000-01-01,208.787
2000-02-01,196.085
2000-03-01,208.626
2000-04-01,202.129
2000-05-01,203.26
2000-06-01,202.517
2000-07-01,200.125
2000-08-01,203.454
2000-09-01,202.485
2000-10-01,205.394
2000-11-01,219.679
2000-12-01,297.732
2001-01-01,195.31
2001-02-01,183.254
2001-03-01,202.743
2001-04-01,197.701
2001-05-01,208.916
2001-06-01,205.038
2001-07-01,212.084
2001-08-01,218.031
2001-09-01,215.574
2001-10-01,219.0
2001-11-01,231.961
2001-12-01,311.759
2002-01-01,205.588
2002-02-01,189.363
2002-03-01,212.084
2002-04-01,200.578
2002-05-01,209.692
2002-06-01,203.939
2002-07-01,219.905
2002-08-01,231.573
2002-09-01,228.535
2002-10-01,241.624
2002-11-01,253.971
2002-12-01,352.159
2003-01-01,231.605
2003-02-01,227.339
2003-03-01,230.409
2003-04-01,224.107
2003-05-01,240.525
2003-06-01,222.459
2003-07-01,230.991
2003-08-01,235.096
2003-09-01,230.862
2003-10-01,244.436
2003-11-01,255.393
2003-12-01,349.541
2004-01-01,234.32
2004-02-01,225.141
2004-03-01,244.145
2004-04-01,234.74
2004-05-01,242.885
2004-06-01,234.966
2004-07-01,252.258
2004-08-01,242.982
2004-09-01,243.143
2004-10-01,254.326
2004-11-01,261.178
2004-12-01,351.157
2005-01-01,228.47
2005-02-01,217.19
2005-03-01,247.894
2005-04-01,226.854
2005-05-01,237.164
2005-06-01,236.938
2005-07-01,247.022
2005-08-01,252.936
2005-09-01,250.48
2005-10-01,266.381
2005-11-01,284.707
2005-12-01,376.302
2006-01-01,266.284
2006-02-01,251.611
2006-03-01,275.334
2006-04-01,255.037
2006-05-01,255.457
2006-06-01,252.096
2006-07-01,276.53
2006-08-01,286.937
2006-09-01,285.03
2006-10-01,282.638
2006-11-01,332.282
2006-12-01,401.511
2007-01-01,258.14
2007-02-01,258.334
2007-03-01,282.186
2007-04-01,258.204
2007-05-01,274.72
2007-06-01,277.952
2007-07-01,276.724
2007-08-01,290.201
2007-09-01,291.203
2007-10-01,306.814
2007-11-01,371.712
2007-12-01,402.125
2008-01-01,295.049
2008-02-01,287.131
2008-03-01,310.369
2008-04-01,305.489
2008-05-01,318.093
2008-06-01,294.629
2008-07-01,303.905
2008-08-01,310.175
2008-09-01,305.973
2008-10-01,327.402
2008-11-01,398.893
2008-12-01,442.267
2009-01-01,318.481
2009-02-01,301.061
2009-03-01,332.573
2009-04-01,313.86
2009-05-01,325.107
2009-06-01,310.951
2009-07-01,329.341
2009-08-01,339.845
2009-09-01,352.805
2009-10-01,369.094
2009-11-01,404.711
2009-12-01,465.149
2010-01-01,332.993
2010-02-01,314.797
2010-03-01,338.229
2010-04-01,318.643
2010-05-01,331.991
2010-06-01,337.065
2010-07-01,341.299
2010-08-01,343.626
2010-09-01,351.706
2010-10-01,362.598
2010-11-01,412.468
2010-12-01,471.42
2011-01-01,333.413
2011-02-01,331.28
2011-03-01,346.212
2011-04-01,342.657
2011-05-01,359.043
2011-06-01,344.337
2011-07-01,357.427
2011-08-01,358.623
2011-09-01,361.241
2011-10-01,369.741
2011-11-01,433.605
2011-12-01,487.838
