ds,y
1999-01-01,134.225
1999-02-01,121.497
1999-03-01,134.225
1999-04-01,134.225
1999-05-01,134.225
1999-06-01,114.554
1999-07-01,127.282
1999-08-01,127.282
1999-09-01,128.439
1999-10-01,129.596
1999-11-01,131.911
1999-12-01,143.482
2000-01-01,141.167
2000-02-01,135.382
2000-03-01,142.325
2000-04-01,124.968
2000-05-01,129.596
2000-06-01,123.811
2000-07-01,120.339
2000-08-01,119.182
2000-09-01,108.768
2000-10-01,128.439
2000-11-01,128.439
2000-12-01,136.539
2001-01-01,121.497
2001-02-01,114.554
2001-03-01,124.968
2001-04-01,129.596
2001-05-01,128.439
2001-06-01,130.753
2001-07-01,148.11
2001-08-01,142.325
2001-09-01,138.853
2001-10-01,143.482
2001-11-01,143.482
2001-12-01,152.739
2002-01-01,166.624
2002-02-01,152.739
2002-03-01,161.995
2002-04-01,160.838
2002-05-01,172.409
2002-06-01,159.681
2002-07-01,172.409
2002-08-01,178.195
2002-09-01,150.424
2002-10-01,149.267
2002-11-01,148.11
2002-12-01,152.739
2003-01-01,142.325
2003-02-01,134.225
2003-03-01,145.796
2003-04-01,142.325
2003-05-01,144.639
2003-06-01,136.539
2003-07-01,141.167
2003-08-01,141.167
2003-09-01,134.225
2003-10-01,145.796
2003-11-01,144.639
2003-12-01,153.896
2004-01-01,143.482
2004-02-01,128.439
2004-03-01,135.382
2004-04-01,127.282
2004-05-01,128.439
2004-06-01,127.282
2004-07-01,120.339
2004-08-01,116.868
2004-09-01,119.182
2004-10-01,137.696
2004-11-01,135.382
2004-12-01,144.639
2005-01-01,145.796
2005-02-01,136.539
2005-03-01,148.11
2005-04-01,143.482
2005-05-01,143.482
2005-06-01,136.539
2005-07-01,140.01
2005-08-01,138.853
2005-09-01,144.639
2005-10-01,151.581
2005-11-01,155.053
2005-12-01,170.095
2006-01-01,163.153
2006-02-01,142.325
2006-03-01,145.796
2006-04-01,135.382
2006-05-01,130.753
2006-06-01,130.753
2006-07-01,129.596
2006-08-01,131.911
2006-09-01,142.325
2006-10-01,150.424
2006-11-01,149.267
2006-12-01,161.995
2007-01-01,150.424
2007-02-01,142.325
2007-03-01,157.367
2007-04-01,165.467
2007-05-01,166.624
2007-06-01,177.038
2007-07-01,155.053
2007-08-01,152.739
2007-09-01,153.896
2007-10-01,142.325
2007-11-01,143.482
2007-12-01,152.739
2008-01-01,152.739
2008-02-01,138.853
2008-03-01,149.267
2008-04-01,142.325
2008-05-01,142.325
2008-06-01,137.696
2008-07-01,124.968
2008-08-01,123.811
2008-09-01,119.182
2008-10-01,134.225
2008-11-01,134.225
2008-12-01,141.167
2009-01-01,123.811
2009-02-01,109.925
2009-03-01,120.339
2009-04-01,140.01
2009-05-01,143.482
2009-06-01,140.01
2009-07-01,130.753
2009-08-01,130.753
2009-09-01,119.182
2009-10-01,148.11
2009-11-01,144.639
2009-12-01,151.581
2010-01-01,158.524
2010-02-01,150.424
2010-03-01,153.896
2010-04-01,165.467
2010-05-01,158.524
2010-06-01,164.31
2010-07-01,159.681
2010-08-01,155.053
2010-09-01,156.21
2010-10-01,168.938
2010-11-01,172.409
2010-12-01,187.452
2011-01-01,182.823
2011-02-01,167.781
2011-03-01,175.881
2011-04-01,178.195
2011-05-01,165.467
2011-06-01,165.467
2011-07-01,180.509
2011-08-01,171.252
2011-09-01,177.038
2011-10-01,173.566
2011-11-01,174.724
2011-12-01,185.138
2012-01-01,195.552
2012-02-01,167.781
2012-03-01,180.509
2012-04-01,171.252
2012-05-01,172.409
2012-06-01,177.038
2012-07-01,177.038
2012-08-01,177.038
2012-09-01,180.509
2012-10-01,199.023
2012-11-01,200.18
2012-12-01,202.494
2013-01-01,209.437
2013-02-01,202.494
2013-03-01,218.694
2013-04-01,197.866
2013-05-01,197.866
2013-06-01,197.866
2013-07-01,227.951
2013-08-01,244.15
2013-09-01,232.579
2013-10-01,258.036
2013-11-01,254.564
