ds,y
1994-01-01,10772.959
1994-04-01,8230.616
1994-07-01,13830.823
1994-10-01,11851.478
1995-01-01,9064.658
1995-04-01,9507.717
1995-07-01,7985.418
1995-10-01,8746.343
1996-01-01,9082.761
1996-04-01,7549.237
1996-07-01,7902.689
1996-10-01,9585.745
1997-01-01,9056.354
1997-04-01,8004.848
1997-07-01,6976.162
1997-10-01,8523.923
1998-01-01,10272.052
1998-04-01,8697.753
1998-07-01,8460.419
1998-10-01,7273.05
1999-01-01,10422.108
1999-04-01,7744.909
1999-07-01,7293.789
1999-10-01,7774.654
2000-01-01,9751.935
2000-04-01,8297.82
2000-07-01,7924.415
2000-10-01,10118.567
2001-01-01,9843.657
2001-04-01,8415.37
2001-07-01,8847.949
2001-10-01,7796.411
2002-01-01,11340.241
2002-04-01,10441.805
2002-07-01,10195.293
2002-10-01,8091.717
2003-01-01,9288.188
2003-04-01,8583.62
2003-07-01,7512.377
2003-10-01,9576.29
2004-01-01,11984.328
2004-04-01,8476.213
2004-07-01,8991.691
2004-10-01,9809.307
2005-01-01,10629.556
2005-04-01,9679.489
2005-07-01,7662.431
2005-10-01,7759.819
2006-01-01,11077.612
2006-04-01,9147.05
2006-07-01,9654.943
2006-10-01,8007.315
2007-01-01,10873.361
2007-04-01,10075.293
2007-07-01,10695.632
2007-10-01,9854.846
2008-01-01,10754.392
2008-04-01,9637.484
