ds,y
1987-10-01,14166.867
1987-11-01,14226.605
1987-12-01,14050.378
1988-01-01,13557.539
1988-02-01,14095.181
1988-03-01,14187.775
1988-04-01,14172.84
1988-05-01,13975.705
1988-06-01,13366.377
1988-07-01,13055.74
1988-08-01,13028.858
1988-09-01,13584.421
1988-10-01,14038.43
1988-11-01,14104.142
1988-12-01,13918.954
1989-01-01,13479.88
1989-02-01,13957.784
1989-03-01,14014.535
1989-04-01,14035.443
1989-05-01,13844.282
1989-06-01,13255.862
1989-07-01,13049.766
1989-08-01,12978.08
1989-09-01,13548.578
1989-10-01,14035.443
1989-11-01,14107.129
1989-12-01,13921.941
1990-01-01,13482.867
1990-02-01,13948.823
1990-03-01,14044.404
1990-04-01,14065.312
1990-05-01,13915.967
1990-06-01,13318.587
1990-07-01,13118.465
1990-08-01,13082.622
1990-09-01,13751.688
1990-10-01,14187.775
1990-11-01,14256.474
1990-12-01,14145.958
1991-01-01,13685.976
1991-02-01,14241.539
1991-03-01,14349.068
1991-04-01,14381.923
1991-05-01,14181.801
1991-06-01,13557.539
1991-07-01,13345.469
1991-08-01,13324.561
1991-09-01,14065.312
1991-10-01,14543.216
1991-11-01,14620.876
1991-12-01,14477.504
1992-01-01,13969.731
1992-02-01,14519.321
1992-03-01,14641.784
1992-04-01,14689.574
1992-05-01,14441.662
1992-06-01,13751.688
1992-07-01,13536.631
1992-08-01,13560.526
1992-09-01,14316.212
1992-10-01,14713.469
1992-11-01,14770.22
1992-12-01,14647.758
1993-01-01,14089.207
1993-02-01,14737.365
1993-03-01,14886.71
1993-04-01,14916.579
1993-05-01,14725.417
1993-06-01,14113.102
1993-07-01,13939.862
1993-08-01,14002.587
1993-09-01,14731.391
1993-10-01,15191.373
1993-11-01,15275.007
1993-12-01,15191.373
1994-01-01,14680.614
1994-02-01,15230.203
1994-03-01,15373.574
1994-04-01,15397.47
1994-05-01,15218.256
1994-06-01,14602.954
1994-07-01,14352.054
1994-08-01,14390.884
1994-09-01,14937.487
1994-10-01,15352.666
1994-11-01,15421.365
1994-12-01,15301.889
1995-01-01,14785.155
1995-02-01,15331.758
1995-03-01,15424.352
1995-04-01,15412.404
1995-05-01,15137.609
1995-06-01,14387.897
1995-07-01,14071.286
1995-08-01,14101.155
1995-09-01,14820.998
1995-10-01,15295.915
1995-11-01,15343.705
1995-12-01,15185.4
1996-01-01,14591.006
1996-02-01,15161.504
1996-03-01,15280.98
1996-04-01,15286.954
1996-05-01,14976.317
1996-06-01,14256.474
1996-07-01,14056.351
1996-08-01,14074.273
1996-09-01,14889.696
1996-10-01,15340.718
1996-11-01,15412.404
1996-12-01,15239.164
1997-01-01,14713.469
1997-02-01,15307.862
1997-03-01,15403.443
1997-04-01,15430.325
1997-05-01,15140.596
1997-06-01,14402.832
1997-07-01,14223.618
1997-08-01,14238.552
1997-09-01,15056.963
1997-10-01,15457.207
1997-11-01,15555.775
1997-12-01,15412.404
1998-01-01,14743.338
1998-02-01,15430.325
1998-03-01,15537.854
1998-04-01,15543.828
1998-05-01,15277.993
1998-06-01,14516.334
1998-07-01,14313.225
1998-08-01,14364.002
1998-09-01,15260.072
1998-10-01,15645.382
1998-11-01,15717.068
1998-12-01,15534.867
1999-01-01,14925.539
1999-02-01,15630.448
1999-03-01,15708.107
1999-04-01,15708.107
1999-05-01,15418.378
1999-06-01,14689.574
1999-07-01,14432.701
1999-08-01,14486.465
1999-09-01,15334.745
1999-10-01,15752.911
1999-11-01,15836.544
1999-12-01,15657.33
2000-01-01,15074.884
2000-02-01,15737.976
2000-03-01,15809.662
2000-04-01,15830.57
2000-05-01,15546.814
2000-06-01,14844.893
2000-07-01,14638.797
2000-08-01,14776.194
2000-09-01,15522.919
2000-10-01,15941.085
2000-11-01,16018.745
2000-12-01,15815.635
2001-01-01,15280.98
2001-02-01,15836.544
2001-03-01,15890.308
2001-04-01,15905.242
2001-05-01,15615.513
2001-06-01,14820.998
2001-07-01,14450.622
2001-08-01,14605.941
2001-09-01,15400.456
2001-10-01,15863.426
2001-11-01,15905.242
2001-12-01,15699.146
2002-01-01,15092.806
2002-02-01,15714.081
2002-03-01,15770.832
2002-04-01,15773.819
2002-05-01,15451.234
2002-06-01,14692.561
2002-07-01,14486.465
2002-08-01,14486.465
2002-09-01,15349.679
2002-10-01,15794.727
2002-11-01,15869.4
2002-12-01,15648.369
2003-01-01,15045.015
2003-02-01,15597.592
2003-03-01,15648.369
2003-04-01,15651.356
2003-05-01,15286.954
2003-06-01,14486.465
2003-07-01,14199.723
2003-08-01,14331.146
2003-09-01,15221.242
2003-10-01,15555.775
2003-11-01,15603.566
2003-12-01,15370.587
2004-01-01,14767.234
2004-02-01,15469.155
2004-03-01,15528.893
2004-04-01,15570.71
2004-05-01,15182.413
2004-06-01,14405.819
2004-07-01,14166.867
2004-08-01,14295.303
2004-09-01,15224.229
2004-10-01,15555.775
2004-11-01,15615.513
2004-12-01,15403.443
2005-01-01,14719.443
2005-02-01,15472.142
2005-03-01,15546.814
2005-04-01,15561.749
2005-05-01,15164.491
2005-06-01,14331.146
2005-07-01,14065.312
2005-08-01,14226.605
2005-09-01,15152.544
2005-10-01,15561.749
2005-11-01,15642.395
2005-12-01,15424.352
2006-01-01,14800.09
2006-02-01,15478.116
2006-03-01,15564.736
2006-04-01,15606.552
2006-05-01,15182.413
2006-06-01,14399.845
2006-07-01,14041.417
2006-08-01,14136.998
2006-09-01,15146.57
2006-10-01,15576.684
2006-11-01,15618.5
2006-12-01,15451.234
2007-01-01,14850.867
2007-02-01,15522.919
2007-03-01,15591.618
2007-04-01,15627.461
2007-05-01,15215.269
2007-06-01,14420.753
2007-07-01,14181.801
2007-08-01,14298.29
2007-09-01,15292.928
2007-10-01,15693.173
2007-11-01,15732.002
2007-12-01,15546.814
2008-01-01,14931.513
2008-02-01,15561.749
2008-03-01,15672.264
2008-04-01,15705.12
2008-05-01,15257.085
2008-06-01,14516.334
2008-07-01,14295.303
2008-08-01,14411.792
2008-09-01,15484.09
2008-10-01,15800.701
2008-11-01,15875.374
2008-12-01,15654.343
2009-01-01,15110.727
2009-02-01,15815.635
2009-03-01,15884.334
2009-04-01,15932.125
2009-05-01,15481.103
2009-06-01,14695.548
2009-07-01,14468.544
2009-08-01,14591.006
2009-09-01,15540.841
