ds,y
2005-01-01,21.446
2005-04-01,25.5
2005-07-01,30.881
2005-10-01,22.131
2006-01-01,35.376
2006-04-01,22.155
2006-07-01,28.613
2006-10-01,12.37
2007-01-01,25.776
2007-04-01,16.0
2007-07-01,30.253
2007-10-01,36.827
2008-01-01,13.795
2008-04-01,24.663
2008-07-01,25.669
2008-10-01,22.603
2009-01-01,25.21
2009-04-01,11.274
2009-07-01,30.44
2009-10-01,25.025
2010-01-01,23.246
2010-04-01,28.097
2010-07-01,39.717
2010-10-01,32.03
2011-01-01,26.506
2011-04-01,15.501
2011-07-01,32.896
2011-10-01,23.745
2012-01-01,23.174
2012-04-01,17.165
2012-07-01,33.651
2012-10-01,22.448
2013-01-01,24.593
2013-04-01,19.358
2013-07-01,33.688
2013-10-01,25.697
2014-01-01,23.977
2014-04-01,25.978
2014-07-01,29.688
2014-10-01,18.828
2015-01-01,19.5
2015-04-01,11.721
2015-07-01,32.712
2015-10-01,23.604
2016-01-01,29.447
2016-04-01,22.451
2016-07-01,27.737
2016-10-01,21.294
2017-01-01,16.445
2017-04-01,28.159
2017-07-01,25.563
2017-10-01,18.447
2018-01-01,13.442
2018-04-01,19.365
2018-07-01,40.085
2018-10-01,23.581
2019-01-01,25.427
2019-04-01,24.256
2019-07-01,29.86
2019-10-01,25.556
2020-01-01,8.06
2020-04-01,18.298
2020-07-01,22.094
2020-10-01,23.04
2021-01-01,23.432
2021-04-01,16.222
2021-07-01,27.599
2021-10-01,27.864
2022-01-01,19.066
2022-04-01,21.705
