ds,y
1978-01-01,28.216
1978-02-01,22.684
1978-03-01,28.216
1978-04-01,28.216
1978-05-01,29.323
1978-06-01,26.556
1978-07-01,27.663
1978-08-01,26.003
1978-09-01,27.663
1978-10-01,32.089
1978-11-01,29.323
1978-12-01,45.367
1979-01-01,28.216
1979-02-01,24.343
1979-03-01,29.323
1979-04-01,29.876
1979-05-01,32.089
1979-06-01,29.323
1979-07-01,29.323
1979-08-01,28.216
1979-09-01,30.983
1979-10-01,30.429
1979-11-01,30.983
1979-12-01,49.793
1980-01-01,28.216
1980-02-01,25.45
1980-03-01,32.089
1980-04-01,32.642
1980-05-01,29.876
1980-06-01,29.323
1980-07-01,28.77
1980-08-01,29.876
1980-09-01,32.089
1980-10-01,36.515
1980-11-01,34.855
1980-12-01,47.58
1981-01-01,27.663
1981-02-01,25.45
1981-03-01,30.429
1981-04-01,32.089
1981-05-01,30.429
1981-06-01,30.429
1981-07-01,26.003
1981-08-01,27.663
1981-09-01,30.429
1981-10-01,32.089
1981-11-01,31.536
1981-12-01,45.367
1982-01-01,29.876
1982-02-01,28.216
1982-03-01,29.876
1982-04-01,35.409
1982-05-01,34.302
1982-06-01,33.196
1982-07-01,29.876
1982-08-01,32.089
1982-09-01,32.642
1982-10-01,32.089
1982-11-01,35.409
1982-12-01,49.793
1983-01-01,34.855
1983-02-01,27.11
1983-03-01,31.536
1983-04-01,36.515
1983-05-01,38.175
1983-06-01,34.302
1983-07-01,33.196
1983-08-01,33.196
1983-09-01,31.536
1983-10-01,35.962
1983-11-01,37.622
1983-12-01,55.326
1984-01-01,36.515
1984-02-01,33.196
1984-03-01,31.536
1984-04-01,32.089
1984-05-01,32.642
1984-06-01,31.536
1984-07-01,38.175
1984-08-01,36.515
1984-09-01,36.515
1984-10-01,40.941
1984-11-01,39.835
1984-12-01,58.092
1985-01-01,34.302
1985-02-01,33.196
1985-03-01,37.622
1985-04-01,38.728
1985-05-01,38.728
1985-06-01,37.622
1985-07-01,42.601
1985-08-01,39.281
1985-09-01,39.835
1985-10-01,42.601
1985-11-01,39.835
1985-12-01,61.965
1986-01-01,34.302
1986-02-01,33.196
1986-03-01,35.962
1986-04-01,37.622
1986-05-01,41.494
1986-06-01,47.027
1986-07-01,38.175
1986-08-01,39.835
1986-09-01,39.281
1986-10-01,44.261
1986-11-01,47.027
1986-12-01,70.817
1987-01-01,40.388
1987-02-01,38.175
1987-03-01,44.261
1987-04-01,44.814
1987-05-01,47.58
1987-06-01,42.601
1987-07-01,45.367
1987-08-01,45.921
1987-09-01,47.58
1987-10-01,46.474
1987-11-01,49.793
1987-12-01,75.797
1988-01-01,46.474
1988-02-01,42.601
1988-03-01,44.261
1988-04-01,44.261
1988-05-01,45.921
1988-06-01,41.494
1988-07-01,44.261
1988-08-01,43.708
1988-09-01,47.027
1988-10-01,49.793
1988-11-01,56.433
1988-12-01,75.243
1989-01-01,39.281
1989-02-01,35.962
1989-03-01,39.835
1989-04-01,41.494
1989-05-01,42.048
1989-06-01,41.494
1989-07-01,39.835
1989-08-01,39.281
1989-09-01,42.048
1989-10-01,43.154
1989-11-01,48.134
1989-12-01,71.371
1990-01-01,44.814
1990-02-01,39.281
1990-03-01,42.048
1990-04-01,42.601
1990-05-01,43.708
1990-06-01,44.261
1990-07-01,40.388
1990-08-01,39.835
1990-09-01,42.601
1990-10-01,44.814
1990-11-01,46.474
1990-12-01,70.817
1991-01-01,43.154
1991-02-01,37.068
1991-03-01,40.941
1991-04-01,42.601
1991-05-01,44.814
1991-06-01,44.814
1991-07-01,42.601
1991-08-01,42.601
1991-09-01,44.814
1991-10-01,47.027
1991-11-01,49.24
1991-12-01,73.03
1992-01-01,45.921
1992-02-01,42.048
1992-03-01,47.58
1992-04-01,50.347
1992-05-01,51.453
1992-06-01,50.9
1992-07-01,48.134
1992-08-01,48.134
1992-09-01,51.453
1992-10-01,51.453
1992-11-01,51.453
1992-12-01,78.563
1993-01-01,47.027
1993-02-01,46.474
1993-03-01,52.006
1993-04-01,49.793
1993-05-01,53.113
1993-06-01,50.9
1993-07-01,46.474
1993-08-01,51.453
1993-09-01,49.793
1993-10-01,48.687
1993-11-01,48.134
1993-12-01,66.944
1994-01-01,47.027
1994-02-01,43.708
1994-03-01,43.154
1994-04-01,45.921
1994-05-01,47.58
1994-06-01,42.048
1994-07-01,42.601
1994-08-01,47.027
1994-09-01,51.453
1994-10-01,47.58
1994-11-01,52.006
1994-12-01,72.477
1995-01-01,52.006
1995-02-01,42.048
1995-03-01,50.347
1995-04-01,51.453
1995-05-01,56.433
1995-06-01,47.58
1995-07-01,47.027
1995-08-01,48.687
1995-09-01,48.134
1995-10-01,58.092
1995-11-01,58.646
1995-12-01,97.927
1996-01-01,56.433
1996-02-01,49.24
1996-03-01,53.666
1996-04-01,52.56
1996-05-01,55.879
1996-06-01,50.347
1996-07-01,50.9
1996-08-01,48.687
1996-09-01,48.687
1996-10-01,52.56
1996-11-01,55.879
1996-12-01,92.948
1997-01-01,53.113
1997-02-01,48.687
1997-03-01,53.113
1997-04-01,53.113
1997-05-01,54.219
1997-06-01,49.24
1997-07-01,46.474
1997-08-01,42.601
1997-09-01,48.134
1997-10-01,49.793
1997-11-01,52.006
1997-12-01,87.968
1998-01-01,52.56
1998-02-01,45.921
1998-03-01,48.134
1998-04-01,44.261
1998-05-01,49.793
1998-06-01,47.027
1998-07-01,42.048
1998-08-01,44.261
1998-09-01,44.261
1998-10-01,50.347
1998-11-01,53.666
1998-12-01,95.161
1999-01-01,55.326
1999-02-01,45.367
1999-03-01,46.474
1999-04-01,46.474
1999-05-01,50.347
1999-06-01,49.24
1999-07-01,45.367
1999-08-01,48.687
1999-09-01,49.793
1999-10-01,51.453
1999-11-01,57.539
1999-12-01,99.034
