ds,y
1981-10-01,3370.098
1981-11-01,3409.253
1981-12-01,3403.873
1982-01-01,3346.783
1982-02-01,3403.275
1982-03-01,3432.866
1982-04-01,3431.97
1982-05-01,3450.8
1982-06-01,3412.84
1982-07-01,3140.243
1982-08-01,3107.364
1982-09-01,3317.79
1982-10-01,3428.084
1982-11-01,3485.772
1982-12-01,3456.181
1983-01-01,3394.906
1983-02-01,3455.284
1983-03-01,3478.598
1983-04-01,3477.104
1983-05-01,3503.706
1983-06-01,3472.62
1983-07-01,3188.366
1983-08-01,3141.439
1983-09-01,3376.972
1983-10-01,3488.163
1983-11-01,3529.71
1983-12-01,3519.249
1984-01-01,3465.746
1984-02-01,3519.846
1984-03-01,3550.334
1984-04-01,3550.633
1984-05-01,3586.202
1984-06-01,3550.334
1984-07-01,3245.157
1984-08-01,3210.186
1984-09-01,3452.893
1984-10-01,3559.6
1984-11-01,3623.864
1984-12-01,3584.708
1985-01-01,3526.123
1985-02-01,3587.398
1985-03-01,3609.218
1985-04-01,3608.321
1985-05-01,3626.853
1985-06-01,3595.468
1985-07-01,3291.188
1985-08-01,3260.401
1985-09-01,3498.624
1985-10-01,3611.609
1985-11-01,3646.281
1985-12-01,3638.809
1986-01-01,3572.752
1986-02-01,3638.51
1986-03-01,3668.699
1986-04-01,3661.525
1986-05-01,3699.784
1986-06-01,3652.558
1986-07-01,3349.772
1986-08-01,3324.665
1986-09-01,3567.372
1986-10-01,3678.263
1986-11-01,3726.984
1986-12-01,3702.773
1987-01-01,3636.417
1987-02-01,3700.98
1987-03-01,3727.582
1987-04-01,3724.892
1987-05-01,3757.173
1987-06-01,3722.202
1987-07-01,3419.117
1987-08-01,3393.113
1987-09-01,3634.325
1987-10-01,3751.494
1987-11-01,3786.166
1987-12-01,3776.303
1988-01-01,3709.947
1988-02-01,3779.889
1988-03-01,3802.307
1988-04-01,3800.215
1988-05-01,3836.68
1988-06-01,3795.432
1988-07-01,3490.255
1988-08-01,3469.332
1988-09-01,3706.659
1988-10-01,3818.447
1988-11-01,3865.375
1988-12-01,3849.533
1989-01-01,3785.568
1989-02-01,3857.603
1989-03-01,3884.803
1989-04-01,3884.803
1989-05-01,3917.981
1989-06-01,3885.999
1989-07-01,3587.398
1989-08-01,3567.969
1989-09-01,3804.399
1989-10-01,3920.074
1989-11-01,3961.322
1989-12-01,3957.137
1990-01-01,3902.438
1990-02-01,3958.632
1990-03-01,3990.315
1990-04-01,3996.293
1990-05-01,4024.688
1990-06-01,3973.577
1990-07-01,3665.71
1990-08-01,3656.444
1990-09-01,3889.885
1990-10-01,3998.684
1990-11-01,4038.438
1990-12-01,4030.069
1991-01-01,3973.876
1991-02-01,4047.405
1991-03-01,4069.822
1991-04-01,4078.192
1991-05-01,4106.886
1991-06-01,4068.627
1991-07-01,3760.76
1991-08-01,3756.575
1991-09-01,3991.212
1991-10-01,4103.0
1991-11-01,4143.651
1991-12-01,4140.064
1992-01-01,4077.594
1992-02-01,4146.939
1992-03-01,4169.954
1992-04-01,4168.459
1992-05-01,4208.512
1992-06-01,4145.444
1992-07-01,3821.436
1992-08-01,3826.518
1992-09-01,4062.649
1992-10-01,4172.345
1992-11-01,4207.018
1992-12-01,4195.659
1993-01-01,4132.292
1993-02-01,4190.877
1993-03-01,4208.213
1993-04-01,4208.811
1993-05-01,4229.734
1993-06-01,4182.807
1993-07-01,3872.25
1993-08-01,3859.696
1993-09-01,4068.328
1993-10-01,4186.991
1993-11-01,4220.169
1993-12-01,4208.213
1994-01-01,4140.064
1994-02-01,4201.637
1994-03-01,4233.321
1994-04-01,4228.837
1994-05-01,4258.428
1994-06-01,4192.969
1994-07-01,3878.825
1994-08-01,3884.803
1994-09-01,4117.348
1994-10-01,4232.723
1994-11-01,4270.683
1994-12-01,4250.358
1995-01-01,4183.105
1995-02-01,4248.565
1995-03-01,4266.2
1995-04-01,4265.303
1995-05-01,4293.698
1995-06-01,4228.538
1995-07-01,3926.649
1995-08-01,3935.915
1995-09-01,4162.182
1995-10-01,4266.2
1995-11-01,4300.872
1995-12-01,4284.134
1996-01-01,4210.305
1996-02-01,4279.351
1996-03-01,4301.171
1996-04-01,4300.872
1996-05-01,4322.393
1996-06-01,4262.314
1996-07-01,3952.056
1996-08-01,3965.506
1996-09-01,4204.626
1996-10-01,4320.6
1996-11-01,4354.375
1996-12-01,4340.327
1997-01-01,4265.303
1997-02-01,4334.947
1997-03-01,4357.364
1997-04-01,4360.353
1997-05-01,4391.738
1997-06-01,4338.235
1997-07-01,3997.788
1997-08-01,4027.08
1997-09-01,4247.967
1997-10-01,4378.287
1997-11-01,4410.27
1997-12-01,4405.487
1998-01-01,4331.061
1998-02-01,4406.982
1998-03-01,4428.204
1998-04-01,4424.617
1998-05-01,4457.496
1998-06-01,4408.775
1998-07-01,4079.985
1998-08-01,4096.126
1998-09-01,4304.758
1998-10-01,4428.502
1998-11-01,4457.795
1998-12-01,4437.469
1999-01-01,4358.859
1999-02-01,4422.524
1999-03-01,4441.953
1999-04-01,4438.665
1999-05-01,4465.267
1999-06-01,4414.753
1999-07-01,4059.66
1999-08-01,4070.42
1999-09-01,4275.466
1999-10-01,4405.188
1999-11-01,4437.768
1999-12-01,4410.568
2000-01-01,4327.474
2000-02-01,4380.678
2000-03-01,4402.199
2000-04-01,4401.601
2000-05-01,4427.307
2000-06-01,4366.331
2000-07-01,4002.57
2000-08-01,4013.928
2000-09-01,4210.006
2000-10-01,4335.246
2000-11-01,4363.043
2000-12-01,4334.349
2001-01-01,4256.336
2001-02-01,4313.127
2001-03-01,4332.556
2001-04-01,4334.947
2001-05-01,4344.81
2001-06-01,4294.894
2001-07-01,3924.856
2001-08-01,3946.974
2001-09-01,4154.112
2001-10-01,4275.167
2001-11-01,4299.676
2001-12-01,4276.661
2002-01-01,4201.338
2002-02-01,4270.085
2002-03-01,4284.433
2002-04-01,4276.661
2002-05-01,4302.068
2002-06-01,4241.092
2002-07-01,3900.346
2002-08-01,3948.768
2002-09-01,4147.238
2002-10-01,4253.646
2002-11-01,4282.938
2002-12-01,4267.096
2003-01-01,4189.98
2003-02-01,4257.83
2003-03-01,4270.384
2003-04-01,4269.488
2003-05-01,4300.274
2003-06-01,4245.576
2003-07-01,3897.656
2003-08-01,3952.952
2003-09-01,4154.411
