ds,y
2005-01-01,901.061
2005-02-01,791.865
2005-03-01,887.121
2005-04-01,842.978
2005-05-01,969.212
2005-06-01,924.294
2005-07-01,886.347
2005-08-01,849.173
2005-09-01,848.786
2005-10-01,833.297
2005-11-01,955.272
2005-12-01,1316.548
2006-01-01,921.584
2006-02-01,880.926
2006-03-01,980.828
2006-04-01,913.452
2006-05-01,1015.678
2006-06-01,1016.84
2006-07-01,1015.291
2006-08-01,974.246
2006-09-01,921.584
2006-10-01,947.915
2006-11-01,967.276
2006-12-01,1361.078
2007-01-01,880.926
2007-02-01,915.775
2007-03-01,911.516
2007-04-01,864.662
2007-05-01,1012.193
2007-06-01,995.155
2007-07-01,984.7
2007-08-01,908.031
2007-09-01,875.504
2007-10-01,897.576
2007-11-01,882.474
2007-12-01,1332.037
2008-01-01,940.945
2008-02-01,827.489
2008-03-01,947.527
2008-04-01,895.253
2008-05-01,939.783
2008-06-01,942.493
2008-07-01,932.426
2008-08-01,864.662
2008-09-01,823.617
2008-10-01,837.17
2008-11-01,816.26
2008-12-01,1261.176
2009-01-01,928.554
2009-02-01,803.482
2009-03-01,820.906
2009-04-01,849.561
2009-05-01,841.816
2009-06-01,870.471
2009-07-01,873.956
2009-08-01,901.061
2009-09-01,877.828
2009-10-01,902.223
2009-11-01,916.937
2009-12-01,1352.559
2010-01-01,841.429
2010-02-01,857.692
2010-03-01,871.632
2010-04-01,795.35
2010-05-01,971.148
2010-06-01,1169.017
2010-07-01,892.929
2010-08-01,955.272
2010-09-01,914.226
2010-10-01,985.088
2010-11-01,1049.753
2010-12-01,1502.414
2011-01-01,1064.468
2011-02-01,972.309
2011-03-01,1013.355
2011-04-01,892.542
2011-05-01,997.092
2011-06-01,1033.49
2011-07-01,1072.212
2011-08-01,1052.464
2011-09-01,941.332
2011-10-01,986.637
2011-11-01,1131.457
2011-12-01,1604.252
2012-01-01,1121.776
2012-02-01,908.031
2012-03-01,980.828
2012-04-01,1022.648
2012-05-01,1210.45
2012-06-01,1203.093
2012-07-01,1133.393
2012-08-01,1148.495
2012-09-01,1061.757
2012-10-01,1143.073
2012-11-01,1248.397
2012-12-01,1732.035
2013-01-01,1216.258
2013-02-01,1018.776
2013-03-01,1083.829
2013-04-01,1030.392
2013-05-01,1165.532
2013-06-01,1162.822
2013-07-01,1150.818
2013-08-01,1120.227
2013-09-01,1093.509
2013-10-01,1239.104
2013-11-01,1263.499
2013-12-01,1820.321
2014-01-01,1336.296
2014-02-01,1128.746
2014-03-01,1210.837
2014-04-01,1110.547
2014-05-01,1185.28
2014-06-01,1284.409
2014-07-01,1342.879
2014-08-01,1261.176
2014-09-01,1239.878
2014-10-01,1381.214
2014-11-01,1478.793
2014-12-01,2046.07
2015-01-01,1415.289
2015-02-01,1233.296
2015-03-01,1299.898
2015-04-01,1317.71
2015-05-01,1419.936
2015-06-01,1457.883
2015-07-01,1401.736
2015-08-01,1370.372
2015-09-01,1365.725
2015-10-01,1349.849
2015-11-01,1477.244
2015-12-01,2200.958
2016-01-01,1489.248
2016-02-01,1204.254
2016-03-01,1316.935
2016-04-01,1242.976
2016-05-01,1412.579
2016-06-01,1545.395
2016-07-01,1450.139
2016-08-01,1385.86
2016-09-01,1404.447
2016-10-01,1483.44
2016-11-01,1617.805
2016-12-01,2394.956
2017-01-01,1598.444
2017-02-01,1387.409
2017-03-01,1589.538
2017-04-01,1412.191
2017-05-01,1519.838
2017-06-01,1702.606
2017-07-01,1637.166
2017-08-01,1652.268
2017-09-01,1628.26
2017-10-01,1627.873
2017-11-01,1848.976
2017-12-01,2728.352
2018-01-01,1828.453
2018-02-01,1563.982
2018-03-01,1590.7
2018-04-01,1695.636
2018-05-01,1724.678
2018-06-01,1910.543
2018-07-01,1763.4
2018-08-01,1749.46
2018-09-01,1680.148
2018-10-01,1780.05
2018-11-01,1876.855
2018-12-01,3030.771
2019-01-01,1908.22
2019-02-01,1570.177
2019-03-01,1718.095
2019-04-01,1653.429
2019-05-01,1783.923
2019-06-01,2044.134
2019-07-01,1881.115
2019-08-01,1797.475
2019-09-01,1658.463
2019-10-01,1792.829
2019-11-01,1989.149
2019-12-01,2830.578
2020-01-01,1904.735
2020-02-01,1520.613
2020-03-01,1660.012
2020-04-01,1675.114
2020-05-01,1802.122
2020-06-01,1999.217
2020-07-01,1845.103
