ds,y
1979-01-01,182.415
1979-02-01,168.42
1979-03-01,185.954
1979-04-01,217.0
1979-05-01,222.63
1979-06-01,183.541
1979-07-01,210.405
1979-08-01,193.515
1979-09-01,174.051
1979-10-01,207.188
1979-11-01,203.166
1979-12-01,289.548
1980-01-01,175.981
1980-02-01,157.965
1980-03-01,179.681
1980-04-01,211.209
1980-05-01,218.126
1980-06-01,201.558
1980-07-01,203.166
1980-08-01,173.407
1980-09-01,177.429
1980-10-01,210.244
1980-11-01,195.284
1980-12-01,288.1
1981-01-01,172.924
1981-02-01,151.852
1981-03-01,178.394
1981-04-01,189.815
1981-05-01,201.397
1981-06-01,203.327
1981-07-01,206.223
1981-08-01,174.855
1981-09-01,165.203
1981-10-01,177.589
1981-11-01,190.78
1981-12-01,276.84
1982-01-01,156.517
1982-02-01,138.661
1982-03-01,173.085
1982-04-01,180.485
1982-05-01,183.863
1982-06-01,161.664
1982-07-01,168.099
1982-08-01,155.712
1982-09-01,160.86
1982-10-01,171.155
1982-11-01,176.946
1982-12-01,277.323
1983-01-01,173.568
1983-02-01,141.396
1983-03-01,158.93
1983-04-01,180.807
1983-05-01,167.616
1983-06-01,167.455
1983-07-01,158.286
1983-08-01,146.222
1983-09-01,146.061
1983-10-01,158.125
1983-11-01,167.455
1983-12-01,244.829
1984-01-01,154.586
1984-02-01,121.288
1984-03-01,143.487
1984-04-01,167.134
1984-05-01,165.847
1984-06-01,154.104
1984-07-01,153.3
1984-08-01,138.018
1984-09-01,137.053
1984-10-01,161.986
1984-11-01,153.621
1984-12-01,220.7
1985-01-01,150.404
1985-02-01,112.763
1985-03-01,141.396
1985-04-01,172.442
1985-05-01,167.294
1985-06-01,145.096
1985-07-01,158.769
1985-08-01,144.131
1985-09-01,152.334
1985-10-01,162.951
1985-11-01,174.051
1985-12-01,243.059
1986-01-01,149.278
1986-02-01,133.192
1986-03-01,165.364
1986-04-01,196.571
1986-05-01,207.027
1986-06-01,192.549
1986-07-01,212.335
1986-08-01,191.263
1986-09-01,196.088
1986-10-01,197.375
1986-11-01,216.839
1986-12-01,332.498
1987-01-01,182.254
1987-02-01,172.924
1987-03-01,217.161
1987-04-01,232.443
1987-05-01,228.582
1987-06-01,236.625
1987-07-01,225.204
1987-08-01,225.365
1987-09-01,243.059
1987-10-01,244.668
1987-11-01,250.137
1987-12-01,373.034
1988-01-01,218.93
1988-02-01,194.962
1988-03-01,229.547
1988-04-01,239.038
1988-05-01,266.062
1988-06-01,295.017
1988-07-01,178.394
1988-08-01,193.193
1988-09-01,195.445
1988-10-01,195.445
1988-11-01,237.429
1988-12-01,353.731
1989-01-01,200.271
1989-02-01,174.211
1989-03-01,221.182
1989-04-01,229.226
1989-05-01,232.604
1989-06-01,221.343
1989-07-01,207.992
1989-08-01,197.054
1989-09-01,197.858
1989-10-01,217.322
1989-11-01,229.226
1989-12-01,338.289
1990-01-01,209.922
1990-02-01,183.702
1990-03-01,225.526
1990-04-01,265.741
1990-05-01,271.532
1990-06-01,245.955
1990-07-01,240.164
1990-08-01,237.108
1990-09-01,244.99
1990-10-01,264.776
1990-11-01,282.953
1990-12-01,381.399
1991-01-01,220.217
1991-02-01,204.775
1991-03-01,260.754
1991-04-01,286.974
1991-05-01,292.926
1991-06-01,268.314
1991-07-01,253.194
1991-08-01,245.633
1991-09-01,253.033
1991-10-01,287.457
1991-11-01,302.578
1991-12-01,420.81
1992-01-01,263.489
1992-02-01,250.459
1992-03-01,275.392
1992-04-01,318.181
1992-05-01,328.637
1992-06-01,311.908
1992-07-01,307.725
1992-08-01,293.891
1992-09-01,300.004
1992-10-01,305.956
1992-11-01,309.656
1992-12-01,422.258
1993-01-01,264.615
1993-02-01,243.381
1993-03-01,287.939
1993-04-01,285.205
1993-05-01,322.846
1993-06-01,311.586
1993-07-01,282.792
1993-08-01,283.757
1993-09-01,317.538
1993-10-01,309.012
1993-11-01,305.312
1993-12-01,421.453
1994-01-01,268.475
1994-02-01,245.472
1994-03-01,292.283
1994-04-01,302.578
1994-05-01,306.438
1994-06-01,301.452
1994-07-01,284.24
1994-08-01,290.513
1994-09-01,305.151
1994-10-01,337.645
1994-11-01,344.08
1994-12-01,460.703
1995-01-01,308.047
1995-02-01,286.974
1995-03-01,353.731
1995-04-01,357.109
1995-05-01,366.117
1995-06-01,364.67
1995-07-01,362.9
1995-08-01,348.744
1995-09-01,356.787
1995-10-01,397.485
1995-11-01,417.753
1995-12-01,580.222
1996-01-01,357.753
1996-02-01,325.902
1996-03-01,365.956
1996-04-01,420.488
1996-05-01,446.869
1996-06-01,391.855
1996-07-01,416.467
1996-08-01,400.863
1996-09-01,428.048
1996-10-01,444.939
1996-11-01,464.885
1996-12-01,656.952
1997-01-01,434.483
1997-02-01,360.487
1997-03-01,466.011
1997-04-01,492.875
1997-05-01,499.631
1997-06-01,476.306
1997-07-01,464.885
1997-08-01,450.73
1997-09-01,451.534
1997-10-01,451.856
1997-11-01,486.119
1997-12-01,660.33
1998-01-01,458.451
1998-02-01,371.908
1998-03-01,452.66
1998-04-01,459.577
1998-05-01,486.923
1998-06-01,466.494
1998-07-01,455.073
1998-08-01,430.783
1998-09-01,450.569
1998-10-01,485.315
1998-11-01,512.5
1998-12-01,765.533
1999-01-01,454.912
1999-02-01,376.412
1999-03-01,467.781
1999-04-01,498.827
1999-05-01,503.814
1999-06-01,485.475
1999-07-01,432.392
1999-08-01,423.705
1999-09-01,426.601
1999-10-01,464.885
1999-11-01,462.633
1999-12-01,734.004
2000-01-01,467.137
2000-02-01,380.756
2000-03-01,492.071
2000-04-01,478.719
2000-05-01,507.674
2000-06-01,498.988
2000-07-01,462.151
2000-08-01,456.038
2000-09-01,441.078
2000-10-01,506.709
2000-11-01,535.02
2000-12-01,757.972
