ds,y
2006-01-01,1267.759
2006-02-01,1274.439
2006-03-01,1281.427
2006-04-01,1288.918
2006-05-01,1298.223
2006-06-01,1307.875
2006-07-01,1315.327
2006-08-01,1319.806
2006-09-01,1323.474
2006-10-01,1329.844
2006-11-01,1335.945
2006-12-01,1342.624
2007-01-01,1339.728
2007-02-01,1344.632
2007-03-01,1355.597
2007-04-01,1364.4
2007-05-01,1373.358
2007-06-01,1384.786
2007-07-01,1389.149
2007-08-01,1396.292
2007-09-01,1397.528
2007-10-01,1405.25
2007-11-01,1410.732
2007-12-01,1419.728
2008-01-01,1415.25
2008-02-01,1424.593
2008-03-01,1433.86
2008-04-01,1436.717
2008-05-01,1444.593
2008-06-01,1457.45
2008-07-01,1461.118
2008-08-01,1466.717
2008-09-01,1467.836
2008-10-01,1474.13
2008-11-01,1482.894
2008-12-01,1490.462
2009-01-01,1481.08
2009-02-01,1490.655
2009-03-01,1499.998
2009-04-01,1505.636
2009-05-01,1514.091
2009-06-01,1525.288
2009-07-01,1528.3
2009-08-01,1534.053
2009-09-01,1533.628
2009-10-01,1540.192
2009-11-01,1548.145
2009-12-01,1553.28
2010-01-01,1553.164
2010-02-01,1556.369
2010-03-01,1563.203
2010-04-01,1570.191
2010-05-01,1578.415
2010-06-01,1583.744
2010-07-01,1586.717
2010-08-01,1588.84
2010-09-01,1587.218
2010-10-01,1594.554
2010-11-01,1597.257
2010-12-01,1603.859
2011-01-01,1595.172
2011-02-01,1595.983
2011-03-01,1600.462
2011-04-01,1600.578
2011-05-01,1604.67
2011-06-01,1610.964
2011-07-01,1608.724
2011-08-01,1608.686
2011-09-01,1607.18
2011-10-01,1612.431
2011-11-01,1615.751
2011-12-01,1619.11
2012-01-01,1610.346
2012-02-01,1614.014
2012-03-01,1620.5
2012-04-01,1627.025
2012-05-01,1628.956
2012-06-01,1635.79
2012-07-01,1637.064
2012-08-01,1638.222
2012-09-01,1634.67
2012-10-01,1639.226
2012-11-01,1647.18
2012-12-01,1649.612
2013-01-01,1643.126
2013-02-01,1646.253
2013-03-01,1652.431
2013-04-01,1656.91
2013-05-01,1661.466
2013-06-01,1671.89
2013-07-01,1673.242
2013-08-01,1676.021
2013-09-01,1675.327
2013-10-01,1681.234
