ds,y
1980-10-01,330.884
1980-11-01,333.737
1980-12-01,333.737
1981-01-01,333.166
1981-02-01,335.448
1981-03-01,337.73
1981-04-01,344.005
1981-05-01,348.569
1981-06-01,354.845
1981-07-01,359.979
1981-08-01,363.402
1981-09-01,367.396
1981-10-01,371.959
1981-11-01,378.235
1981-12-01,383.369
1982-01-01,386.222
1982-02-01,391.927
1982-03-01,398.202
1982-04-01,401.054
1982-05-01,405.048
1982-06-01,409.041
1982-07-01,412.464
1982-08-01,415.887
1982-09-01,417.028
1982-10-01,422.163
1982-11-01,427.297
1982-12-01,430.149
1983-01-01,431.861
1983-02-01,438.136
1983-03-01,442.13
1983-04-01,444.982
1983-05-01,447.264
1983-06-01,451.258
1983-07-01,452.969
1983-08-01,456.392
1983-09-01,454.681
1983-10-01,460.385
1983-11-01,462.097
1983-12-01,465.52
1984-01-01,464.949
1984-02-01,468.372
1984-03-01,474.077
1984-04-01,480.353
1984-05-01,484.917
1984-06-01,488.91
1984-07-01,491.192
1984-08-01,494.044
1984-09-01,493.474
1984-10-01,500.32
1984-11-01,504.884
1984-12-01,507.166
1985-01-01,510.589
1985-02-01,512.871
1985-03-01,518.575
1985-04-01,524.28
1985-05-01,529.985
1985-06-01,540.254
1985-07-01,546.529
1985-08-01,552.805
1985-09-01,556.798
1985-10-01,567.638
1985-11-01,576.765
1985-12-01,585.893
1986-01-01,592.739
1986-02-01,600.726
1986-03-01,609.854
1986-04-01,630.391
1986-05-01,654.923
1986-06-01,678.883
1986-07-01,705.126
1986-08-01,726.234
1986-09-01,745.63
1986-10-01,774.725
1986-11-01,799.256
1986-12-01,824.929
1987-01-01,848.889
1987-02-01,869.427
1987-03-01,893.958
1987-04-01,902.515
1987-05-01,899.663
1987-06-01,907.65
1987-07-01,909.361
1987-08-01,905.368
1987-09-01,900.804
1987-10-01,899.663
1987-11-01,907.65
1987-12-01,908.22
1988-01-01,907.65
1988-02-01,893.387
1988-03-01,890.535
1988-04-01,875.702
1988-05-01,860.299
1988-06-01,845.466
1988-07-01,839.191
1988-08-01,818.653
1988-09-01,798.116
1988-10-01,779.289
1988-11-01,765.027
1988-12-01,754.758
1989-01-01,741.637
1989-02-01,729.086
1989-03-01,721.099
1989-04-01,714.253
1989-05-01,713.683
1989-06-01,710.831
1989-07-01,708.549
1989-08-01,700.562
1989-09-01,684.018
1989-10-01,685.729
1989-11-01,680.024
1989-12-01,669.185
1990-01-01,666.332
1990-02-01,664.05
1990-03-01,665.191
1990-04-01,664.621
1990-05-01,656.634
1990-06-01,660.057
1990-07-01,662.909
1990-08-01,661.768
1990-09-01,657.204
1990-10-01,658.345
1990-11-01,658.345
1990-12-01,655.493
1991-01-01,648.077
1991-02-01,657.775
1991-03-01,661.768
1991-04-01,669.185
1991-05-01,673.178
1991-06-01,681.736
1991-07-01,674.89
1991-08-01,677.742
1991-09-01,666.903
1991-10-01,665.762
1991-11-01,664.621
1991-12-01,664.05
1992-01-01,666.332
1992-02-01,660.627
1992-03-01,662.909
1992-04-01,662.339
1992-05-01,668.044
1992-06-01,675.46
1992-07-01,675.46
1992-08-01,678.313
1992-09-01,675.46
1992-10-01,672.608
1992-11-01,680.024
1992-12-01,682.306
1993-01-01,685.729
1993-02-01,689.722
1993-03-01,690.863
1993-04-01,695.998
1993-05-01,698.85
1993-06-01,695.427
1993-07-01,685.158
1993-08-01,687.44
1993-09-01,682.877
1993-10-01,682.877
1993-11-01,682.306
1993-12-01,690.863
1994-01-01,684.018
1994-02-01,685.729
1994-03-01,693.145
1994-04-01,705.126
1994-05-01,718.247
1994-06-01,727.945
1994-07-01,729.086
1994-08-01,735.932
1994-09-01,736.503
1994-10-01,745.06
1994-11-01,742.207
