ds,y
1983-01-01,121.385
1983-02-01,112.107
1983-03-01,115.045
1983-04-01,117.055
1983-05-01,112.88
1983-06-01,116.436
1983-07-01,125.869
1983-08-01,115.972
1983-09-01,123.859
1983-10-01,127.879
1983-11-01,127.724
1983-12-01,152.774
1984-01-01,122.003
1984-02-01,121.385
1984-03-01,130.817
1984-04-01,117.828
1984-05-01,121.075
1984-06-01,122.158
1984-07-01,124.786
1984-08-01,123.704
1984-09-01,125.714
1984-10-01,122.622
1984-11-01,126.178
1984-12-01,152.156
1985-01-01,121.539
1985-02-01,118.292
1985-03-01,131.436
1985-04-01,125.405
1985-05-01,124.786
1985-06-01,126.178
1985-07-01,129.271
1985-08-01,131.899
1985-09-01,130.353
1985-10-01,132.363
1985-11-01,139.786
1985-12-01,158.032
1986-01-01,132.673
1986-02-01,131.281
1986-03-01,134.064
1986-04-01,128.807
1986-05-01,134.373
1986-06-01,125.405
1986-07-01,126.178
1986-08-01,131.59
1986-09-01,125.25
1986-10-01,134.528
1986-11-01,136.693
1986-12-01,153.548
1987-01-01,143.187
1987-02-01,127.724
1987-03-01,140.404
1987-04-01,135.611
1987-05-01,143.806
1987-06-01,132.363
1987-07-01,142.26
1987-08-01,138.703
1987-09-01,136.074
1987-10-01,153.702
1987-11-01,150.455
1987-12-01,157.723
1988-01-01,144.424
1988-02-01,134.064
1988-03-01,141.177
1988-04-01,142.26
1988-05-01,142.878
1988-06-01,134.528
1988-07-01,142.723
1988-08-01,140.404
1988-09-01,138.085
1988-10-01,148.136
1988-11-01,141.177
1988-12-01,167.31
1989-01-01,145.816
1989-02-01,134.837
1989-03-01,149.527
1989-04-01,142.414
1989-05-01,140.868
1989-06-01,137.775
1989-07-01,145.816
1989-08-01,142.878
1989-09-01,145.816
1989-10-01,152.465
1989-11-01,147.208
1989-12-01,178.288
1990-01-01,145.198
1990-02-01,144.579
1990-03-01,155.403
1990-04-01,141.177
1990-05-01,140.713
1990-06-01,141.332
1990-07-01,143.806
1990-08-01,150.146
1990-09-01,147.672
1990-10-01,153.702
1990-11-01,158.96
1990-12-01,186.02
1991-01-01,159.578
1991-02-01,152.156
1991-03-01,169.32
1991-04-01,155.558
1991-05-01,160.351
1991-06-01,154.63
1991-07-01,154.321
1991-08-01,166.227
1991-09-01,157.568
1991-10-01,162.825
1991-11-01,166.073
1991-12-01,184.937
1992-01-01,174.268
1992-02-01,157.259
1992-03-01,176.587
1992-04-01,164.062
1992-05-01,173.34
1992-06-01,161.434
1992-07-01,163.444
1992-08-01,169.938
1992-09-01,160.042
1992-10-01,177.515
1992-11-01,174.732
1992-12-01,192.669
1993-01-01,184.783
1993-02-01,165.918
1993-03-01,174.268
1993-04-01,173.804
1993-05-01,177.67
1993-06-01,158.496
1993-07-01,180.299
1993-08-01,178.443
1993-09-01,176.433
1993-10-01,196.535
1993-11-01,190.35
1993-12-01,214.936
1994-01-01,204.73
1994-02-01,181.536
