ds,y
1990-01-01,128.273
1990-04-01,120.762
1990-07-01,109.06
1990-10-01,127.101
1991-01-01,147.26
1991-04-01,127.485
1991-07-01,119.281
1991-10-01,90.353
1992-01-01,150.066
1992-04-01,141.059
1992-07-01,95.306
1992-10-01,122.301
1993-01-01,116.829
1993-04-01,98.833
1993-07-01,122.022
1993-10-01,129.718
1994-01-01,140.377
1994-04-01,117.917
1994-07-01,108.103
1994-10-01,92.414
1995-01-01,131.261
1995-04-01,97.651
1995-07-01,85.525
1995-10-01,115.951
1996-01-01,130.789
1996-04-01,102.423
1996-07-01,104.467
1996-10-01,99.373
1997-01-01,102.526
1997-04-01,85.037
1997-07-01,93.537
1997-10-01,86.171
1998-01-01,123.832
1998-04-01,112.575
1998-07-01,93.436
1998-10-01,129.978
1999-01-01,112.502
1999-04-01,119.903
1999-07-01,102.684
1999-10-01,123.143
2000-01-01,122.469
2000-04-01,92.969
2000-07-01,102.98
2000-10-01,101.034
2001-01-01,111.724
2001-04-01,88.011
2001-07-01,75.406
2001-10-01,93.25
2002-01-01,100.264
2002-04-01,89.629
2002-07-01,82.437
2002-10-01,78.71
2003-01-01,99.988
2003-04-01,67.821
2003-07-01,81.934
2003-10-01,103.31
2004-01-01,112.499
2004-04-01,89.818
2004-07-01,76.209
2004-10-01,93.116
2005-01-01,131.324
2005-04-01,95.255
2005-07-01,82.186
2005-10-01,110.979
2006-01-01,166.709
2006-04-01,116.306
2006-07-01,102.386
2006-10-01,131.764
2007-01-01,158.409
2007-04-01,94.001
