ds,y
2005-01-01,61.975
2005-02-01,62.921
2005-03-01,66.233
2005-04-01,62.921
2005-05-01,73.802
2005-06-01,70.49
2005-07-01,71.91
2005-08-01,73.329
2005-09-01,69.544
2005-10-01,75.694
2005-11-01,71.91
2005-12-01,73.802
2006-01-01,60.082
2006-02-01,61.029
2006-03-01,63.394
2006-04-01,67.179
2006-05-01,72.856
2006-06-01,67.652
2006-07-01,81.845
2006-08-01,80.425
2006-09-01,76.167
2006-10-01,82.318
2006-11-01,76.167
2006-12-01,86.102
2007-01-01,66.233
2007-02-01,71.91
2007-03-01,82.791
2007-04-01,81.845
2007-05-01,86.102
2007-06-01,87.049
2007-07-01,86.102
2007-08-01,83.264
2007-09-01,86.575
2007-10-01,89.887
2007-11-01,84.683
2007-12-01,92.726
2008-01-01,78.06
2008-02-01,76.641
2008-03-01,83.737
2008-04-01,79.006
2008-05-01,87.995
2008-06-01,90.36
2008-07-01,88.468
2008-08-01,91.306
2008-09-01,90.833
2008-10-01,94.618
2008-11-01,100.768
2008-12-01,123.003
2009-01-01,90.833
2009-02-01,91.306
2009-03-01,99.822
2009-04-01,102.187
2009-05-01,105.026
2009-06-01,115.907
2009-07-01,98.403
2009-08-01,103.607
2009-09-01,100.768
2009-10-01,102.187
2009-11-01,100.768
2009-12-01,111.176
2010-01-01,86.575
2010-02-01,82.318
2010-03-01,87.522
2010-04-01,87.522
2010-05-01,102.661
2010-06-01,109.757
2010-07-01,100.768
2010-08-01,109.757
2010-09-01,93.199
2010-10-01,111.649
2010-11-01,107.865
2010-12-01,121.584
2011-01-01,101.241
2011-02-01,92.253
2011-03-01,100.768
2011-04-01,106.918
2011-05-01,109.757
2011-06-01,113.542
2011-07-01,94.145
2011-08-01,102.187
2011-09-01,96.51
2011-10-01,93.199
2011-11-01,92.253
2011-12-01,101.241
2012-01-01,91.306
2012-02-01,83.737
2012-03-01,91.306
2012-04-01,87.995
2012-05-01,95.564
2012-06-01,100.295
2012-07-01,104.553
2012-08-01,111.176
2012-09-01,109.757
2012-10-01,119.219
2012-11-01,115.434
2012-12-01,128.68
2013-01-01,101.714
2013-02-01,95.564
2013-03-01,106.918
2013-04-01,106.445
2013-05-01,116.38
2013-06-01,130.573
2013-07-01,114.961
2013-08-01,118.746
2013-09-01,113.069
2013-10-01,119.219
2013-11-01,119.692
2013-12-01,129.627
2014-01-01,111.649
2014-02-01,103.134
2014-03-01,115.907
2014-04-01,113.069
2014-05-01,113.069
2014-06-01,123.476
2014-07-01,120.165
2014-08-01,129.154
2014-09-01,121.584
2014-10-01,125.369
2014-11-01,127.734
2014-12-01,151.862
2015-01-01,116.853
2015-02-01,109.757
2015-03-01,126.788
2015-04-01,116.853
2015-05-01,133.411
2015-06-01,150.916
2015-07-01,146.658
2015-08-01,150.916
2015-09-01,144.766
2015-10-01,141.927
2015-11-01,142.873
2015-12-01,166.528
2016-01-01,138.142
2016-02-01,125.369
2016-03-01,148.077
2016-04-01,143.819
2016-05-01,157.066
2016-06-01,166.055
2016-07-01,171.732
2016-08-01,180.247
2016-09-01,176.936
2016-10-01,182.613
2016-11-01,177.882
2016-12-01,214.31
2017-01-01,161.324
2017-02-01,155.647
2017-03-01,165.582
2017-04-01,177.882
2017-05-01,184.505
2017-06-01,191.128
2017-07-01,200.117
2017-08-01,190.655
2017-09-01,193.021
2017-10-01,198.698
2017-11-01,193.021
2017-12-01,233.706
2018-01-01,176.463
2018-02-01,158.485
2018-03-01,189.236
2018-04-01,167.947
2018-05-01,190.182
2018-06-01,205.794
2018-07-01,198.698
2018-08-01,193.021
2018-09-01,191.601
2018-10-01,221.879
2018-11-01,219.987
2018-12-01,243.168
2019-01-01,181.193
2019-02-01,173.624
2019-03-01,197.752
2019-04-01,194.913
2019-05-01,203.902
2019-06-01,208.633
2019-07-01,209.579
2019-08-01,213.837
2019-09-01,211.471
2019-10-01,210.998
2019-11-01,207.213
2019-12-01,232.287
2020-01-01,184.505
2020-02-01,172.678
2020-03-01,196.805
2020-04-01,190.655
2020-05-01,206.267
2020-06-01,210.525
2020-07-01,203.902
2020-08-01,224.245
2020-09-01,219.041
2020-10-01,214.783
2020-11-01,215.256
2020-12-01,230.395
2021-01-01,190.655
2021-02-01,182.613
2021-03-01,193.494
2021-04-01,182.14
2021-05-01,204.375
2021-06-01,224.718
2021-07-01,225.191
2021-08-01,222.825
2021-09-01,213.364
2021-10-01,210.525
2021-11-01,203.902
2021-12-01,235.599
2022-01-01,180.247
2022-02-01,165.582
2022-03-01,173.624
2022-04-01,164.635
2022-05-01,187.344
2022-06-01,186.397
2022-07-01,202.483
2022-08-01,207.213
2022-09-01,196.805
2022-10-01,187.344
2022-11-01,186.871
2022-12-01,211.471
2023-01-01,182.14
2023-02-01,168.42
2023-03-01,182.613
2023-04-01,175.989
2023-05-01,198.698
2023-06-01,213.364
2023-07-01,207.687
2023-08-01,212.417
2023-09-01,213.364
2023-10-01,201.063
2023-11-01,195.386
2023-12-01,219.987
2024-01-01,167.474
2024-02-01,166.528
2024-03-01,182.613
