ds,y
1981-10-01,103.418
1981-11-01,103.225
1981-12-01,103.341
1982-01-01,101.953
1982-02-01,102.068
1982-03-01,102.57
1982-04-01,103.958
1982-05-01,104.96
1982-06-01,106.156
1982-07-01,107.004
1982-08-01,107.505
1982-09-01,107.544
1982-10-01,107.852
1982-11-01,106.773
1982-12-01,106.464
1983-01-01,104.729
1983-02-01,104.806
1983-03-01,105.307
1983-04-01,106.888
1983-05-01,108.662
1983-06-01,110.243
1983-07-01,111.014
1983-08-01,111.438
1983-09-01,111.323
1983-10-01,110.821
1983-11-01,110.282
1983-12-01,109.549
1984-01-01,107.698
1984-02-01,108.084
1984-03-01,108.893
1984-04-01,110.089
1984-05-01,112.364
1984-06-01,113.636
1984-07-01,114.562
1984-08-01,114.87
1984-09-01,114.562
1984-10-01,114.523
1984-11-01,112.904
1984-12-01,112.055
1985-01-01,110.127
1985-02-01,110.513
1985-03-01,110.667
1985-04-01,112.672
1985-05-01,115.102
1985-06-01,116.76
1985-07-01,117.878
1985-08-01,118.611
1985-09-01,118.495
1985-10-01,118.379
1985-11-01,117.994
1985-12-01,117.839
1986-01-01,116.181
1986-02-01,116.258
1986-03-01,117.184
1986-04-01,118.533
1986-05-01,119.767
1986-06-01,121.387
1986-07-01,122.389
1986-08-01,122.389
1986-09-01,121.965
1986-10-01,121.156
1986-11-01,120.423
1986-12-01,119.15
1987-01-01,116.875
1987-02-01,115.911
1987-03-01,116.683
1987-04-01,119.343
1987-05-01,121.04
1987-06-01,122.042
1987-07-01,122.351
1987-08-01,123.315
1987-09-01,123.276
1987-10-01,123.508
1987-11-01,122.428
1987-12-01,121.078
1988-01-01,118.842
1988-02-01,119.189
1988-03-01,119.922
1988-04-01,120.808
1988-05-01,122.389
1988-06-01,124.356
1988-07-01,124.125
1988-08-01,123.855
1988-09-01,124.125
1988-10-01,124.163
1988-11-01,123.546
1988-12-01,122.775
1989-01-01,120.924
1989-02-01,121.233
1989-03-01,120.963
1989-04-01,122.081
1989-05-01,122.274
1989-06-01,124.317
1989-07-01,124.896
1989-08-01,124.857
1989-09-01,123.238
1989-10-01,123.585
1989-11-01,121.85
1989-12-01,122.775
1990-01-01,121.348
1990-02-01,120.577
1990-03-01,120.808
1990-04-01,124.086
1990-05-01,125.127
1990-06-01,125.59
1990-07-01,128.675
1990-08-01,125.937
1990-09-01,125.667
1990-10-01,124.51
1990-11-01,123.855
1990-12-01,124.317
1991-01-01,120.847
1991-02-01,121.618
1991-03-01,122.659
1991-04-01,125.281
1991-05-01,126.477
1991-06-01,129.33
1991-07-01,129.754
1991-08-01,129.986
1991-09-01,129.215
1991-10-01,128.945
1991-11-01,128.366
1991-12-01,127.865
1992-01-01,126.13
1992-02-01,127.017
1992-03-01,127.055
1992-04-01,128.405
1992-05-01,128.328
1992-06-01,131.914
1992-07-01,134.304
1992-08-01,134.613
1992-09-01,132.569
1992-10-01,130.41
1992-11-01,130.448
1992-12-01,131.065
1993-01-01,129.677
1993-02-01,130.14
1993-03-01,131.528
1993-04-01,133.109
1993-05-01,134.42
1993-06-01,136.849
1993-07-01,137.929
1993-08-01,136.348
1993-09-01,135.384
1993-10-01,135.616
1993-11-01,134.96
1993-12-01,134.844
1994-01-01,133.61
1994-02-01,133.649
1994-03-01,134.073
1994-04-01,135.346
1994-05-01,136.888
1994-06-01,139.24
1994-07-01,139.857
1994-08-01,139.51
1994-09-01,137.736
1994-10-01,136.888
1994-11-01,138.045
1994-12-01,137.891
1995-01-01,136.425
1995-02-01,134.767
1995-03-01,135.577
1995-04-01,136.888
1995-05-01,137.891
1995-06-01,139.24
1995-07-01,140.011
1995-08-01,140.011
1995-09-01,138.006
1995-10-01,138.43
1995-11-01,137.659
1995-12-01,135.963
1996-01-01,135.114
1996-02-01,132.569
1996-03-01,131.991
1996-04-01,133.649
1996-05-01,134.96
1996-06-01,136.502
1996-07-01,137.968
1996-08-01,137.891
1996-09-01,137.428
1996-10-01,137.736
1996-11-01,137.042
1996-12-01,134.652
1997-01-01,132.724
1997-02-01,131.682
1997-03-01,132.454
1997-04-01,134.266
1997-05-01,137.698
1997-06-01,140.05
1997-07-01,142.711
1997-08-01,142.826
1997-09-01,140.821
1997-10-01,139.857
1997-11-01,139.549
1997-12-01,138.623
1998-01-01,136.849
1998-02-01,136.425
1998-03-01,136.888
1998-04-01,138.469
1998-05-01,140.358
1998-06-01,142.325
1998-07-01,143.829
1998-08-01,144.369
1998-09-01,144.137
1998-10-01,143.559
1998-11-01,141.862
1998-12-01,141.014
1999-01-01,140.436
1999-02-01,140.243
1999-03-01,140.088
1999-04-01,141.939
1999-05-01,143.019
1999-06-01,146.297
1999-07-01,147.415
1999-08-01,145.95
1999-09-01,144.33
1999-10-01,144.253
1999-11-01,143.713
1999-12-01,143.173
2000-01-01,142.402
2000-02-01,141.322
2000-03-01,141.862
2000-04-01,143.212
2000-05-01,145.603
2000-06-01,148.533
2000-07-01,149.921
2000-08-01,148.842
2000-09-01,147.531
2000-10-01,146.489
2000-11-01,145.834
2000-12-01,144.986
2001-01-01,143.636
2001-02-01,143.675
2001-03-01,144.947
2001-04-01,146.489
2001-05-01,148.61
2001-06-01,152.042
2001-07-01,153.893
2001-08-01,152.852
2001-09-01,151.309
2001-10-01,150.23
2001-11-01,149.767
2001-12-01,148.996
2002-01-01,148.032
2002-02-01,148.456
2002-03-01,148.533
2002-04-01,150.615
2002-05-01,153.122
2002-06-01,156.322
2002-07-01,157.132
2002-08-01,155.782
2002-09-01,155.05
2002-10-01,154.356
2002-11-01,154.047
2002-12-01,153.43
2003-01-01,150.924
2003-02-01,150.461
2003-03-01,151.695
2003-04-01,154.24
2003-05-01,155.127
2003-06-01,158.057
2003-07-01,159.291
2003-08-01,159.176
2003-09-01,157.595
