ds,y
2011-01-01,56.498
2011-04-01,30.114
2011-07-01,70.577
2011-10-01,46.8
2012-01-01,47.043
2012-04-01,44.806
2012-07-01,47.217
2012-10-01,42.676
2013-01-01,67.97
2013-04-01,23.738
2013-07-01,81.549
2013-10-01,74.269
2014-01-01,78.372
2014-04-01,45.065
2014-07-01,57.935
2014-10-01,28.02
2015-01-01,104.558
2015-04-01,19.782
2015-07-01,31.795
2015-10-01,45.876
2016-01-01,59.941
2016-04-01,25.136
2016-07-01,12.088
2016-10-01,33.903
2017-01-01,46.773
2017-04-01,47.694
2017-07-01,42.704
2017-10-01,70.683
2018-01-01,73.784
2018-04-01,67.992
2018-07-01,18.718
2018-10-01,36.839
2019-01-01,66.981
2019-04-01,49.964
2019-07-01,61.038
2019-10-01,42.719
2020-01-01,39.749
2020-04-01,37.047
2020-07-01,38.412
2020-10-01,40.053
2021-01-01,21.937
2021-04-01,2.405
2021-07-01,35.764
2021-10-01,83.918
2022-01-01,28.661
2022-04-01,47.072
2022-07-01,19.614
2022-10-01,76.479
2023-01-01,67.086
2023-04-01,43.995
2023-07-01,30.425
2023-10-01,60.135
2024-01-01,50.479
2024-04-01,33.269
2024-07-01,71.282
2024-10-01,95.181
2025-01-01,77.715
2025-04-01,83.851
