ds,y
1999-01-01,563.98
1999-02-01,560.809
1999-03-01,564.901
1999-04-01,569.453
1999-05-01,574.67
1999-06-01,575.796
1999-07-01,573.494
1999-08-01,574.056
1999-09-01,576.665
1999-10-01,580.297
1999-11-01,581.013
1999-12-01,581.32
2000-01-01,574.21
2000-02-01,574.21
2000-03-01,576.972
2000-04-01,582.24
2000-05-01,588.276
2000-06-01,590.629
2000-07-01,587.714
2000-08-01,586.742
2000-09-01,587.662
2000-10-01,590.118
2000-11-01,590.834
2000-12-01,591.652
2001-01-01,581.729
2001-02-01,585.309
2001-03-01,588.174
2001-04-01,595.028
2001-05-01,600.501
2001-06-01,602.445
2001-07-01,599.427
2001-08-01,599.785
2001-09-01,599.376
2001-10-01,601.319
2001-11-01,600.603
2001-12-01,601.524
2002-01-01,593.749
2002-02-01,594.823
2002-03-01,598.608
2002-04-01,602.24
2002-05-01,607.048
2002-06-01,607.815
2002-07-01,604.184
2002-08-01,603.979
2002-09-01,607.304
2002-10-01,608.174
2002-11-01,608.174
2002-12-01,608.89
2003-01-01,600.808
2003-02-01,603.826
2003-03-01,607.611
2003-04-01,613.391
2003-05-01,620.705
2003-06-01,622.035
2003-07-01,619.068
2003-08-01,618.813
2003-09-01,620.296
2003-10-01,623.467
2003-11-01,624.337
2003-12-01,625.411
2004-01-01,615.181
2004-02-01,616.46
2004-03-01,618.301
2004-04-01,622.598
2004-05-01,627.252
2004-06-01,628.173
2004-07-01,626.485
2004-08-01,624.746
2004-09-01,625.411
2004-10-01,627.917
2004-11-01,628.429
2004-12-01,629.35
2005-01-01,619.989
2005-02-01,622.189
2005-03-01,627.457
2005-04-01,631.498
2005-05-01,636.818
2005-06-01,641.012
2005-07-01,637.534
2005-08-01,639.835
2005-09-01,641.37
2005-10-01,643.262
2005-11-01,643.876
2005-12-01,644.183
2006-01-01,633.493
2006-02-01,634.823
2006-03-01,637.585
2006-04-01,642.393
2006-05-01,647.406
2006-06-01,648.48
2006-07-01,644.337
2006-08-01,643.109
2006-09-01,644.234
2006-10-01,642.239
2006-11-01,641.063
2006-12-01,643.978
2007-01-01,632.879
2007-02-01,632.981
2007-03-01,637.943
2007-04-01,643.211
2007-05-01,648.275
2007-06-01,650.935
2007-07-01,645.666
2007-08-01,647.047
2007-09-01,645.104
2007-10-01,643.927
2007-11-01,644.49
2007-12-01,644.183
2008-01-01,637.892
2008-02-01,639.886
2008-03-01,641.268
2008-04-01,645.564
2008-05-01,650.986
2008-06-01,652.521
2008-07-01,649.094
2008-08-01,648.838
2008-09-01,646.383
2008-10-01,648.122
2008-11-01,648.48
2008-12-01,646.587
2009-01-01,638.659
2009-02-01,637.738
2009-03-01,646.638
2009-04-01,652.879
2009-05-01,662.341
2009-06-01,664.848
2009-07-01,657.687
2009-08-01,655.845
2009-09-01,649.145
2009-10-01,647.047
2009-11-01,648.991
2009-12-01,651.14
2010-01-01,643.416
2010-02-01,642.7
2010-03-01,649.349
2010-04-01,656.817
2010-05-01,662.137
2010-06-01,663.876
2010-07-01,655.845
2010-08-01,656.561
2010-09-01,651.242
2010-10-01,650.423
2010-11-01,651.498
2010-12-01,651.753
2011-01-01,651.037
2011-02-01,650.423
2011-03-01,652.827
2011-04-01,658.914
2011-05-01,665.052
2011-06-01,666.536
2011-07-01,661.779
2011-08-01,659.784
2011-09-01,659.221
2011-10-01,660.142
2011-11-01,659.886
2011-12-01,662.546
2012-01-01,654.925
2012-02-01,657.789
2012-03-01,663.211
2012-04-01,672.009
2012-05-01,680.244
2012-06-01,678.863
2012-07-01,675.794
2012-08-01,673.799
2012-09-01,669.809
2012-10-01,667.763
2012-11-01,671.958
2012-12-01,672.52
2013-01-01,664.336
2013-02-01,666.28
2013-03-01,673.697
2013-04-01,680.551
2013-05-01,685.308
2013-06-01,686.842
2013-07-01,682.699
2013-08-01,682.955
2013-09-01,679.579
2013-10-01,676.561
2013-11-01,669.451
2013-12-01,670.116
2014-01-01,655.743
2014-02-01,656.357
2014-03-01,655.385
2014-04-01,657.584
2014-05-01,660.091
2014-06-01,664.029
2014-07-01,659.937
2014-08-01,657.584
2014-09-01,652.521
2014-10-01,647.968
2014-11-01,646.638
2014-12-01,646.587
2015-01-01,635.539
2015-02-01,639.631
2015-03-01,644.03
2015-04-01,649.503
2015-05-01,654.618
2015-06-01,654.72
2015-07-01,648.94
2015-08-01,646.741
2015-09-01,644.746
2015-10-01,649.298
2015-11-01,649.298
2015-12-01,649.452
2016-01-01,639.119
2016-02-01,645.769
2016-03-01,651.344
2016-04-01,657.277
2016-05-01,664.694
2016-06-01,667.456
2016-07-01,665.308
2016-08-01,666.126
2016-09-01,664.643
2016-10-01,661.625
2016-11-01,661.267
2016-12-01,664.643
2017-01-01,655.129
2017-02-01,658.3
2017-03-01,664.643
2017-04-01,669.451
2017-05-01,673.85
2017-06-01,678.147
2017-07-01,677.073
2017-08-01,676.919
2017-09-01,674.31
2017-10-01,675.385
2017-11-01,679.17
2017-12-01,680.448
2018-01-01,672.725
2018-02-01,673.032
2018-03-01,677.738
2018-04-01,683.006
2018-05-01,690.781
2018-06-01,694.157
2018-07-01,691.19
2018-08-01,690.576
2018-09-01,690.32
2018-10-01,691.906
2018-11-01,689.502
2018-12-01,690.627
2019-01-01,683.722
2019-02-01,684.131
2019-03-01,691.497
2019-04-01,698.914
2019-05-01,707.2
2019-06-01,708.069
2019-07-01,707.251
2019-08-01,707.865
2019-09-01,703.926
2019-10-01,706.484
2019-11-01,708.121
2019-12-01,709.45
2020-01-01,701.573
2020-02-01,700.243
2020-03-01,706.535
2020-04-01,716.253
2020-05-01,724.847
2020-06-01,726.893
2020-07-01,726.228
2020-08-01,721.624
2020-09-01,720.959
