ds,y
1999-01-01,11.889
1999-02-01,12.299
1999-03-01,17.628
1999-04-01,11.479
1999-05-01,17.628
1999-06-01,18.448
1999-07-01,15.578
1999-08-01,18.038
1999-09-01,15.578
1999-10-01,17.628
1999-11-01,16.398
1999-12-01,16.808
2000-01-01,14.759
2000-02-01,13.119
2000-03-01,15.578
2000-04-01,14.349
2000-05-01,15.988
2000-06-01,17.628
2000-07-01,16.398
2000-08-01,16.808
2000-09-01,16.808
2000-10-01,16.398
2000-11-01,17.628
2000-12-01,17.218
2001-01-01,14.349
2001-02-01,14.759
2001-03-01,15.169
2001-04-01,16.398
2001-05-01,19.268
2001-06-01,17.218
2001-07-01,18.038
2001-08-01,15.988
2001-09-01,15.169
2001-10-01,17.628
2001-11-01,16.398
2001-12-01,18.858
2002-01-01,13.529
2002-02-01,16.808
2002-03-01,19.678
2002-04-01,18.448
2002-05-01,22.138
2002-06-01,22.958
2002-07-01,19.268
2002-08-01,18.858
2002-09-01,19.268
2002-10-01,20.498
2002-11-01,18.038
2002-12-01,19.678
2003-01-01,17.218
2003-02-01,18.038
2003-03-01,19.268
2003-04-01,18.448
2003-05-01,20.498
2003-06-01,20.498
2003-07-01,19.268
2003-08-01,19.678
2003-09-01,20.498
2003-10-01,19.678
2003-11-01,21.728
2003-12-01,23.368
2004-01-01,18.448
2004-02-01,18.448
2004-03-01,21.318
2004-04-01,22.138
2004-05-01,22.138
2004-06-01,27.057
2004-07-01,20.908
2004-08-01,22.548
2004-09-01,22.138
2004-10-01,22.548
2004-11-01,22.138
2004-12-01,21.728
2005-01-01,20.908
2005-02-01,20.088
2005-03-01,20.088
2005-04-01,20.088
2005-05-01,22.958
2005-06-01,25.827
2005-07-01,23.368
2005-08-01,27.057
2005-09-01,21.728
2005-10-01,24.598
2005-11-01,22.958
2005-12-01,25.418
2006-01-01,24.188
2006-02-01,21.728
2006-03-01,23.368
2006-04-01,27.467
2006-05-01,28.287
2006-06-01,27.877
2006-07-01,24.188
2006-08-01,24.188
2006-09-01,25.008
2006-10-01,22.958
2006-11-01,23.368
2006-12-01,25.418
2007-01-01,23.368
2007-02-01,20.908
2007-03-01,21.318
2007-04-01,21.318
2007-05-01,23.778
2007-06-01,27.057
2007-07-01,25.827
2007-08-01,26.237
2007-09-01,25.008
2007-10-01,25.008
2007-11-01,25.827
2007-12-01,27.057
2008-01-01,26.647
2008-02-01,25.827
2008-03-01,29.107
2008-04-01,27.877
2008-05-01,30.747
2008-06-01,36.896
2008-07-01,31.977
2008-08-01,31.567
2008-09-01,30.747
