ds,y
1994-01-01,175.537
1994-04-01,72.02
1994-07-01,63.143
1994-10-01,118.108
1995-01-01,160.011
1995-04-01,113.825
1995-07-01,90.737
1995-10-01,111.308
1996-01-01,115.581
1996-04-01,61.822
1996-07-01,52.792
1996-10-01,100.46
1997-01-01,130.594
1997-04-01,95.503
1997-07-01,80.743
1997-10-01,76.163
1998-01-01,140.239
1998-04-01,82.618
1998-07-01,68.273
1998-10-01,92.983
1999-01-01,166.681
1999-04-01,108.463
1999-07-01,79.013
1999-10-01,93.083
2000-01-01,175.988
2000-04-01,99.084
2000-07-01,86.279
2000-10-01,99.333
2001-01-01,181.584
2001-04-01,108.607
2001-07-01,79.504
2001-10-01,92.431
2002-01-01,104.315
2002-04-01,97.263
2002-07-01,48.664
2002-10-01,107.459
2003-01-01,140.615
2003-04-01,86.483
2003-07-01,52.088
2003-10-01,96.054
2004-01-01,192.03
2004-04-01,109.219
2004-07-01,81.375
2004-10-01,90.562
2005-01-01,171.013
2005-04-01,94.871
2005-07-01,66.832
2005-10-01,91.115
2006-01-01,210.596
2006-04-01,104.963
2006-07-01,80.522
2006-10-01,101.422
2007-01-01,153.244
2007-04-01,95.187
2007-07-01,45.523
2007-10-01,104.382
