ds,y
1980-01-01,60.811
1980-02-01,58.855
1980-03-01,66.679
1980-04-01,62.589
1980-05-01,66.501
1980-06-01,61.522
1980-07-01,67.568
1980-08-01,73.258
1980-09-01,66.501
1980-10-01,69.879
1980-11-01,72.013
1980-12-01,78.948
1981-01-01,72.369
1981-02-01,72.191
1981-03-01,72.902
1981-04-01,74.858
1981-05-01,73.613
1981-06-01,70.591
1981-07-01,75.214
1981-08-01,75.391
1981-09-01,78.948
1981-10-01,84.282
1981-11-01,81.081
1981-12-01,91.75
1982-01-01,83.037
1982-02-01,77.525
1982-03-01,83.926
1982-04-01,83.749
1982-05-01,85.171
1982-06-01,80.014
1982-07-01,86.771
1982-08-01,82.326
1982-09-01,86.06
1982-10-01,91.039
1982-11-01,89.261
1982-12-01,101.707
1983-01-01,88.372
1983-02-01,84.993
1983-03-01,92.995
1983-04-01,86.949
1983-05-01,89.794
1983-06-01,87.305
1983-07-01,88.727
1983-08-01,91.394
1983-09-01,93.35
1983-10-01,100.285
1983-11-01,98.151
1983-12-01,112.02
1984-01-01,93.706
1984-02-01,93.884
1984-03-01,102.241
1984-04-01,98.329
1984-05-01,101.53
1984-06-01,98.862
1984-07-01,98.862
1984-08-01,102.596
1984-09-01,100.285
1984-10-01,105.441
1984-11-01,105.441
1984-12-01,117.888
1985-01-01,100.463
1985-02-01,102.952
1985-03-01,110.064
1985-04-01,102.596
1985-05-01,109.887
1985-06-01,103.308
1985-07-01,104.374
1985-08-01,108.82
1985-09-01,101.885
1985-10-01,106.864
1985-11-01,108.642
1985-12-01,114.865
1986-01-01,104.197
1986-02-01,96.551
1986-03-01,105.086
1986-04-01,98.151
1986-05-01,105.797
1986-06-01,96.906
1986-07-01,102.774
1986-08-01,105.264
1986-09-01,102.063
1986-10-01,111.665
1986-11-01,110.242
1986-12-01,115.221
1987-01-01,109.709
1987-02-01,101.174
1987-03-01,108.286
1987-04-01,107.575
1987-05-01,109.709
1987-06-01,103.308
1987-07-01,109.175
1987-08-01,105.975
1987-09-01,104.019
1987-10-01,112.376
1987-11-01,105.619
1987-12-01,118.777
1988-01-01,113.976
1988-02-01,105.086
1988-03-01,115.576
1988-04-01,101.53
1988-05-01,112.376
1988-06-01,106.686
1988-07-01,114.51
1988-08-01,111.842
1988-09-01,113.265
1988-10-01,118.777
1988-11-01,115.932
1988-12-01,133.18
1989-01-01,117.532
1989-02-01,114.332
1989-03-01,122.689
1989-04-01,120.911
1989-05-01,126.423
1989-06-01,126.067
1989-07-01,126.601
1989-08-01,132.113
1989-09-01,125.889
1989-10-01,133.713
1989-11-01,134.602
1989-12-01,149.183
1990-01-01,131.935
1990-02-01,126.423
1990-03-01,142.07
1990-04-01,131.579
1990-05-01,136.025
1990-06-01,132.468
1990-07-01,141.537
1990-08-01,150.249
1990-09-01,146.338
1990-10-01,151.138
1990-11-01,154.339
1990-12-01,166.43
1991-01-01,153.272
1991-02-01,141.537
1991-03-01,157.006
1991-04-01,148.649
1991-05-01,157.895
1991-06-01,148.827
