ds,y
1990-01-01,6.508
1990-02-01,6.162
1990-03-01,6.803
1990-04-01,7.247
1990-05-01,7.148
1990-06-01,6.803
1990-07-01,6.557
1990-08-01,6.557
1990-09-01,6.015
1990-10-01,6.754
1990-11-01,7.494
1990-12-01,10.797
1991-01-01,6.508
1991-02-01,5.62
1991-03-01,6.606
1991-04-01,6.656
1991-05-01,6.902
1991-06-01,6.015
1991-07-01,6.803
1991-08-01,6.508
1991-09-01,6.557
1991-10-01,7.001
1991-11-01,7.494
1991-12-01,11.092
1992-01-01,6.656
1992-02-01,6.31
1992-03-01,6.656
1992-04-01,7.346
1992-05-01,7.346
1992-06-01,6.803
1992-07-01,6.409
1992-08-01,6.015
1992-09-01,7.001
1992-10-01,6.754
1992-11-01,7.395
1992-12-01,10.55
1993-01-01,6.557
1993-02-01,6.113
1993-03-01,6.803
1993-04-01,7.592
1993-05-01,6.951
1993-06-01,6.754
1993-07-01,6.705
1993-08-01,6.064
1993-09-01,6.31
1993-10-01,5.965
1993-11-01,6.656
1993-12-01,10.156
1994-01-01,5.67
1994-02-01,5.522
1994-03-01,5.67
1994-04-01,5.768
1994-05-01,5.867
1994-06-01,6.261
1994-07-01,5.226
1994-08-01,5.522
1994-09-01,5.817
1994-10-01,5.719
1994-11-01,6.951
1994-12-01,10.008
1995-01-01,5.768
1995-02-01,5.324
1995-03-01,6.261
1995-04-01,7.296
1995-05-01,7.099
1995-06-01,6.606
1995-07-01,6.261
1995-08-01,6.31
1995-09-01,6.36
1995-10-01,7.346
1995-11-01,8.726
1995-12-01,11.684
1996-01-01,7.789
1996-02-01,7.148
1996-03-01,8.036
1996-04-01,8.184
1996-05-01,8.825
1996-06-01,7.74
1996-07-01,7.395
1996-08-01,7.691
1996-09-01,7.296
1996-10-01,7.543
1996-11-01,9.17
1996-12-01,13.311
1997-01-01,8.381
1997-02-01,7.395
1997-03-01,8.628
1997-04-01,9.022
1997-05-01,8.726
1997-06-01,8.036
1997-07-01,7.74
1997-08-01,7.789
1997-09-01,8.085
1997-10-01,8.677
1997-11-01,9.614
1997-12-01,14.346
1998-01-01,9.712
1998-02-01,8.332
1998-03-01,9.022
1998-04-01,9.909
1998-05-01,9.071
1998-06-01,9.12
1998-07-01,8.825
1998-08-01,8.529
1998-09-01,8.923
1998-10-01,8.233
1998-11-01,9.219
1998-12-01,14.1
1999-01-01,8.973
1999-02-01,8.677
1999-03-01,9.515
1999-04-01,10.353
1999-05-01,9.811
1999-06-01,10.057
1999-07-01,9.318
1999-08-01,9.318
1999-09-01,9.811
1999-10-01,9.466
1999-11-01,10.994
1999-12-01,15.628
2000-01-01,10.402
2000-02-01,10.452
2000-03-01,11.536
2000-04-01,11.586
2000-05-01,10.747
2000-06-01,10.55
2000-07-01,10.402
2000-08-01,10.994
2000-09-01,11.487
2000-10-01,12.078
2000-11-01,12.621
2000-12-01,17.551
2001-01-01,11.487
2001-02-01,11.142
2001-03-01,12.226
2001-04-01,12.029
2001-05-01,12.276
2001-06-01,12.424
2001-07-01,10.895
2001-08-01,11.24
2001-09-01,10.895
2001-10-01,12.424
2001-11-01,14.149
2001-12-01,18.586
2002-01-01,11.931
2002-02-01,11.832
2002-03-01,12.325
2002-04-01,12.374
2002-05-01,11.881
2002-06-01,11.191
2002-07-01,10.945
2002-08-01,10.945
2002-09-01,11.191
2002-10-01,12.029
2002-11-01,13.015
2002-12-01,18.882
2003-01-01,12.078
2003-02-01,11.142
2003-03-01,13.607
2003-04-01,13.064
2003-05-01,13.558
2003-06-01,10.797
2003-07-01,10.304
2003-08-01,9.761
2003-09-01,9.663
