ds,y
1994-01-01,4.057
1994-04-01,14.699
1994-07-01,29.736
1994-10-01,8.467
1995-01-01,8.305
1995-04-01,15.915
1995-07-01,23.964
1995-10-01,16.452
1996-01-01,4.916
1996-04-01,20.26
1996-07-01,21.467
1996-10-01,7.091
1997-01-01,4.813
1997-04-01,10.857
1997-07-01,15.713
1997-10-01,6.712
1998-01-01,7.662
1998-04-01,8.806
1998-07-01,20.698
1998-10-01,8.21
1999-01-01,5.343
1999-04-01,12.053
1999-07-01,33.426
1999-10-01,6.999
2000-01-01,8.131
2000-04-01,17.114
2000-07-01,23.67
2000-10-01,7.414
2001-01-01,8.761
2001-04-01,12.034
2001-07-01,26.889
2001-10-01,10.771
2002-01-01,6.439
2002-04-01,26.184
2002-07-01,34.658
2002-10-01,12.361
2003-01-01,8.963
2003-04-01,13.589
2003-07-01,27.457
2003-10-01,12.54
2004-01-01,7.62
2004-04-01,19.463
2004-07-01,27.829
2004-10-01,12.744
2005-01-01,5.952
2005-04-01,22.77
2005-07-01,24.042
2005-10-01,9.731
2006-01-01,4.482
2006-04-01,11.685
2006-07-01,19.221
2006-10-01,9.875
2007-01-01,6.851
2007-04-01,13.23
2007-07-01,23.85
2007-10-01,7.203
2008-01-01,6.684
2008-04-01,12.434
2008-07-01,22.693
2008-10-01,8.57
2009-01-01,7.733
2009-04-01,14.312
2009-07-01,32.105
2009-10-01,9.039
2010-01-01,9.518
2010-04-01,14.445
2010-07-01,27.647
2010-10-01,11.036
