ds,y
1988-10-01,161.973
1988-11-01,164.495
1988-12-01,164.928
1989-01-01,166.11
1989-02-01,168.159
1989-03-01,170.838
1989-04-01,174.66
1989-05-01,178.837
1989-06-01,181.752
1989-07-01,184.668
1989-08-01,186.638
1989-09-01,190.538
1989-10-01,194.439
1989-11-01,197.158
1989-12-01,199.246
1990-01-01,199.64
1990-02-01,203.304
1990-03-01,208.071
1990-04-01,211.775
1990-05-01,215.518
1990-06-01,218.67
1990-07-01,220.207
1990-08-01,222.019
1990-09-01,225.762
1990-10-01,227.771
1990-11-01,229.899
1990-12-01,232.815
1991-01-01,232.066
1991-02-01,235.179
1991-03-01,237.267
1991-04-01,238.606
1991-05-01,241.68
1991-06-01,244.832
1991-07-01,246.447
1991-08-01,249.087
1991-09-01,250.742
1991-10-01,252.751
1991-11-01,254.918
1991-12-01,256.297
1992-01-01,252.081
1992-02-01,255.47
1992-03-01,257.4
1992-04-01,259.134
1992-05-01,261.892
1992-06-01,263.271
1992-07-01,263.034
1992-08-01,264.177
1992-09-01,266.502
1992-10-01,268.353
1992-11-01,271.742
1992-12-01,271.545
1993-01-01,272.372
1993-02-01,272.215
1993-03-01,275.248
1993-04-01,277.179
1993-05-01,277.888
1993-06-01,278.282
1993-07-01,278.4
1993-08-01,277.77
1993-09-01,278.4
1993-10-01,279.504
1993-11-01,278.637
1993-12-01,276.706
1994-01-01,271.742
1994-02-01,269.457
1994-03-01,268.353
1994-04-01,264.689
1994-05-01,263.231
1994-06-01,261.931
1994-07-01,256.849
1994-08-01,254.169
1994-09-01,253.421
1994-10-01,252.672
1994-11-01,251.569
1994-12-01,250.032
1995-01-01,244.241
1995-02-01,246.329
1995-03-01,247.629
1995-04-01,248.929
1995-05-01,248.614
1995-06-01,248.338
1995-07-01,247.511
1995-08-01,247.511
1995-09-01,247.826
1995-10-01,249.008
1995-11-01,250.505
1995-12-01,250.19
1996-01-01,247.038
1996-02-01,248.693
1996-03-01,249.757
1996-04-01,250.229
