ds,y
1982-01-01,353.085
1982-02-01,314.646
1982-03-01,343.575
1982-04-01,335.649
1982-05-01,352.689
1982-06-01,345.952
1982-07-01,371.314
1982-08-01,358.237
1982-09-01,371.711
1982-10-01,368.54
1982-11-01,399.45
1982-12-01,444.626
1983-01-01,328.912
1983-02-01,325.346
1983-03-01,363.785
1983-04-01,345.556
1983-05-01,342.386
1983-06-01,328.12
1983-07-01,358.633
1983-08-01,365.37
1983-09-01,389.543
1983-10-01,419.264
1983-11-01,401.828
1983-12-01,434.323
1984-01-01,380.033
1984-02-01,372.503
1984-03-01,444.23
1984-04-01,399.45
1984-05-01,396.28
1984-06-01,399.054
1984-07-01,389.147
1984-08-01,383.203
1984-09-01,398.261
1984-10-01,357.445
1984-11-01,412.527
1984-12-01,429.568
1985-01-01,380.033
1985-02-01,347.934
1985-03-01,384.788
1985-04-01,380.429
1985-05-01,391.128
1985-06-01,388.354
1985-07-01,400.243
1985-08-01,390.732
1985-09-01,379.24
1985-10-01,393.506
1985-11-01,405.394
1985-12-01,462.855
1986-01-01,397.073
1986-02-01,351.104
1986-03-01,453.344
1986-04-01,431.549
1986-05-01,429.171
1986-06-01,399.054
1986-07-01,429.964
1986-08-01,450.967
1986-09-01,437.097
1986-10-01,477.914
1986-11-01,459.289
1986-12-01,527.845
1987-01-01,462.062
1987-02-01,409.357
1987-03-01,498.917
1987-04-01,503.672
1987-05-01,514.768
1987-06-01,482.669
1987-07-01,527.052
1987-08-01,561.132
1987-09-01,544.885
1987-10-01,580.946
1987-11-01,569.454
1987-12-01,634.444
1988-01-01,594.816
1988-02-01,551.225
1988-03-01,641.181
1988-04-01,674.072
1988-05-01,723.211
1988-06-01,712.908
1988-07-01,805.241
1988-08-01,835.755
1988-09-01,884.101
1988-10-01,871.023
1988-11-01,872.212
1988-12-01,994.663
1989-01-01,802.863
1989-02-01,751.347
1989-03-01,883.704
1989-04-01,724.004
1989-05-01,823.074
1989-06-01,823.074
1989-07-01,769.972
1989-08-01,802.467
1989-09-01,762.443
1989-10-01,822.281
1989-11-01,793.749
1989-12-01,893.611
1990-01-01,794.938
1990-02-01,758.084
1990-03-01,883.704
1990-04-01,912.633
1990-05-01,894.008
1990-06-01,876.175
1990-07-01,960.186
1990-08-01,1029.535
1990-09-01,867.457
1990-10-01,908.274
1990-11-01,920.955
1990-12-01,1057.275
1991-01-01,943.543
1991-02-01,899.952
1991-03-01,1022.006
1991-04-01,914.614
1991-05-01,906.292
1991-06-01,863.89
1991-07-01,1013.288
1991-08-01,1018.836
1991-09-01,940.769
1991-10-01,900.348
1991-11-01,949.883
1991-12-01,1113.151
1992-01-01,1133.757
1992-02-01,948.298
1992-03-01,1059.256
1992-04-01,1007.74
1992-05-01,1079.863
1992-06-01,981.982
1992-07-01,1142.475
1992-08-01,1145.249
1992-09-01,1130.191
1992-10-01,1309.705
1992-11-01,1293.854
1992-12-01,1477.332
1993-01-01,1302.572
1993-02-01,1256.604
1993-03-01,1392.528
1993-04-01,1250.263
1993-05-01,1258.982
1993-06-01,1167.045
1993-07-01,1209.843
1993-08-01,1212.221
1993-09-01,1269.285
1993-10-01,1239.564
1993-11-01,1210.635
1993-12-01,1358.052
1994-01-01,1069.163
1994-02-01,1018.836
1994-03-01,1088.185
1994-04-01,1061.634
1994-05-01,1032.706
1994-06-01,1040.235
1994-07-01,1067.578
1994-08-01,1062.03
1994-09-01,1045.387
1994-10-01,1140.098
1994-11-01,1157.93
1994-12-01,1224.901
1995-01-01,1168.233
1995-02-01,1086.996
1995-03-01,1285.532
1995-04-01,1250.66
1995-05-01,1345.767
1995-06-01,1230.846
1995-07-01,1284.343
1995-08-01,1306.139
1995-09-01,1287.514
1995-10-01,1255.811
1995-11-01,1357.259
1995-12-01,1530.83
1996-01-01,1319.216
1996-02-01,1181.311
1996-03-01,1349.333
1996-04-01,1277.607
1996-05-01,1228.072
1996-06-01,1174.574
1996-07-01,1176.555
1996-08-01,1247.093
1996-09-01,1154.364
1996-10-01,1339.03
1996-11-01,1390.943
1996-12-01,1543.114
1997-01-01,1323.971
1997-02-01,1277.21
1997-03-01,1346.559
1997-04-01,1339.426
1997-05-01,1324.764
1997-06-01,1244.319
1997-07-01,1320.009
1997-08-01,1357.655
1997-09-01,1300.987
1997-10-01,1465.443
1997-11-01,1436.119
1997-12-01,1797.526
1998-01-01,1673.49
1998-02-01,1421.853
1998-03-01,1567.287
1998-04-01,1492.787
1998-05-01,1528.452
1998-06-01,1419.079
1998-07-01,1433.345
1998-08-01,1444.044
1998-09-01,1389.754
1998-10-01,1334.275
1998-11-01,1405.605
1998-12-01,1591.857
1999-01-01,1478.521
1999-02-01,1331.501
1999-03-01,1554.21
1999-04-01,1572.835
1999-05-01,1543.114
1999-06-01,1458.31
1999-07-01,1621.181
1999-08-01,1718.666
1999-09-01,1748.387
1999-10-01,1600.575
1999-11-01,1565.306
1999-12-01,1865.686
2000-01-01,1490.013
2000-02-01,1348.937
2000-03-01,1539.548
2000-04-01,1577.194
2000-05-01,1546.285
2000-06-01,1497.146
2000-07-01,1464.651
2000-08-01,1512.997
2000-09-01,1499.92
2000-10-01,1465.443
2000-11-01,1479.71
2000-12-01,1674.283
2001-01-01,1402.831
2001-02-01,1260.17
2001-03-01,1464.255
2001-04-01,1326.745
2001-05-01,1394.906
2001-06-01,1348.937
2001-07-01,1472.18
2001-08-01,1507.845
2001-09-01,1455.933
2001-10-01,1491.202
2001-11-01,1546.681
2001-12-01,1653.676
2002-01-01,1456.725
2002-02-01,1359.24
2002-03-01,1511.016
2002-04-01,1568.873
2002-05-01,1577.987
2002-06-01,1464.651
2002-07-01,1484.465
2002-08-01,1488.428
2002-09-01,1543.907
2002-10-01,1576.798
2002-11-01,1643.373
2002-12-01,1843.495
2003-01-01,1715.892
2003-02-01,1511.412
2003-03-01,1788.015
2003-04-01,1746.406
2003-05-01,1692.116
2003-06-01,1583.535
2003-07-01,1716.685
2003-08-01,1862.12
2003-09-01,1884.708
2003-10-01,1856.572
2003-11-01,1802.678
2003-12-01,1987.344
