ds,y
1993-01-01,35.879
1993-04-01,33.398
1993-07-01,36.302
1993-10-01,27.851
1994-01-01,30.371
1994-04-01,13.994
1994-07-01,21.44
1994-10-01,20.951
1995-01-01,33.509
1995-04-01,46.682
1995-07-01,17.446
1995-10-01,36.637
1996-01-01,19.484
1996-04-01,40.32
1996-07-01,37.711
1996-10-01,23.553
1997-01-01,21.905
1997-04-01,14.639
1997-07-01,50.5
1997-10-01,40.232
1998-01-01,36.958
1998-04-01,32.181
1998-07-01,23.041
1998-10-01,24.139
1999-01-01,15.331
1999-04-01,18.689
1999-07-01,6.952
1999-10-01,24.311
2000-01-01,39.671
2000-04-01,29.809
2000-07-01,22.789
2000-10-01,28.842
2001-01-01,33.952
2001-04-01,33.331
2001-07-01,32.981
2001-10-01,19.286
2002-01-01,32.077
2002-04-01,29.757
2002-07-01,25.675
2002-10-01,27.822
2003-01-01,24.006
2003-04-01,30.103
2003-07-01,22.091
2003-10-01,27.043
2004-01-01,41.195
2004-04-01,24.137
2004-07-01,8.731
2004-10-01,32.12
2005-01-01,33.364
2005-04-01,36.828
2005-07-01,29.303
2005-10-01,32.847
2006-01-01,31.485
2006-04-01,35.252
2006-07-01,21.215
2006-10-01,36.836
2007-01-01,33.747
2007-04-01,32.581
2007-07-01,17.217
2007-10-01,24.488
2008-01-01,48.01
2008-04-01,36.513
