ds,y
2002-10-01,137.071
2002-11-01,134.357
2002-12-01,140.464
2003-01-01,140.464
2003-02-01,142.5
2003-03-01,145.214
2003-04-01,146.571
2003-05-01,147.928
2003-06-01,158.107
2003-07-01,162.178
2003-08-01,163.535
2003-09-01,152.678
2003-10-01,143.857
2003-11-01,140.464
2003-12-01,144.535
2004-01-01,145.893
2004-02-01,147.928
2004-03-01,149.964
2004-04-01,150.643
2004-05-01,154.714
2004-06-01,167.607
2004-07-01,173.714
2004-08-01,175.75
2004-09-01,162.178
2004-10-01,154.035
2004-11-01,149.285
2004-12-01,154.035
2005-01-01,153.357
2005-02-01,154.714
2005-03-01,157.428
2005-04-01,159.464
2005-05-01,166.25
2005-06-01,179.142
2005-07-01,183.214
2005-08-01,183.892
2005-09-01,171.0
2005-10-01,162.178
2005-11-01,158.107
2005-12-01,162.857
2006-01-01,162.178
2006-02-01,164.893
2006-03-01,165.571
2006-04-01,166.928
2006-05-01,168.285
2006-06-01,182.535
2006-07-01,187.285
2006-08-01,187.964
2006-09-01,178.464
2006-10-01,168.964
2006-11-01,164.893
2006-12-01,168.964
2007-01-01,171.0
2007-02-01,171.0
2007-03-01,171.0
2007-04-01,171.0
2007-05-01,173.035
2007-06-01,187.285
2007-07-01,192.714
2007-08-01,192.714
2007-09-01,181.857
2007-10-01,172.357
2007-11-01,166.928
2007-12-01,173.035
2008-01-01,172.357
2008-02-01,174.392
2008-03-01,174.392
2008-04-01,176.428
2008-05-01,183.892
2008-06-01,198.821
2008-07-01,207.642
2008-08-01,211.035
2008-09-01,199.5
2008-10-01,183.892
2008-11-01,175.071
2008-12-01,181.178
2009-01-01,179.821
2009-02-01,179.821
2009-03-01,183.214
2009-04-01,185.25
2009-05-01,192.714
2009-06-01,230.035
2009-07-01,243.607
2009-08-01,237.5
2009-09-01,213.071
2009-10-01,190.678
2009-11-01,167.607
2009-12-01,167.607
2010-01-01,143.178
2010-02-01,143.178
2010-03-01,143.857
2010-04-01,154.714
2010-05-01,175.75
2010-06-01,200.857
2010-07-01,221.214
2010-08-01,224.607
2010-09-01,202.214
2010-10-01,175.75
2010-11-01,150.643
2010-12-01,145.214
2011-01-01,132.321
2011-02-01,140.464
2011-03-01,145.893
2011-04-01,164.214
2011-05-01,194.75
2011-06-01,226.642
2011-07-01,242.249
2011-08-01,234.785
2011-09-01,209.678
2011-10-01,179.821
2011-11-01,151.321
2011-12-01,145.893
2012-01-01,136.393
2012-02-01,138.428
2012-03-01,145.893
2012-04-01,163.535
2012-05-01,187.964
2012-06-01,227.321
2012-07-01,237.5
2012-08-01,244.964
2012-09-01,226.642
2012-10-01,183.214
2012-11-01,166.928
2012-12-01,157.428
2013-01-01,133.0
2013-02-01,137.75
2013-03-01,149.964
2013-04-01,171.678
2013-05-01,200.857
2013-06-01,245.642
2013-07-01,274.821
2013-08-01,266.678
2013-09-01,242.928
2013-10-01,201.535
2013-11-01,164.893
2013-12-01,155.393
2014-01-01,133.0
2014-02-01,133.0
2014-03-01,144.535
2014-04-01,161.5
2014-05-01,194.75
2014-06-01,225.285
2014-07-01,248.357
2014-08-01,248.357
2014-09-01,223.928
2014-10-01,192.035
2014-11-01,176.428
2014-12-01,158.785
2015-01-01,153.357
2015-02-01,148.607
2015-03-01,156.071
2015-04-01,171.678
2015-05-01,197.464
2015-06-01,225.285
2015-07-01,251.071
2015-08-01,249.035
2015-09-01,227.321
2015-10-01,198.821
2015-11-01,181.178
2015-12-01,170.321
2016-01-01,150.643
2016-02-01,149.285
2016-03-01,156.75
2016-04-01,171.0
2016-05-01,202.214
2016-06-01,230.035
2016-07-01,245.642
2016-08-01,240.892
2016-09-01,215.785
2016-10-01,194.071
2016-11-01,166.25
2016-12-01,158.785
2017-01-01,142.5
2017-02-01,139.107
2017-03-01,141.821
2017-04-01,166.928
2017-05-01,202.892
2017-06-01,225.285
2017-07-01,249.714
2017-08-01,244.285
2017-09-01,222.571
2017-10-01,187.964
2017-11-01,160.821
2017-12-01,161.5
2018-01-01,135.035
2018-02-01,137.071
2018-03-01,140.464
2018-04-01,167.607
2018-05-01,200.178
2018-06-01,231.392
2018-07-01,244.285
2018-08-01,240.892
2018-09-01,223.928
2018-10-01,193.392
2018-11-01,160.143
2018-12-01,149.285
2019-01-01,130.964
2019-02-01,137.75
2019-03-01,147.25
2019-04-01,158.785
2019-05-01,209.678
2019-06-01,241.571
2019-07-01,249.035
2019-08-01,241.571
2019-09-01,219.857
2019-10-01,194.75
2019-11-01,160.143
2019-12-01,148.607
2020-01-01,130.964
2020-02-01,141.821
2020-03-01,154.714
2020-04-01,175.071
2020-05-01,197.464
2020-06-01,235.464
2020-07-01,240.892
2020-08-01,239.535
2020-09-01,225.285
2020-10-01,195.428
