ds,y
1988-01-01,64.581
1988-04-01,121.699
1988-07-01,61.133
1988-10-01,83.73
1989-01-01,91.676
1989-04-01,56.288
1989-07-01,84.92
1989-10-01,166.241
1990-01-01,93.424
1990-04-01,95.115
1990-07-01,100.351
1990-10-01,102.3
1991-01-01,107.432
1991-04-01,84.737
1991-07-01,114.889
1991-10-01,124.188
1992-01-01,68.386
1992-04-01,68.872
1992-07-01,62.84
1992-10-01,101.228
1993-01-01,177.369
1993-04-01,99.384
1993-07-01,100.142
1993-10-01,34.348
1994-01-01,67.737
1994-04-01,124.055
1994-07-01,128.904
1994-10-01,104.2
1995-01-01,76.1
1995-04-01,134.489
1995-07-01,75.971
1995-10-01,74.354
1996-01-01,72.823
1996-04-01,152.162
1996-07-01,186.11
1996-10-01,76.31
1997-01-01,121.256
1997-04-01,91.384
1997-07-01,73.506
1997-10-01,101.08
1998-01-01,72.848
1998-04-01,132.701
1998-07-01,88.558
1998-10-01,91.345
1999-01-01,83.201
1999-04-01,123.512
1999-07-01,146.808
1999-10-01,65.229
2000-01-01,75.117
2000-04-01,85.494
2000-07-01,106.925
2000-10-01,60.575
2001-01-01,69.863
2001-04-01,78.454
2001-07-01,134.734
2001-10-01,100.019
2002-01-01,34.258
2002-04-01,86.277
