ds,y
2007-01-01,8.282
2007-02-01,7.668
2007-03-01,9.202
2007-04-01,8.895
2007-05-01,9.202
2007-06-01,9.356
2007-07-01,9.356
2007-08-01,9.356
2007-09-01,8.589
2007-10-01,7.362
2007-11-01,6.595
2007-12-01,9.662
2008-01-01,5.368
2008-02-01,4.754
2008-03-01,5.061
2008-04-01,6.288
2008-05-01,6.902
2008-06-01,6.902
2008-07-01,7.208
2008-08-01,6.748
2008-09-01,6.748
2008-10-01,5.981
2008-11-01,7.055
2008-12-01,8.742
2009-01-01,3.834
2009-02-01,3.988
2009-03-01,4.141
2009-04-01,4.448
2009-05-01,4.908
2009-06-01,5.368
2009-07-01,5.981
2009-08-01,6.288
2009-09-01,5.675
2009-10-01,6.442
2009-11-01,6.288
2009-12-01,7.055
2010-01-01,4.908
2010-02-01,4.294
2010-03-01,5.061
2010-04-01,5.061
2010-05-01,5.521
2010-06-01,5.675
2010-07-01,6.595
2010-08-01,6.135
2010-09-01,5.981
2010-10-01,7.822
2010-11-01,7.362
2010-12-01,9.049
2011-01-01,5.368
2011-02-01,5.215
2011-03-01,5.521
2011-04-01,6.135
2011-05-01,6.595
2011-06-01,8.435
2011-07-01,8.282
2011-08-01,9.049
2011-09-01,8.435
2011-10-01,8.895
2011-11-01,8.742
2011-12-01,12.73
2012-01-01,7.055
2012-02-01,6.748
2012-03-01,7.975
2012-04-01,7.975
2012-05-01,9.049
2012-06-01,9.356
2012-07-01,10.276
2012-08-01,10.429
2012-09-01,9.969
2012-10-01,9.969
2012-11-01,9.816
2012-12-01,12.883
2013-01-01,7.822
2013-02-01,6.902
2013-03-01,7.208
2013-04-01,7.208
2013-05-01,8.895
2013-06-01,8.742
2013-07-01,9.509
2013-08-01,9.509
2013-09-01,8.895
2013-10-01,9.049
2013-11-01,9.049
2013-12-01,11.043
2014-01-01,6.442
2014-02-01,5.828
2014-03-01,6.595
2014-04-01,6.442
2014-05-01,7.822
2014-06-01,7.515
2014-07-01,9.049
2014-08-01,8.742
2014-09-01,7.822
2014-10-01,8.895
2014-11-01,7.822
2014-12-01,10.276
2015-01-01,6.595
2015-02-01,6.288
2015-03-01,6.595
2015-04-01,7.362
2015-05-01,8.282
2015-06-01,9.816
2015-07-01,10.122
2015-08-01,9.662
2015-09-01,9.356
2015-10-01,8.589
2015-11-01,8.129
2015-12-01,9.969
2016-01-01,6.902
2016-02-01,5.981
2016-03-01,6.595
2016-04-01,6.902
2016-05-01,7.515
2016-06-01,8.435
2016-07-01,8.895
2016-08-01,8.895
2016-09-01,8.895
2016-10-01,8.282
2016-11-01,7.668
2016-12-01,10.736
2017-01-01,6.288
2017-02-01,5.828
2017-03-01,6.442
2017-04-01,7.362
2017-05-01,8.589
2017-06-01,9.816
2017-07-01,10.736
2017-08-01,10.889
2017-09-01,9.356
2017-10-01,9.356
2017-11-01,9.049
2017-12-01,11.656
2018-01-01,7.975
2018-02-01,8.129
2018-03-01,8.435
2018-04-01,8.129
2018-05-01,9.969
2018-06-01,10.889
2018-07-01,11.656
2018-08-01,11.656
2018-09-01,11.043
2018-10-01,11.196
2018-11-01,10.429
2018-12-01,13.957
2019-01-01,8.589
2019-02-01,7.668
2019-03-01,8.895
2019-04-01,8.895
2019-05-01,10.122
2019-06-01,11.043
2019-07-01,12.576
2019-08-01,11.963
2019-09-01,11.349
2019-10-01,10.889
2019-11-01,10.736
2019-12-01,15.337
2020-01-01,8.895
2020-02-01,7.362
2020-03-01,10.276
2020-04-01,9.356
2020-05-01,10.889
2020-06-01,11.349
2020-07-01,12.883
2020-08-01,12.883
2020-09-01,11.349
2020-10-01,10.889
2020-11-01,9.969
2020-12-01,13.803
2021-01-01,9.049
2021-02-01,8.282
2021-03-01,9.356
2021-04-01,9.662
2021-05-01,11.349
2021-06-01,12.27
2021-07-01,15.797
2021-08-01,12.73
2021-09-01,13.036
2021-10-01,11.656
2021-11-01,10.429
2021-12-01,13.343
2022-01-01,8.895
2022-02-01,8.129
2022-03-01,10.122
2022-04-01,9.202
2022-05-01,10.583
2022-06-01,11.503
2022-07-01,13.65
2022-08-01,12.883
2022-09-01,11.656
2022-10-01,11.349
2022-11-01,10.122
2022-12-01,13.343
2023-01-01,8.282
2023-02-01,8.742
2023-03-01,9.816
2023-04-01,9.816
2023-05-01,10.889
2023-06-01,11.963
2023-07-01,14.417
2023-08-01,14.724
2023-09-01,12.423
2023-10-01,12.883
2023-11-01,12.27
2023-12-01,16.104
2024-01-01,9.356
2024-02-01,8.282
2024-03-01,9.356
2024-04-01,10.122
2024-05-01,11.809
2024-06-01,11.503
2024-07-01,13.957
2024-08-01,15.644
2024-09-01,12.73
2024-10-01,13.65
2024-11-01,13.343
2024-12-01,15.95
2025-01-01,10.276
2025-02-01,9.049
2025-03-01,10.736
2025-04-01,10.583
2025-05-01,12.73
2025-06-01,12.27
2025-07-01,14.724
2025-08-01,13.803
2025-09-01,13.497
2025-10-01,12.73
2025-11-01,11.656
2025-12-01,15.03
2026-01-01,9.662
2026-02-01,8.435
2026-03-01,9.816
2026-04-01,10.122
2026-05-01,11.349
2026-06-01,10.429
2026-07-01,12.883
2026-08-01,12.27
2026-09-01,11.349
2026-10-01,12.116
2026-11-01,11.656
2026-12-01,17.024
2027-01-01,11.963
2027-02-01,12.73
2027-03-01,12.576
2027-04-01,12.576
2027-05-01,13.19
2027-06-01,14.11
2027-07-01,16.717
2027-08-01,15.644
2027-09-01,14.877
2027-10-01,14.11
2027-11-01,13.957
2027-12-01,18.404
2028-01-01,11.656
2028-02-01,9.816
