ds,y
1985-01-01,5.826
1985-04-01,14.134
1985-07-01,11.623
1985-10-01,13.406
1986-01-01,9.548
1986-04-01,5.763
1986-07-01,10.789
1986-10-01,12.874
1987-01-01,25.295
1987-04-01,17.875
1987-07-01,13.25
1987-10-01,8.183
1988-01-01,9.399
1988-04-01,8.722
1988-07-01,9.142
1988-10-01,15.256
1989-01-01,7.394
1989-04-01,19.226
1989-07-01,9.942
1989-10-01,5.913
1990-01-01,8.043
1990-04-01,5.956
1990-07-01,10.854
1990-10-01,11.368
1991-01-01,18.485
1991-04-01,12.097
1991-07-01,9.031
1991-10-01,17.703
1992-01-01,8.866
1992-04-01,12.831
1992-07-01,9.979
1992-10-01,11.383
1993-01-01,22.335
1993-04-01,13.176
1993-07-01,12.974
1993-10-01,13.55
1994-01-01,20.397
1994-04-01,19.712
1994-07-01,5.949
1994-10-01,14.614
1995-01-01,15.215
1995-04-01,11.538
1995-07-01,8.294
1995-10-01,15.072
1996-01-01,17.859
1996-04-01,8.732
1996-07-01,13.458
1996-10-01,7.163
1997-01-01,23.858
1997-04-01,15.398
1997-07-01,11.818
1997-10-01,14.679
1998-01-01,11.618
1998-04-01,20.54
1998-07-01,14.378
1998-10-01,11.606
1999-01-01,11.916
1999-04-01,13.369
1999-07-01,19.945
1999-10-01,21.061
2000-01-01,17.362
2000-04-01,24.275
2000-07-01,12.903
2000-10-01,14.428
2001-01-01,17.609
2001-04-01,14.822
