ds,y
2000-01-01,5.113
2000-02-01,5.423
2000-03-01,6.275
2000-04-01,6.12
2000-05-01,6.198
2000-06-01,5.965
2000-07-01,7.515
2000-08-01,6.662
2000-09-01,6.74
2000-10-01,6.12
2000-11-01,6.74
2000-12-01,7.979
2001-01-01,5.036
2001-02-01,5.423
2001-03-01,6.043
2001-04-01,4.881
2001-05-01,5.268
2001-06-01,4.648
2001-07-01,3.951
2001-08-01,4.183
2001-09-01,3.641
2001-10-01,3.486
2001-11-01,3.796
2001-12-01,7.515
2002-01-01,5.19
2002-02-01,4.726
2002-03-01,5.578
2002-04-01,5.036
2002-05-01,5.733
2002-06-01,5.268
2002-07-01,6.12
2002-08-01,5.733
2002-09-01,5.5
2002-10-01,5.19
2002-11-01,5.268
2002-12-01,7.902
2003-01-01,4.261
2003-02-01,4.571
2003-03-01,5.965
2003-04-01,4.493
2003-05-01,5.345
2003-06-01,5.5
2003-07-01,6.043
2003-08-01,5.578
2003-09-01,5.888
2003-10-01,5.965
2003-11-01,6.12
2003-12-01,8.444
2004-01-01,6.12
2004-02-01,7.127
2004-03-01,8.677
2004-04-01,8.754
2004-05-01,9.451
2004-06-01,8.599
2004-07-01,9.141
2004-08-01,8.522
2004-09-01,8.212
2004-10-01,9.374
2004-11-01,10.226
2004-12-01,13.17
2005-01-01,7.67
2005-02-01,8.289
2005-03-01,9.684
2005-04-01,8.677
2005-05-01,8.832
2005-06-01,8.909
2005-07-01,8.987
2005-08-01,9.451
2005-09-01,8.599
2005-10-01,8.677
2005-11-01,9.606
2005-12-01,11.775
2006-01-01,7.205
2006-02-01,8.134
2006-03-01,9.064
2006-04-01,6.353
2006-05-01,6.972
2006-06-01,6.74
2006-07-01,7.05
2006-08-01,6.275
2006-09-01,6.12
2006-10-01,6.043
2006-11-01,6.353
2006-12-01,9.064
2007-01-01,6.198
2007-02-01,7.437
2007-03-01,7.592
2007-04-01,6.662
2007-05-01,7.515
2007-06-01,6.74
2007-07-01,9.141
2007-08-01,9.141
2007-09-01,7.67
2007-10-01,7.36
2007-11-01,7.67
2007-12-01,9.916
2008-01-01,7.67
2008-02-01,8.599
2008-03-01,8.987
2008-04-01,7.205
2008-05-01,7.902
2008-06-01,7.592
2008-07-01,8.909
2008-08-01,8.677
2008-09-01,7.824
2008-10-01,7.515
2008-11-01,7.515
2008-12-01,11.001
2009-01-01,6.662
2009-02-01,7.824
2009-03-01,7.515
2009-04-01,6.662
2009-05-01,6.895
2009-06-01,6.817
2009-07-01,8.522
2009-08-01,7.747
2009-09-01,6.817
2009-10-01,6.43
2009-11-01,6.507
2009-12-01,8.909
2010-01-01,6.817
2010-02-01,8.057
2010-03-01,7.127
2010-04-01,6.817
2010-05-01,6.817
2010-06-01,6.353
2010-07-01,8.754
2010-08-01,7.902
2010-09-01,7.36
2010-10-01,6.198
2010-11-01,6.353
2010-12-01,8.444
2011-01-01,6.043
2011-02-01,7.592
2011-03-01,7.205
2011-04-01,6.507
2011-05-01,6.662
2011-06-01,6.43
2011-07-01,8.212
2011-08-01,7.05
2011-09-01,6.43
2011-10-01,6.972
2011-11-01,7.437
2011-12-01,10.071
2012-01-01,8.212
2012-02-01,8.677
2012-03-01,9.994
2012-04-01,8.289
2012-05-01,8.367
2012-06-01,7.902
2012-07-01,9.684
2012-08-01,7.747
2012-09-01,7.902
2012-10-01,8.134
2012-11-01,8.522
2012-12-01,11.775
2013-01-01,7.515
2013-02-01,9.994
2013-03-01,8.987
2013-04-01,7.902
2013-05-01,8.444
2013-06-01,7.979
2013-07-01,9.296
2013-08-01,8.367
