ds,y
1989-10-01,502.529
1989-11-01,503.634
1989-12-01,504.107
1990-01-01,502.608
1990-02-01,502.214
1990-03-01,502.293
1990-04-01,501.977
1990-05-01,501.188
1990-06-01,503.949
1990-07-01,497.48
1990-08-01,503.476
1990-09-01,504.738
1990-10-01,506.632
1990-11-01,509.551
1990-12-01,510.813
1991-01-01,510.339
1991-02-01,509.629
1991-03-01,509.787
1991-04-01,508.683
1991-05-01,507.578
1991-06-01,510.892
1991-07-01,497.717
1991-08-01,506.632
1991-09-01,507.263
1991-10-01,502.924
1991-11-01,500.399
1991-12-01,500.873
1992-01-01,497.007
1992-02-01,496.691
1992-03-01,496.376
1992-04-01,494.009
1992-05-01,494.404
1992-06-01,494.167
1992-07-01,488.96
1992-08-01,489.67
1992-09-01,489.828
1992-10-01,489.986
1992-11-01,492.037
1992-12-01,493.93
1993-01-01,493.063
1993-02-01,494.167
1993-03-01,495.508
1993-04-01,492.431
1993-05-01,490.854
1993-06-01,493.141
1993-07-01,489.67
1993-08-01,491.169
1993-09-01,487.777
1993-10-01,488.014
1993-11-01,486.672
1993-12-01,483.675
1994-01-01,479.257
1994-02-01,479.099
1994-03-01,470.342
1994-04-01,464.347
1994-05-01,457.72
1994-06-01,454.328
1994-07-01,443.993
1994-08-01,442.573
1994-09-01,437.918
1994-10-01,432.002
1994-11-01,423.718
1994-12-01,418.985
1995-01-01,412.358
1995-02-01,408.966
1995-03-01,405.731
1995-04-01,404.785
1995-05-01,403.443
1995-06-01,403.443
1995-07-01,398.868
1995-08-01,401.55
1995-09-01,400.525
1995-10-01,395.949
1995-11-01,394.766
1995-12-01,391.926
1996-01-01,390.663
1996-02-01,386.64
1996-03-01,385.614
1996-04-01,383.327
1996-05-01,379.382
1996-06-01,376.226
1996-07-01,369.994
1996-08-01,373.386
1996-09-01,370.783
1996-10-01,367.47
1996-11-01,367.312
1996-12-01,368.811
1997-01-01,366.128
1997-02-01,365.655
1997-03-01,365.734
1997-04-01,366.128
1997-05-01,367.549
1997-06-01,370.941
1997-07-01,369.6
1997-08-01,369.836
1997-09-01,369.679
1997-10-01,368.653
1997-11-01,368.18
1997-12-01,370.625
1998-01-01,368.416
1998-02-01,369.363
1998-03-01,369.836
1998-04-01,368.416
1998-05-01,368.653
1998-06-01,368.732
1998-07-01,364.63
1998-08-01,366.05
1998-09-01,367.312
1998-10-01,366.917
1998-11-01,366.681
1998-12-01,366.917
1999-01-01,367.154
1999-02-01,365.655
1999-03-01,366.128
1999-04-01,366.602
