ds,y
1991-01-01,78.869
1991-04-01,244.271
1991-07-01,330.055
1991-10-01,158.327
1992-01-01,129.446
1992-04-01,244.782
1992-07-01,278.818
1992-10-01,100.969
1993-01-01,94.866
1993-04-01,315.775
1993-07-01,252.431
1993-10-01,182.009
1994-01-01,100.12
1994-04-01,156.067
1994-07-01,271.06
1994-10-01,193.837
1995-01-01,21.213
1995-04-01,137.02
1995-07-01,354.847
1995-10-01,124.044
1996-01-01,97.169
1996-04-01,171.765
1996-07-01,232.445
1996-10-01,161.773
1997-01-01,66.553
1997-04-01,247.025
1997-07-01,288.277
1997-10-01,41.241
1998-01-01,116.978
1998-04-01,150.032
1998-07-01,186.501
1998-10-01,212.293
1999-01-01,98.116
1999-04-01,163.519
1999-07-01,351.271
1999-10-01,197.878
2000-01-01,126.815
2000-04-01,197.208
2000-07-01,193.154
2000-10-01,158.276
2001-01-01,44.01
2001-04-01,237.63
2001-07-01,320.417
2001-10-01,94.382
2002-01-01,72.276
2002-04-01,90.531
2002-07-01,332.045
2002-10-01,109.514
2003-01-01,25.786
2003-04-01,155.084
2003-07-01,366.911
2003-10-01,134.371
2004-01-01,67.239
2004-04-01,156.471
2004-07-01,241.779
2004-10-01,138.904
2005-01-01,37.819
2005-04-01,151.766
2005-07-01,224.306
2005-10-01,178.4
2006-01-01,83.493
2006-04-01,344.81
2006-07-01,242.529
2006-10-01,139.571
