ds,y
2003-10-01,27588.43
2003-11-01,27691.242
2003-12-01,27751.735
2004-01-01,27716.741
2004-02-01,27767.197
2004-03-01,27867.567
2004-04-01,27936.198
2004-05-01,28028.701
2004-06-01,28148.603
2004-07-01,28228.627
2004-08-01,28245.446
2004-09-01,28187.123
2004-10-01,28276.914
2004-11-01,28344.731
2004-12-01,28429.91
2005-01-01,28323.843
2005-02-01,28355.582
2005-03-01,28427.468
2005-04-01,28461.377
2005-05-01,28523.227
2005-06-01,28655.878
2005-07-01,28698.738
2005-08-01,28693.584
2005-09-01,28652.894
2005-10-01,28731.291
2005-11-01,28784.46
2005-12-01,28824.336
2006-01-01,28720.983
2006-02-01,28780.662
2006-03-01,28862.857
2006-04-01,28914.398
2006-05-01,28937.727
2006-06-01,29065.224
2006-07-01,29107.542
2006-08-01,29108.356
2006-09-01,29036.198
2006-10-01,29097.505
2006-11-01,29171.019
2006-12-01,29210.625
2007-01-01,29133.584
2007-02-01,29164.78
2007-03-01,29233.14
2007-04-01,29248.331
2007-05-01,29308.825
2007-06-01,29483.522
2007-07-01,29546.728
2007-08-01,29576.297
2007-09-01,29554.053
2007-10-01,29638.689
2007-11-01,29737.16
2007-12-01,29822.61
2008-01-01,29801.451
2008-02-01,29886.901
2008-03-01,29996.765
2008-04-01,30065.668
2008-05-01,30164.681
2008-06-01,30398.516
2008-07-01,30488.578
2008-08-01,30567.517
2008-09-01,30546.358
2008-10-01,30651.069
2008-11-01,30772.869
2008-12-01,30860.218
2009-01-01,30820.612
2009-02-01,30882.462
2009-03-01,30998.837
2009-04-01,31068.282
2009-05-01,31137.456
2009-06-01,31296.42
2009-07-01,31356.099
2009-08-01,31445.076
2009-09-01,31474.916
2009-10-01,31585.322
2009-11-01,31712.277
2009-12-01,31747.813
2010-01-01,31675.927
2010-02-01,31718.787
2010-03-01,31824.583
2010-04-01,31910.304
2010-05-01,31990.871
2010-06-01,32160.957
2010-07-01,32130.033
2010-08-01,32178.861
2010-09-01,32118.097
2010-10-01,32258.343
2010-11-01,32316.666
2010-12-01,32392.622
2011-01-01,32287.912
2011-02-01,32290.624
2011-03-01,32434.669
2011-04-01,32541.82
2011-05-01,32619.404
2011-06-01,32773.485
2011-07-01,32824.755
2011-08-01,32854.052
2011-09-01,32784.878
2011-10-01,32927.838
2011-11-01,33027.122
2011-12-01,33063.744
2012-01-01,32950.896
2012-02-01,32988.602
2012-03-01,33077.579
2012-04-01,33165.741
2012-05-01,33267.196
2012-06-01,33479.872
2012-07-01,33550.945
2012-08-01,33613.88
2012-09-01,33554.471
2012-10-01,33642.634
2012-11-01,33767.418
2012-12-01,33788.849
2013-01-01,33728.084
2013-02-01,33770.402
