ds,y
2006-10-01,63.541
2006-11-01,68.808
2006-12-01,73.893
2007-01-01,64.495
2007-02-01,62.514
2007-03-01,61.644
2007-04-01,60.992
2007-05-01,60.871
2007-06-01,59.566
2007-07-01,60.11
2007-08-01,61.427
2007-09-01,63.021
2007-10-01,64.556
2007-11-01,70.849
2007-12-01,76.466
2008-01-01,67.201
2008-02-01,63.287
2008-03-01,62.333
2008-04-01,62.091
2008-05-01,62.405
2008-06-01,61.62
2008-07-01,61.741
2008-08-01,62.659
2008-09-01,65.498
2008-10-01,67.261
2008-11-01,74.268
2008-12-01,79.752
2009-01-01,68.482
2009-02-01,65.643
2009-03-01,64.362
2009-04-01,64.205
2009-05-01,64.471
2009-06-01,63.807
2009-07-01,63.311
2009-08-01,64.495
2009-09-01,66.875
2009-10-01,67.865
2009-11-01,72.722
2009-12-01,78.387
2010-01-01,69.363
2010-02-01,67.467
2010-03-01,66.585
2010-04-01,66.633
2010-05-01,67.406
2010-06-01,67.068
2010-07-01,67.298
2010-08-01,68.639
2010-09-01,71.151
2010-10-01,72.383
2010-11-01,77.638
2010-12-01,83.086
2011-01-01,73.108
2011-02-01,70.765
2011-03-01,69.992
2011-04-01,70.004
2011-05-01,69.955
2011-06-01,68.904
2011-07-01,69.146
2011-08-01,69.859
2011-09-01,72.226
2011-10-01,74.401
2011-11-01,79.958
2011-12-01,85.381
2012-01-01,75.174
2012-02-01,72.685
2012-03-01,71.61
2012-04-01,70.74
2012-05-01,71.115
2012-06-01,70.716
2012-07-01,70.535
2012-08-01,71.465
2012-09-01,72.033
2012-10-01,72.939
2012-11-01,75.126
2012-12-01,77.252
2013-01-01,71.502
2013-02-01,69.303
2013-03-01,69.931
2013-04-01,69.992
2013-05-01,69.979
2013-06-01,70.269
2013-07-01,70.245
2013-08-01,71.139
2013-09-01,71.477
2013-10-01,72.13
2013-11-01,74.787
2013-12-01,77.143
2014-01-01,71.731
2014-02-01,69.581
2014-03-01,69.243
2014-04-01,68.771
2014-05-01,68.941
2014-06-01,68.759
2014-07-01,68.928
2014-08-01,69.726
2014-09-01,70.68
2014-10-01,71.018
2014-11-01,73.434
2014-12-01,76.829
2015-01-01,71.055
2015-02-01,69.025
2015-03-01,69.025
2015-04-01,68.337
2015-05-01,69.073
2015-06-01,68.808
2015-07-01,68.397
2015-08-01,69.81
2015-09-01,71.586
2015-10-01,71.876
2015-11-01,74.775
2015-12-01,77.542
2016-01-01,72.383
2016-02-01,69.798
2016-03-01,69.786
2016-04-01,69.774
2016-05-01,70.378
2016-06-01,70.499
2016-07-01,70.583
2016-08-01,71.791
2016-09-01,72.009
2016-10-01,73.338
2016-11-01,76.72
2016-12-01,79.619
2017-01-01,74.268
2017-02-01,72.033
2017-03-01,71.61
2017-04-01,71.224
2017-05-01,71.357
2017-06-01,71.284
2017-07-01,70.451
2017-08-01,72.178
2017-09-01,71.912
2017-10-01,72.818
2017-11-01,78.23
2017-12-01,81.057
2018-01-01,76.321
2018-02-01,73.555
2018-03-01,72.951
2018-04-01,72.854
2018-05-01,73.362
2018-06-01,72.963
2018-07-01,73.205
2018-08-01,74.606
2018-09-01,75.633
2018-10-01,75.645
2018-11-01,80.308
2018-12-01,82.096
2019-01-01,78.375
2019-02-01,74.872
2019-03-01,73.289
2019-04-01,71.961
2019-05-01,72.891
2019-06-01,72.794
2019-07-01,72.166
2019-08-01,74.956
2019-09-01,75.295
2019-10-01,76.164
2019-11-01,78.556
2019-12-01,80.187
2020-01-01,74.799
2020-02-01,70.898
2020-03-01,69.979
2020-04-01,69.267
2020-05-01,69.545
2020-06-01,69.098
2020-07-01,68.59
2020-08-01,70.68
2020-09-01,71.985
2020-10-01,69.919
2020-11-01,73.471
2020-12-01,75.899
2021-01-01,71.477
2021-02-01,69.388
2021-03-01,67.974
2021-04-01,67.781
2021-05-01,67.757
2021-06-01,67.914
2021-07-01,67.382
2021-08-01,69.388
2021-09-01,69.436
2021-10-01,69.822
2021-11-01,74.183
2021-12-01,76.889
2022-01-01,71.429
2022-02-01,68.614
2022-03-01,67.962
2022-04-01,67.624
2022-05-01,67.781
2022-06-01,67.817
2022-07-01,68.614
2022-08-01,70.511
2022-09-01,70.414
2022-10-01,69.545
2022-11-01,73.434
2022-12-01,73.905
2023-01-01,68.747
2023-02-01,67.902
2023-03-01,67.636
2023-04-01,68.047
2023-05-01,69.146
2023-06-01,69.677
2023-07-01,69.436
2023-08-01,71.103
2023-09-01,70.74
2023-10-01,70.475
2023-11-01,75.283
2023-12-01,75.693
2024-01-01,72.009
2024-02-01,70.076
2024-03-01,68.953
2024-04-01,68.941
2024-05-01,69.617
2024-06-01,70.269
2024-07-01,70.716
2024-08-01,72.552
2024-09-01,72.854
2024-10-01,74.377
2024-11-01,80.368
2024-12-01,82.676
2025-01-01,74.062
2025-02-01,71.127
2025-03-01,71.502
2025-04-01,71.707
2025-05-01,72.263
2025-06-01,72.299
2025-07-01,72.033
2025-08-01,73.434
2025-09-01,74.437
2025-10-01,76.37
2025-11-01,82.917
2025-12-01,84.862
2026-01-01,76.08
2026-02-01,73.797
2026-03-01,73.603
2026-04-01,73.519
2026-05-01,73.229
2026-06-01,72.903
2026-07-01,73.398
2026-08-01,73.446
2026-09-01,73.7
2026-10-01,74.642
2026-11-01,82.108
2026-12-01,83.014
2027-01-01,75.814
2027-02-01,73.712
2027-03-01,73.7
2027-04-01,72.939
2027-05-01,72.915
2027-06-01,72.625
2027-07-01,72.915
2027-08-01,73.555
2027-09-01,73.096
2027-10-01,73.99
2027-11-01,80.864
2027-12-01,83.135
2028-01-01,75.029
2028-02-01,71.586
2028-03-01,70.318
2028-04-01,70.221
2028-05-01,70.294
2028-06-01,70.535
