ds,y
2006-01-01,37.538
2006-04-01,33.523
2006-07-01,73.124
2006-10-01,72.179
2007-01-01,70.467
2007-04-01,70.988
2007-07-01,48.363
2007-10-01,48.509
2008-01-01,61.46
2008-04-01,49.794
2008-07-01,122.914
2008-10-01,72.354
2009-01-01,89.944
2009-04-01,61.129
2009-07-01,61.077
2009-10-01,47.523
2010-01-01,80.278
2010-04-01,51.864
2010-07-01,64.752
2010-10-01,77.138
2011-01-01,52.665
2011-04-01,106.503
2011-07-01,71.04
2011-10-01,71.568
2012-01-01,55.892
2012-04-01,60.281
2012-07-01,51.812
2012-10-01,59.867
2013-01-01,34.309
2013-04-01,59.726
2013-07-01,77.718
2013-10-01,93.352
2014-01-01,58.231
2014-04-01,53.586
2014-07-01,82.174
2014-10-01,64.315
2015-01-01,30.381
2015-04-01,90.441
2015-07-01,58.068
2015-10-01,71.834
2016-01-01,94.109
2016-04-01,121.388
2016-07-01,88.563
2016-10-01,97.101
2017-01-01,72.337
2017-04-01,84.239
2017-07-01,58.339
2017-10-01,84.505
2018-01-01,54.238
2018-04-01,90.537
2018-07-01,95.967
2018-10-01,98.737
2019-01-01,61.03
2019-04-01,117.929
2019-07-01,100.184
2019-10-01,69.509
