ds,y
2012-01-01,51.607
2012-04-01,54.363
2012-07-01,211.047
2012-10-01,81.955
2013-01-01,107.529
2013-04-01,76.715
2013-07-01,31.075
2013-10-01,32.582
2014-01-01,75.041
2014-04-01,30.549
2014-07-01,229.989
2014-10-01,148.251
2015-01-01,74.489
2015-04-01,10.787
2015-07-01,11.266
2015-10-01,32.737
2016-01-01,122.183
2016-04-01,54.986
2016-07-01,174.706
2016-10-01,78.285
2017-01-01,31.423
2017-04-01,106.413
2017-07-01,48.845
2017-10-01,79.567
2018-01-01,34.951
2018-04-01,148.942
2018-07-01,129.498
2018-10-01,31.685
2019-01-01,91.058
2019-04-01,23.141
2019-07-01,91.115
2019-10-01,147.915
2020-01-01,72.202
2020-04-01,35.104
2020-07-01,99.036
2020-10-01,84.378
2021-01-01,66.405
2021-04-01,65.38
2021-07-01,169.642
2021-10-01,163.88
2022-01-01,26.435
2022-04-01,117.073
2022-07-01,77.932
2022-10-01,71.674
2023-01-01,135.624
2023-04-01,61.442
2023-07-01,180.202
2023-10-01,74.954
2024-01-01,129.464
2024-04-01,56.849
2024-07-01,101.458
2024-10-01,50.467
2025-01-01,164.76
2025-04-01,63.247
2025-07-01,70.874
2025-10-01,106.619
2026-01-01,27.329
2026-04-01,44.968
