ds,y
1985-01-01,2.853
1985-02-01,2.624
1985-03-01,3.152
1985-04-01,2.8
1985-05-01,2.923
1985-06-01,2.782
1985-07-01,2.941
1985-08-01,2.976
1985-09-01,3.24
1985-10-01,3.258
1985-11-01,3.275
1985-12-01,4.772
1986-01-01,2.853
1986-02-01,2.941
1986-03-01,3.487
1986-04-01,3.452
1986-05-01,3.628
1986-06-01,3.469
1986-07-01,3.663
1986-08-01,3.839
1986-09-01,3.733
1986-10-01,3.733
1986-11-01,4.068
1986-12-01,6.023
1987-01-01,3.469
1987-02-01,3.469
1987-03-01,3.839
1987-04-01,3.469
1987-05-01,3.557
1987-06-01,3.452
1987-07-01,3.504
1987-08-01,3.645
1987-09-01,3.68
1987-10-01,3.804
1987-11-01,3.98
1987-12-01,5.494
1988-01-01,3.099
1988-02-01,3.135
1988-03-01,3.575
1988-04-01,3.575
1988-05-01,3.68
1988-06-01,3.592
1988-07-01,3.874
1988-08-01,3.821
1988-09-01,3.98
1988-10-01,3.945
1988-11-01,4.279
1988-12-01,5.547
1989-01-01,3.452
1989-02-01,3.399
1989-03-01,3.733
1989-04-01,3.68
1989-05-01,3.821
1989-06-01,3.557
1989-07-01,3.434
1989-08-01,3.68
1989-09-01,3.698
1989-10-01,3.751
1989-11-01,4.226
1989-12-01,6.269
1990-01-01,3.997
1990-02-01,3.663
1990-03-01,4.138
1990-04-01,4.226
1990-05-01,4.543
1990-06-01,4.262
1990-07-01,4.737
1990-08-01,4.614
1990-09-01,4.42
1990-10-01,4.702
1990-11-01,4.843
1990-12-01,7.079
1991-01-01,4.438
1991-02-01,4.244
1991-03-01,4.79
1991-04-01,4.543
1991-05-01,4.86
1991-06-01,4.772
1991-07-01,5.054
1991-08-01,4.913
1991-09-01,5.001
1991-10-01,5.283
1991-11-01,5.23
1991-12-01,7.15
1992-01-01,4.438
1992-02-01,4.737
1992-03-01,5.547
1992-04-01,5.318
1992-05-01,5.67
1992-06-01,5.494
1992-07-01,5.917
1992-08-01,5.688
1992-09-01,5.618
1992-10-01,6.005
1992-11-01,6.709
1992-12-01,8.911
1993-01-01,5.177
1993-02-01,5.371
1993-03-01,5.97
1993-04-01,5.441
1993-05-01,5.811
1993-06-01,6.093
1993-07-01,6.304
1993-08-01,6.674
1993-09-01,6.516
1993-10-01,6.621
1993-11-01,7.114
1993-12-01,9.545
1994-01-01,6.181
1994-02-01,6.322
1994-03-01,7.097
1994-04-01,6.304
1994-05-01,6.533
1994-06-01,6.287
1994-07-01,6.727
1994-08-01,6.692
1994-09-01,6.322
1994-10-01,6.216
1994-11-01,6.586
1994-12-01,9.122
1995-01-01,6.04
1995-02-01,5.935
1995-03-01,6.428
1995-04-01,6.234
1995-05-01,6.533
1995-06-01,6.093
1995-07-01,6.762
1995-08-01,6.903
1995-09-01,6.586
1995-10-01,6.304
1995-11-01,6.815
1995-12-01,8.963
1996-01-01,5.758
1996-02-01,5.811
1996-03-01,6.322
1996-04-01,5.97
1996-05-01,6.498
1996-06-01,6.304
1996-07-01,6.745
1996-08-01,6.938
1996-09-01,6.886
1996-10-01,6.498
1996-11-01,6.903
1996-12-01,9.545
1997-01-01,6.269
1997-02-01,6.234
1997-03-01,6.639
1997-04-01,6.304
1997-05-01,6.181
1997-06-01,6.34
1997-07-01,6.78
1997-08-01,6.533
1997-09-01,6.322
1997-10-01,6.304
1997-11-01,6.621
1997-12-01,8.893
1998-01-01,5.582
1998-02-01,5.847
1998-03-01,5.935
1998-04-01,6.199
1998-05-01,6.269
1998-06-01,6.164
1998-07-01,7.273
1998-08-01,7.202
1998-09-01,7.079
1998-10-01,6.41
1998-11-01,6.762
1998-12-01,9.052
1999-01-01,6.164
1999-02-01,6.533
1999-03-01,6.956
1999-04-01,6.375
1999-05-01,6.692
1999-06-01,6.692
1999-07-01,7.238
1999-08-01,6.886
1999-09-01,6.833
1999-10-01,6.903
1999-11-01,7.255
1999-12-01,9.351
2000-01-01,6.41
2000-02-01,6.516
2000-03-01,7.379
2000-04-01,6.586
2000-05-01,6.868
2000-06-01,6.745
2000-07-01,6.974
2000-08-01,6.956
2000-09-01,6.745
2000-10-01,7.502
2000-11-01,7.625
2000-12-01,10.002
2001-01-01,6.868
2001-02-01,7.185
2001-03-01,7.202
2001-04-01,7.062
2001-05-01,7.343
2001-06-01,6.85
2001-07-01,7.291
2001-08-01,7.291
2001-09-01,7.097
2001-10-01,7.079
2001-11-01,7.238
2001-12-01,10.619
2002-01-01,6.287
2002-02-01,6.04
2002-03-01,6.322
2002-04-01,6.569
2002-05-01,6.674
2002-06-01,6.322
2002-07-01,6.991
2002-08-01,6.586
2002-09-01,6.41
2002-10-01,7.114
2002-11-01,7.625
2002-12-01,11.059
2003-01-01,6.657
2003-02-01,6.745
2003-03-01,7.202
2003-04-01,7.044
2003-05-01,7.202
2003-06-01,6.745
2003-07-01,6.727
2003-08-01,6.938
2003-09-01,6.727
2003-10-01,6.833
2003-11-01,7.537
2003-12-01,10.443
2004-01-01,6.075
2004-02-01,6.023
2004-03-01,6.445
2004-04-01,6.445
2004-05-01,6.463
2004-06-01,6.269
2004-07-01,6.216
2004-08-01,6.551
2004-09-01,6.48
2004-10-01,6.445
2004-11-01,7.079
2004-12-01,9.492
2005-01-01,5.776
2005-02-01,6.41
2005-03-01,6.586
2005-04-01,6.093
2005-05-01,6.586
2005-06-01,6.392
2005-07-01,5.829
