ds,y
1992-01-01,20.793
1992-04-01,30.8
1992-07-01,53.493
1992-10-01,8.885
1993-01-01,11.29
1993-04-01,21.4
1993-07-01,27.625
1993-10-01,25.415
1994-01-01,14.574
1994-04-01,36.898
1994-07-01,57.073
1994-10-01,50.176
1995-01-01,31.504
1995-04-01,26.975
1995-07-01,40.948
1995-10-01,23.994
1996-01-01,25.821
1996-04-01,49.489
1996-07-01,46.188
1996-10-01,52.818
1997-01-01,28.24
1997-04-01,55.943
1997-07-01,81.045
1997-10-01,27.034
1998-01-01,26.17
1998-04-01,37.817
1998-07-01,62.201
1998-10-01,25.69
1999-01-01,23.555
1999-04-01,67.625
1999-07-01,41.799
1999-10-01,16.076
2000-01-01,23.911
2000-04-01,64.884
2000-07-01,49.999
2000-10-01,33.297
2001-01-01,25.416
2001-04-01,57.563
2001-07-01,52.689
2001-10-01,30.578
2002-01-01,41.033
2002-04-01,47.63
2002-07-01,57.824
2002-10-01,32.26
2003-01-01,53.642
2003-04-01,30.133
2003-07-01,76.977
2003-10-01,53.172
2004-01-01,25.335
2004-04-01,28.757
2004-07-01,97.815
2004-10-01,48.454
2005-01-01,25.095
2005-04-01,47.025
2005-07-01,55.387
2005-10-01,31.407
2006-01-01,44.921
2006-04-01,76.843
