ds,y
2014-01-01,295.38
2014-04-01,288.652
2014-07-01,206.559
2014-10-01,294.35
2015-01-01,267.838
2015-04-01,465.979
2015-07-01,247.027
2015-10-01,343.04
2016-01-01,306.081
2016-04-01,345.22
2016-07-01,211.214
2016-10-01,261.401
2017-01-01,207.857
2017-04-01,291.519
2017-07-01,261.971
2017-10-01,269.351
2018-01-01,212.695
2018-04-01,255.387
2018-07-01,241.68
2018-10-01,210.748
2019-01-01,227.204
2019-04-01,250.804
2019-07-01,288.361
2019-10-01,172.471
2020-01-01,278.859
2020-04-01,248.088
2020-07-01,247.151
2020-10-01,207.524
2021-01-01,271.415
2021-04-01,215.456
2021-07-01,223.267
2021-10-01,189.368
2022-01-01,284.301
2022-04-01,261.694
2022-07-01,263.587
2022-10-01,223.428
2023-01-01,344.515
2023-04-01,233.717
2023-07-01,217.15
2023-10-01,188.678
2024-01-01,559.065
2024-04-01,380.685
2024-07-01,246.966
2024-10-01,247.891
2025-01-01,225.847
2025-04-01,207.266
2025-07-01,300.848
2025-10-01,235.163
2026-01-01,263.387
2026-04-01,202.35
2026-07-01,242.898
2026-10-01,153.631
2027-01-01,402.656
2027-04-01,223.266
2027-07-01,336.645
2027-10-01,234.584
2028-01-01,353.132
2028-04-01,279.341
2028-07-01,360.229
2028-10-01,252.198
