ds,y
2009-01-01,69.084
2009-04-01,82.142
2009-07-01,99.476
2009-10-01,71.291
2010-01-01,113.957
2010-04-01,71.368
2010-07-01,92.171
2010-10-01,39.848
2011-01-01,83.033
2011-04-01,51.54
2011-07-01,97.454
2011-10-01,118.631
2012-01-01,44.438
2012-04-01,79.447
2012-07-01,82.688
2012-10-01,72.81
2013-01-01,81.207
2013-04-01,36.318
2013-07-01,98.055
2013-10-01,80.611
2014-01-01,74.881
2014-04-01,90.51
2014-07-01,127.939
2014-10-01,103.177
2015-01-01,85.385
2015-04-01,49.933
2015-07-01,105.968
2015-10-01,76.489
2016-01-01,74.649
2016-04-01,55.294
2016-07-01,108.399
2016-10-01,72.312
2017-01-01,79.222
2017-04-01,62.358
2017-07-01,108.517
2017-10-01,82.777
2018-01-01,77.237
2018-04-01,83.684
2018-07-01,95.634
2018-10-01,60.65
2019-01-01,62.816
2019-04-01,37.755
2019-07-01,105.373
2019-10-01,76.035
2020-01-01,94.855
2020-04-01,72.321
2020-07-01,89.349
2020-10-01,68.593
2021-01-01,52.975
2021-04-01,90.71
2021-07-01,82.346
2021-10-01,59.424
2022-01-01,43.302
2022-04-01,62.379
2022-07-01,129.125
2022-10-01,75.961
2023-01-01,81.907
2023-04-01,78.135
2023-07-01,96.188
2023-10-01,82.323
2024-01-01,25.962
2024-04-01,58.943
2024-07-01,71.171
2024-10-01,74.218
2025-01-01,75.481
2025-04-01,52.256
2025-07-01,88.904
2025-10-01,89.757
