ds,y
2001-10-01,796.708
2001-11-01,785.911
2001-12-01,769.241
2002-01-01,742.885
2002-02-01,739.392
2002-03-01,749.712
2002-04-01,767.177
2002-05-01,780.196
2002-06-01,791.627
2002-07-01,789.404
2002-08-01,793.056
2002-09-01,793.056
2002-10-01,786.705
2002-11-01,782.101
2002-12-01,768.923
2003-01-01,743.361
2003-02-01,752.093
2003-03-01,757.333
2003-04-01,769.717
2003-05-01,784.006
2003-06-01,793.85
2003-07-01,792.104
2003-08-01,797.343
2003-09-01,798.931
2003-10-01,797.025
2003-11-01,791.627
2003-12-01,779.084
2004-01-01,760.826
2004-02-01,760.35
2004-03-01,773.845
2004-04-01,796.39
2004-05-01,808.139
2004-06-01,819.253
2004-07-01,817.824
2004-08-01,823.858
2004-09-01,822.587
2004-10-01,822.111
2004-11-01,817.824
2004-12-01,804.011
2005-01-01,783.371
2005-02-01,786.229
2005-03-01,798.296
2005-04-01,815.601
2005-05-01,822.746
2005-06-01,833.86
2005-07-01,827.033
2005-08-01,830.685
2005-09-01,827.986
2005-10-01,825.763
2005-11-01,820.523
2005-12-01,803.376
2006-01-01,778.132
2006-02-01,785.118
2006-03-01,796.39
2006-04-01,812.267
2006-05-01,828.303
2006-06-01,837.353
2006-07-01,833.701
2006-08-01,841.005
2006-09-01,841.005
2006-10-01,841.322
2006-11-01,836.242
2006-12-01,824.175
2007-01-01,801.312
2007-02-01,803.535
2007-03-01,815.125
2007-04-01,829.414
2007-05-01,841.957
2007-06-01,848.308
2007-07-01,847.514
2007-08-01,852.436
2007-09-01,851.166
2007-10-01,849.896
2007-11-01,842.91
2007-12-01,832.114
2008-01-01,818.459
2008-02-01,819.412
2008-03-01,826.398
2008-04-01,845.45
2008-05-01,853.865
2008-06-01,865.932
2008-07-01,859.581
2008-08-01,867.678
2008-09-01,865.455
2008-10-01,863.391
2008-11-01,860.692
2008-12-01,851.484
2009-01-01,822.746
2009-02-01,829.732
2009-03-01,835.289
2009-04-01,849.896
2009-05-01,858.946
2009-06-01,869.266
2009-07-01,871.33
2009-08-01,873.076
2009-09-01,873.711
2009-10-01,875.775
2009-11-01,874.346
2009-12-01,868.948
2010-01-01,852.119
2010-02-01,852.436
2010-03-01,866.408
2010-04-01,875.617
2010-05-01,886.095
2010-06-01,894.351
2010-07-01,898.638
2010-08-01,896.098
2010-09-01,891.97
2010-10-01,887.366
2010-11-01,884.031
2010-12-01,873.711
2011-01-01,857.04
2011-02-01,857.04
2011-03-01,864.503
2011-04-01,873.711
2011-05-01,876.569
2011-06-01,880.697
2011-07-01,878.157
2011-08-01,873.553
2011-09-01,866.567
2011-10-01,860.057
2011-11-01,851.007
2011-12-01,835.765
2012-01-01,810.838
2012-02-01,805.123
2012-03-01,810.838
2012-04-01,818.459
2012-05-01,825.763
2012-06-01,831.478
2012-07-01,834.336
2012-08-01,832.431
2012-09-01,830.05
2012-10-01,824.016
2012-11-01,812.902
