ds,y
1980-10-01,1395.893
1980-11-01,1405.759
1980-12-01,1414.702
1981-01-01,1406.753
1981-02-01,1412.289
1981-03-01,1415.909
1981-04-01,1418.251
1981-05-01,1418.89
1981-06-01,1414.064
1981-07-01,1385.814
1981-08-01,1398.732
1981-09-01,1406.185
1981-10-01,1388.227
1981-11-01,1379.212
1981-12-01,1407.604
1982-01-01,1390.072
1982-02-01,1397.312
1982-03-01,1377.651
1982-04-01,1402.352
1982-05-01,1408.527
1982-06-01,1412.999
1982-07-01,1379.212
1982-08-01,1403.417
1982-09-01,1408.811
1982-10-01,1407.817
1982-11-01,1412.502
1982-12-01,1422.155
1983-01-01,1414.135
1983-02-01,1419.6
1983-03-01,1426.201
1983-04-01,1426.769
1983-05-01,1430.744
1983-06-01,1441.107
1983-07-01,1411.721
1983-08-01,1448.56
1983-09-01,1448.56
1983-10-01,1453.245
1983-11-01,1471.06
1983-12-01,1478.655
1984-01-01,1468.931
1984-02-01,1476.029
1984-03-01,1479.72
1984-04-01,1483.482
1984-05-01,1486.037
1984-06-01,1490.864
1984-07-01,1368.778
1984-08-01,1482.914
1984-09-01,1487.812
1984-10-01,1490.367
1984-11-01,1491.716
1984-12-01,1496.258
1985-01-01,1487.315
1985-02-01,1483.411
1985-03-01,1490.935
1985-04-01,1486.605
1985-05-01,1484.618
1985-06-01,1488.664
1985-07-01,1467.724
1985-08-01,1485.398
1985-09-01,1481.849
1985-10-01,1474.468
1985-11-01,1477.946
1985-12-01,1480.785
1986-01-01,1475.39
1986-02-01,1466.802
1986-03-01,1477.733
1986-04-01,1475.248
1986-05-01,1476.455
1986-06-01,1486.392
1986-07-01,1446.288
1986-08-01,1453.67
1986-09-01,1437.984
1986-10-01,1438.41
1986-11-01,1443.804
1986-12-01,1443.52
1987-01-01,1401.429
1987-02-01,1408.669
1987-03-01,1403.204
1987-04-01,1397.525
1987-05-01,1388.44
1987-06-01,1385.104
1987-07-01,1358.912
1987-08-01,1375.096
1987-09-01,1368.494
1987-10-01,1346.207
1987-11-01,1344.929
1987-12-01,1338.186
1988-01-01,1300.141
1988-02-01,1309.297
1988-03-01,1307.097
1988-04-01,1304.187
1988-05-01,1306.458
1988-06-01,1310.291
1988-07-01,1285.803
1988-08-01,1302.27
1988-09-01,1294.888
1988-10-01,1289.423
1988-11-01,1288.855
1988-12-01,1288.642
1989-01-01,1274.304
1989-02-01,1274.446
1989-03-01,1272.884
1989-04-01,1257.908
1989-05-01,1265.36
1989-06-01,1268.058
1989-07-01,1232.284
1989-08-01,1255.778
1989-09-01,1254.075
1989-10-01,1252.229
1989-11-01,1256.133
1989-12-01,1256.417
1990-01-01,1242.363
1990-02-01,1248.538
1990-03-01,1253.862
1990-04-01,1254.288
1990-05-01,1255.423
1990-06-01,1259.682
1990-07-01,1220.43
1990-08-01,1261.74
1990-09-01,1259.966
1990-10-01,1260.392
1990-11-01,1263.16
1990-12-01,1268.058
1991-01-01,1246.196
1991-02-01,1266.709
1991-03-01,1267.49
1991-04-01,1268.2
1991-05-01,1272.387
1991-06-01,1265.431
1991-07-01,1229.019
1991-08-01,1254.926
1991-09-01,1245.912
1991-10-01,1252.229
1991-11-01,1259.611
1991-12-01,1267.277
1992-01-01,1256.63
1992-02-01,1254.075
1992-03-01,1258.546
1992-04-01,1270.187
1992-05-01,1266.141
1992-06-01,1276.859
1992-07-01,1230.864
1992-08-01,1254.43
1992-09-01,1258.688
