ds,y
1984-01-01,28.332
1984-04-01,11.367
1984-07-01,27.935
1984-10-01,35.589
1985-01-01,33.166
1985-04-01,32.344
1985-07-01,46.398
1985-10-01,27.432
1986-01-01,20.378
1986-04-01,32.987
1986-07-01,34.51
1986-10-01,56.938
1987-01-01,33.468
1987-04-01,42.19
1987-07-01,27.322
1987-10-01,31.069
1988-01-01,34.232
1988-04-01,17.779
1988-07-01,33.781
1988-10-01,37.101
1989-01-01,28.229
1989-04-01,27.666
1989-07-01,42.01
1989-10-01,26.21
1990-01-01,19.244
1990-04-01,21.529
1990-07-01,29.564
1990-10-01,27.598
1991-01-01,33.618
1991-04-01,43.117
1991-07-01,25.929
1991-10-01,27.524
1992-01-01,30.048
1992-04-01,26.556
1992-07-01,27.555
1992-10-01,30.565
1993-01-01,34.413
1993-04-01,21.129
1993-07-01,19.169
1993-10-01,28.594
1994-01-01,27.262
1994-04-01,26.61
1994-07-01,18.572
1994-10-01,28.263
1995-01-01,20.705
1995-04-01,19.431
1995-07-01,15.613
1995-10-01,18.156
1996-01-01,22.145
1996-04-01,15.48
1996-07-01,17.163
1996-10-01,29.002
1997-01-01,37.495
1997-04-01,36.759
1997-07-01,54.285
1997-10-01,30.937
1998-01-01,20.193
1998-04-01,25.77
1998-07-01,35.962
1998-10-01,15.094
1999-01-01,29.092
1999-04-01,29.178
1999-07-01,29.201
1999-10-01,55.949
2000-01-01,34.57
2000-04-01,37.908
