ds,y
2000-01-01,9.229
2000-02-01,8.535
2000-03-01,10.569
2000-04-01,11.81
2000-05-01,11.264
2000-06-01,11.264
2000-07-01,12.405
2000-08-01,9.874
2000-09-01,10.172
2000-10-01,11.512
2000-11-01,12.554
2000-12-01,23.173
2001-01-01,9.775
2001-02-01,8.832
2001-03-01,9.974
2001-04-01,11.71
2001-05-01,11.71
2001-06-01,11.71
2001-07-01,11.016
2001-08-01,10.321
2001-09-01,10.073
2001-10-01,11.313
2001-11-01,12.504
2001-12-01,22.478
2002-01-01,9.974
2002-02-01,8.981
2002-03-01,10.569
2002-04-01,10.222
2002-05-01,12.157
2002-06-01,9.924
2002-07-01,12.703
2002-08-01,9.527
2002-09-01,10.569
2002-10-01,11.512
2002-11-01,13.05
2002-12-01,21.833
2003-01-01,11.413
2003-02-01,8.584
2003-03-01,9.825
2003-04-01,12.306
2003-05-01,12.157
2003-06-01,10.073
2003-07-01,13.497
2003-08-01,9.825
2003-09-01,10.668
2003-10-01,11.859
2003-11-01,12.802
2003-12-01,23.222
2004-01-01,12.207
2004-02-01,8.435
2004-03-01,10.569
2004-04-01,11.81
2004-05-01,11.71
2004-06-01,9.825
2004-07-01,12.802
2004-08-01,10.073
2004-09-01,11.016
2004-10-01,11.909
2004-11-01,13.794
2004-12-01,24.76
2005-01-01,10.966
2005-02-01,9.527
2005-03-01,10.817
2005-04-01,12.802
2005-05-01,13.397
2005-06-01,14.539
2005-07-01,10.321
2005-08-01,11.115
2005-09-01,11.859
2005-10-01,12.603
2005-11-01,13.943
2005-12-01,25.902
2006-01-01,11.115
2006-02-01,9.477
2006-03-01,12.355
2006-04-01,12.802
2006-05-01,13.199
2006-06-01,12.008
2006-07-01,13.497
2006-08-01,10.867
2006-09-01,11.413
2006-10-01,12.852
2006-11-01,14.886
2006-12-01,26.447
2007-01-01,11.71
2007-02-01,10.073
2007-03-01,12.207
2007-04-01,13.1
2007-05-01,14.092
2007-06-01,13.645
2007-07-01,12.157
2007-08-01,12.058
2007-09-01,12.008
2007-10-01,13.745
2007-11-01,16.821
2007-12-01,26.15
2008-01-01,12.058
2008-02-01,10.668
2008-03-01,12.951
2008-04-01,14.439
2008-05-01,14.191
2008-06-01,15.184
2008-07-01,12.455
2008-08-01,12.107
2008-09-01,12.752
2008-10-01,14.042
2008-11-01,16.325
2008-12-01,26.646
2009-01-01,12.852
2009-02-01,10.718
2009-03-01,12.951
2009-04-01,14.34
2009-05-01,14.688
2009-06-01,15.184
2009-07-01,12.901
2009-08-01,12.008
2009-09-01,13.199
2009-10-01,13.695
2009-11-01,15.63
2009-12-01,25.951
2010-01-01,12.554
2010-02-01,10.619
2010-03-01,13.249
2010-04-01,12.405
2010-05-01,13.993
2010-06-01,16.176
2010-07-01,12.554
2010-08-01,12.306
2010-09-01,12.653
2010-10-01,13.1
2010-11-01,17.02
2010-12-01,26.696
2011-01-01,13.348
2011-02-01,11.214
2011-03-01,13.1
2011-04-01,15.283
2011-05-01,14.291
2011-06-01,16.97
2011-07-01,14.092
2011-08-01,13.199
2011-09-01,12.306
2011-10-01,13.844
2011-11-01,16.623
2011-12-01,28.184
2012-01-01,13.993
2012-02-01,11.313
2012-03-01,14.39
2012-04-01,14.737
2012-05-01,15.184
2012-06-01,16.077
2012-07-01,14.936
2012-08-01,13.149
2012-09-01,13.546
2012-10-01,15.184
2012-11-01,16.821
2012-12-01,28.879
2013-01-01,14.588
2013-02-01,12.058
2013-03-01,14.539
2013-04-01,14.985
2013-05-01,14.985
2013-06-01,15.63
2013-07-01,15.333
2013-08-01,12.256
2013-09-01,13.249
2013-10-01,14.092
2013-11-01,16.027
2013-12-01,28.135
2014-01-01,15.134
2014-02-01,11.065
2014-03-01,13.596
2014-04-01,16.573
2014-05-01,15.878
2014-06-01,16.672
2014-07-01,15.035
2014-08-01,12.752
2014-09-01,14.241
2014-10-01,15.63
2014-11-01,17.615
2014-12-01,28.482
2015-01-01,14.787
2015-02-01,11.81
2015-03-01,14.489
2015-04-01,15.283
2015-05-01,14.737
2015-06-01,16.623
2015-07-01,14.787
2015-08-01,12.752
2015-09-01,13.794
2015-10-01,14.936
2015-11-01,17.268
2015-12-01,27.936
2016-01-01,14.638
2016-02-01,11.561
2016-03-01,13.745
2016-04-01,17.119
2016-05-01,14.985
2016-06-01,16.226
2016-07-01,15.283
2016-08-01,13.397
2016-09-01,13.993
2016-10-01,14.439
2016-11-01,16.375
2016-12-01,27.291
2017-01-01,13.993
2017-02-01,13.0
2017-03-01,14.042
2017-04-01,15.283
2017-05-01,15.233
2017-06-01,16.375
2017-07-01,13.596
2017-08-01,13.249
2017-09-01,13.546
2017-10-01,14.489
2017-11-01,16.176
2017-12-01,27.936
