ds,y
1989-10-01,1016.335
1989-11-01,1026.993
1989-12-01,1059.765
1990-01-01,1004.878
1990-02-01,1022.33
1990-03-01,1011.007
1990-04-01,1030.19
1990-05-01,1062.03
1990-06-01,1067.758
1990-07-01,1072.021
1990-08-01,1067.492
1990-09-01,1069.357
1990-10-01,1083.745
1990-11-01,1099.998
1990-12-01,1129.173
1991-01-01,1072.821
1991-02-01,1093.47
1991-03-01,1078.949
1991-04-01,1098.799
1991-05-01,1136.1
1991-06-01,1129.706
1991-07-01,1127.441
1991-08-01,1127.174
1991-09-01,1122.645
1991-10-01,1127.841
1991-11-01,1150.488
1991-12-01,1180.196
1992-01-01,1108.923
1992-02-01,1134.368
1992-03-01,1114.918
1992-04-01,1132.104
1992-05-01,1172.336
1992-06-01,1174.601
1992-07-01,1176.865
1992-08-01,1173.935
1992-09-01,1170.071
1992-10-01,1182.461
1992-11-01,1202.977
1992-12-01,1232.951
1993-01-01,1163.543
1993-02-01,1192.585
1993-03-01,1175.0
1993-04-01,1186.724
1993-05-01,1224.825
1993-06-01,1228.022
1993-07-01,1223.626
1993-08-01,1228.688
1993-09-01,1215.899
1993-10-01,1228.821
1993-11-01,1247.739
1993-12-01,1283.308
1994-01-01,1218.43
1994-02-01,1239.346
1994-03-01,1215.632
1994-04-01,1241.078
1994-05-01,1275.182
1994-06-01,1273.317
1994-07-01,1278.779
1994-08-01,1278.113
1994-09-01,1267.722
1994-10-01,1273.583
1994-11-01,1297.563
1994-12-01,1332.733
1995-01-01,1265.057
1995-02-01,1282.376
1995-03-01,1265.723
1995-04-01,1290.635
1995-05-01,1328.736
1995-06-01,1322.875
1995-07-01,1323.94
1995-08-01,1324.873
1995-09-01,1316.88
1995-10-01,1324.873
1995-11-01,1340.06
1995-12-01,1368.169
1996-01-01,1306.355
1996-02-01,1320.077
1996-03-01,1301.693
1996-04-01,1317.945
1996-05-01,1356.446
1996-06-01,1352.05
1996-07-01,1349.385
1996-08-01,1352.05
1996-09-01,1342.325
1996-10-01,1345.256
1996-11-01,1363.107
1996-12-01,1392.549
1997-01-01,1329.935
1997-02-01,1340.859
1997-03-01,1317.679
1997-04-01,1314.349
1997-05-01,1334.465
1997-06-01,1321.676
1997-07-01,1315.148
1997-08-01,1311.951
1997-09-01,1304.757
1997-10-01,1310.618
1997-11-01,1329.802
1997-12-01,1348.053
1998-01-01,1273.716
1998-02-01,1278.246
1998-03-01,1258.396
1998-04-01,1259.995
1998-05-01,1282.509
1998-06-01,1284.374
1998-07-01,1276.248
1998-08-01,1273.983
1998-09-01,1269.187
1998-10-01,1277.447
1998-11-01,1292.9
1998-12-01,1311.418
1999-01-01,1238.813
1999-02-01,1242.676
1999-03-01,1223.226
1999-04-01,1227.356
1999-05-01,1246.14
1999-06-01,1243.342
1999-07-01,1236.814
1999-08-01,1232.019
1999-09-01,1229.354
1999-10-01,1241.477
1999-11-01,1251.469
1999-12-01,1266.389
2000-01-01,1207.106
2000-02-01,1204.176
2000-03-01,1193.385
2000-04-01,1203.643
2000-05-01,1220.828
2000-06-01,1225.624
2000-07-01,1222.027
2000-08-01,1217.098
2000-09-01,1206.707
2000-10-01,1224.025
2000-11-01,1231.219
2000-12-01,1247.206
2001-01-01,1186.058
2001-02-01,1192.186
2001-03-01,1173.402
2001-04-01,1185.924
2001-05-01,1205.508
2001-06-01,1212.568
2001-07-01,1199.246
2001-08-01,1205.241
2001-09-01,1194.184
2001-10-01,1198.98
2001-11-01,1206.307
2001-12-01,1225.89
2002-01-01,1167.94
2002-02-01,1170.338
2002-03-01,1163.011
2002-04-01,1164.742
2002-05-01,1182.86
2002-06-01,1176.466
2002-07-01,1170.071
2002-08-01,1170.604
2002-09-01,1161.545
2002-10-01,1171.137
2002-11-01,1182.86
2002-12-01,1202.977
2003-01-01,1139.031
2003-02-01,1142.095
2003-03-01,1134.235
2003-04-01,1133.835
2003-05-01,1156.35
2003-06-01,1159.947
2003-07-01,1157.682
2003-08-01,1150.088
2003-09-01,1156.483
2003-10-01,1156.882
2003-11-01,1164.609
2003-12-01,1182.594
2004-01-01,1128.773
2004-02-01,1122.645
2004-03-01,1111.188
2004-04-01,1116.384
2004-05-01,1129.306
2004-06-01,1129.173
2004-07-01,1125.443
2004-08-01,1115.984
2004-09-01,1118.915
2004-10-01,1129.972
2004-11-01,1123.577
2004-12-01,1116.783
2005-01-01,1053.504
2005-02-01,1051.505
2005-03-01,1026.727
2005-04-01,1029.125
2005-05-01,1050.573
2005-06-01,1048.575
2005-07-01,1040.448
2005-08-01,1042.446
2005-09-01,1028.725
2005-10-01,1040.182
2005-11-01,1045.511
2005-12-01,1050.04
2006-01-01,1003.013
2006-02-01,1006.744
2006-03-01,994.487
2006-04-01,1002.747
2006-05-01,1016.735
2006-06-01,1016.602
2006-07-01,1019.799
2006-08-01,1017.001
2006-09-01,1008.609
2006-10-01,1022.464
