ds,y
2010-01-01,1666.264
2010-04-01,1729.771
2010-07-01,2194.345
2010-10-01,1901.295
2011-01-01,1409.115
2011-04-01,2520.779
2011-07-01,2107.572
2011-10-01,2174.303
2012-01-01,1598.557
2012-04-01,2220.8
2012-07-01,2027.352
2012-10-01,2172.877
2013-01-01,2019.66
2013-04-01,1829.026
2013-07-01,2031.284
2013-10-01,3009.647
2014-01-01,1759.186
2014-04-01,2071.444
2014-07-01,2470.819
2014-10-01,2035.39
2015-01-01,2087.138
2015-04-01,1736.749
2015-07-01,2152.981
2015-10-01,1941.895
2016-01-01,1980.315
2016-04-01,1991.371
2016-07-01,1990.958
2016-10-01,1809.596
2017-01-01,1603.497
2017-04-01,1615.66
2017-07-01,2147.627
2017-10-01,1849.788
2018-01-01,1565.838
2018-04-01,1766.219
2018-07-01,1912.943
2018-10-01,1720.271
2019-01-01,1317.231
2019-04-01,1904.88
2019-07-01,1862.126
2019-10-01,1604.224
2020-01-01,1666.42
2020-04-01,1753.074
2020-07-01,2062.306
2020-10-01,1529.295
2021-01-01,1126.949
2021-04-01,1526.856
2021-07-01,1631.889
2021-10-01,1787.662
2022-01-01,1277.909
2022-04-01,1482.749
2022-07-01,1956.79
2022-10-01,1446.666
2023-01-01,1642.234
2023-04-01,2085.208
2023-07-01,2312.746
2023-10-01,1486.328
2024-01-01,1543.734
2024-04-01,1540.673
2024-07-01,1688.309
2024-10-01,2031.659
2025-01-01,1147.151
2025-04-01,2018.098
2025-07-01,1839.101
2025-10-01,2018.19
2026-01-01,1397.861
2026-04-01,1735.427
2026-07-01,2033.969
2026-10-01,2428.613
