ds,y
1985-01-01,399.704
1985-04-01,269.454
1985-07-01,186.243
1985-10-01,381.775
1986-01-01,369.604
1986-04-01,360.262
1986-07-01,209.516
1986-10-01,385.862
1987-01-01,578.415
1987-04-01,192.557
1987-07-01,168.159
1987-10-01,519.289
1988-01-01,606.342
1988-04-01,262.593
1988-07-01,256.759
1988-10-01,418.221
1989-01-01,610.839
1989-04-01,386.778
1989-07-01,333.688
1989-10-01,822.196
1990-01-01,637.013
1990-04-01,286.554
1990-07-01,551.085
1990-10-01,418.292
1991-01-01,667.007
1991-04-01,344.668
1991-07-01,172.233
1991-10-01,350.017
1992-01-01,434.311
1992-04-01,197.093
1992-07-01,186.382
1992-10-01,564.372
1993-01-01,807.645
1993-04-01,269.048
1993-07-01,299.559
1993-10-01,428.357
1994-01-01,669.121
1994-04-01,355.226
1994-07-01,240.871
1994-10-01,374.365
1995-01-01,690.602
1995-04-01,464.097
1995-07-01,206.265
1995-10-01,330.713
1996-01-01,330.868
1996-04-01,219.413
1996-07-01,263.305
1996-10-01,327.181
1997-01-01,615.552
1997-04-01,443.534
1997-07-01,265.831
1997-10-01,457.36
1998-01-01,653.55
1998-04-01,431.161
1998-07-01,324.825
1998-10-01,398.82
1999-01-01,612.988
1999-04-01,291.252
1999-07-01,314.328
1999-10-01,821.721
2000-01-01,637.059
2000-04-01,403.447
2000-07-01,324.028
2000-10-01,409.155
