ds,y
1987-01-01,711.953
1987-02-01,695.125
1987-03-01,754.023
1987-04-01,755.965
1987-05-01,758.554
1987-06-01,602.571
1987-07-01,647.23
1987-08-01,629.755
1987-09-01,673.766
1987-10-01,687.358
1987-11-01,697.714
1987-12-01,840.105
1988-01-01,766.32
1988-02-01,664.705
1988-03-01,675.708
1988-04-01,679.592
1988-05-01,667.294
1988-06-01,636.874
1988-07-01,689.3
1988-08-01,659.527
1988-09-01,655.644
1988-10-01,644.641
1988-11-01,656.938
1988-12-01,800.624
1989-01-01,719.72
1989-02-01,667.941
1989-03-01,665.352
1989-04-01,611.632
1989-05-01,605.16
1989-06-01,628.46
1989-07-01,673.766
1989-08-01,656.938
1989-09-01,697.067
1989-10-01,772.145
1989-11-01,766.968
1989-12-01,884.763
1990-01-01,818.746
1990-02-01,732.664
1990-03-01,815.51
1990-04-01,829.102
1990-05-01,792.21
1990-06-01,781.207
1990-07-01,823.277
1990-08-01,845.93
1990-09-01,860.169
1990-10-01,906.122
1990-11-01,882.822
1990-12-01,977.965
1991-01-01,926.833
1991-02-01,849.166
1991-03-01,913.889
1991-04-01,908.711
1991-05-01,886.705
1991-06-01,827.807
1991-07-01,834.279
1991-08-01,842.693
1991-09-01,799.329
1991-10-01,816.804
1991-11-01,847.224
1991-12-01,892.53
1992-01-01,918.419
1992-02-01,825.218
1992-03-01,877.644
1992-04-01,919.067
1992-05-01,933.953
1992-06-01,874.408
1992-07-01,835.574
1992-08-01,802.565
1992-09-01,807.096
1992-10-01,794.151
1992-11-01,793.504
1992-12-01,848.519
1993-01-01,808.39
1993-02-01,741.726
1993-03-01,773.44
1993-04-01,704.186
1993-05-01,713.895
1993-06-01,680.239
1993-07-01,746.903
1993-08-01,737.195
1993-09-01,715.189
1993-10-01,785.737
1993-11-01,755.965
1993-12-01,803.212
1994-01-01,761.142
1994-02-01,708.07
1994-03-01,785.737
1994-04-01,747.551
1994-05-01,754.67
1994-06-01,746.256
1994-07-01,765.673
1994-08-01,779.265
1994-09-01,757.906
1994-10-01,814.215
1994-11-01,855.638
1994-12-01,913.889
1995-01-01,831.691
1995-02-01,686.064
1995-03-01,739.137
1995-04-01,653.055
1995-05-01,654.997
1995-06-01,638.169
1995-07-01,692.536
1995-08-01,680.239
1995-09-01,676.355
1995-10-01,768.262
1995-11-01,805.801
1995-12-01,869.877
1996-01-01,878.291
1996-02-01,779.265
1996-03-01,876.349
1996-04-01,884.763
1996-05-01,833.632
1996-06-01,818.099
1996-07-01,834.927
1996-08-01,852.402
1996-09-01,843.341
1996-10-01,858.874
1996-11-01,865.347
1996-12-01,920.361
1997-01-01,952.075
1997-02-01,834.279
1997-03-01,914.536
1997-04-01,918.419
1997-05-01,906.769
1997-06-01,890.588
1997-07-01,1027.801
1997-08-01,989.615
1997-09-01,1003.854
1997-10-01,972.787
1997-11-01,993.498
1997-12-01,1037.51
1998-01-01,1037.51
1998-02-01,900.297
1998-03-01,978.612
1998-04-01,983.79
1998-05-01,994.793
1998-06-01,979.259
1998-07-01,1040.099
1998-08-01,961.784
1998-09-01,968.903
1998-10-01,966.314
1998-11-01,953.37
1998-12-01,1016.798
1999-01-01,966.962
1999-02-01,905.475
1999-03-01,956.606
1999-04-01,1010.973
1999-05-01,976.023
1999-06-01,929.422
1999-07-01,1055.632
1999-08-01,1051.749
1999-09-01,1104.174
1999-10-01,1042.688
1999-11-01,1019.387
1999-12-01,1080.874
2000-01-01,1049.807
2000-02-01,977.317
2000-03-01,1049.16
2000-04-01,1109.999
2000-05-01,1102.88
2000-06-01,1065.988
2000-07-01,1176.017
2000-08-01,1169.545
2000-09-01,1152.717
2000-10-01,1208.378
2000-11-01,1177.959
2000-12-01,1278.279
2001-01-01,1121.65
2001-02-01,1029.096
2001-03-01,1161.131
2001-04-01,1205.142
2001-05-01,1183.136
2001-06-01,1196.081
2001-07-01,1185.078
2001-08-01,1236.209
2001-09-01,1220.029
2001-10-01,1213.556
