ds,y
2002-01-01,99.112
2002-04-01,91.913
2002-07-01,69.71
2002-10-01,122.961
2003-01-01,120.027
2003-04-01,112.697
2003-07-01,81.276
2003-10-01,81.137
2004-01-01,102.398
2004-04-01,84.436
2004-07-01,81.5
2004-10-01,52.148
2005-01-01,107.861
2005-04-01,62.794
2005-07-01,75.911
2005-10-01,96.306
2006-01-01,113.206
2006-04-01,57.076
2006-07-01,68.084
2006-10-01,87.135
2007-01-01,93.126
2007-04-01,113.963
2007-07-01,56.069
2007-10-01,127.309
2008-01-01,223.064
2008-04-01,52.716
2008-07-01,84.821
2008-10-01,82.14
2009-01-01,68.967
2009-04-01,73.319
2009-07-01,63.968
2009-10-01,69.609
2010-01-01,138.843
2010-04-01,76.571
2010-07-01,59.054
2010-10-01,102.64
2011-01-01,104.491
2011-04-01,81.647
2011-07-01,92.821
2011-10-01,78.974
2012-01-01,145.865
2012-04-01,76.691
2012-07-01,63.595
2012-10-01,59.904
2013-01-01,146.204
2013-04-01,101.225
2013-07-01,58.694
2013-10-01,72.282
2014-01-01,107.788
2014-04-01,72.883
2014-07-01,54.377
2014-10-01,72.102
2015-01-01,70.235
2015-04-01,96.72
2015-07-01,32.743
2015-10-01,70.202
2016-01-01,89.08
2016-04-01,61.41
2016-07-01,100.455
2016-10-01,85.027
2017-01-01,44.797
2017-04-01,108.618
2017-07-01,71.404
2017-10-01,101.806
2018-01-01,70.472
2018-04-01,120.277
2018-07-01,67.05
2018-10-01,101.506
