ds,y
1988-01-01,398.636
1988-04-01,793.678
1988-07-01,565.039
1988-10-01,788.922
1989-01-01,727.485
1989-04-01,665.817
1989-07-01,1155.941
1989-10-01,786.36
1990-01-01,642.711
1990-04-01,432.328
1990-07-01,751.538
1990-10-01,978.362
1991-01-01,488.862
1991-04-01,558.836
1991-07-01,527.436
1991-10-01,571.522
1992-01-01,399.824
1992-04-01,646.153
1992-07-01,746.353
1992-10-01,607.692
1993-01-01,423.778
1993-04-01,709.814
1993-07-01,648.161
1993-10-01,516.682
1994-01-01,394.603
1994-04-01,691.797
1994-07-01,798.23
1994-10-01,782.159
1995-01-01,633.962
1995-04-01,880.753
1995-07-01,834.166
1995-10-01,698.325
1996-01-01,763.277
1996-04-01,760.198
1996-07-01,620.49
1996-10-01,664.332
1997-01-01,331.609
1997-04-01,494.927
1997-07-01,438.234
1997-10-01,613.446
1998-01-01,539.869
1998-04-01,568.654
1998-07-01,682.467
1998-10-01,638.593
1999-01-01,508.429
1999-04-01,845.529
1999-07-01,701.401
1999-10-01,763.484
2000-01-01,585.874
2000-04-01,753.847
2000-07-01,773.1
2000-10-01,703.348
2001-01-01,604.419
2001-04-01,758.402
2001-07-01,909.766
2001-10-01,576.54
2002-01-01,799.696
2002-04-01,1006.572
2002-07-01,669.269
2002-10-01,817.555
2003-01-01,594.975
2003-04-01,718.834
