ds,y
1986-10-01,35.725
1986-11-01,35.631
1986-12-01,35.343
1987-01-01,34.743
1987-02-01,34.775
1987-03-01,34.642
1987-04-01,34.494
1987-05-01,34.751
1987-06-01,34.829
1987-07-01,34.183
1987-08-01,34.619
1987-09-01,34.424
1987-10-01,34.447
1987-11-01,34.237
1987-12-01,34.159
1988-01-01,34.035
1988-02-01,33.91
1988-03-01,34.081
1988-04-01,34.011
1988-05-01,34.128
1988-06-01,34.253
1988-07-01,33.668
1988-08-01,33.988
1988-09-01,33.964
1988-10-01,33.894
1988-11-01,33.871
1988-12-01,33.964
1989-01-01,33.707
1989-02-01,33.645
1989-03-01,33.583
1989-04-01,33.661
1989-05-01,33.567
1989-06-01,33.489
1989-07-01,32.741
1989-08-01,32.718
1989-09-01,32.858
1989-10-01,32.477
1989-11-01,32.297
1989-12-01,32.118
1990-01-01,31.822
1990-02-01,31.565
1990-03-01,31.417
1990-04-01,31.347
1990-05-01,31.152
1990-06-01,31.16
1990-07-01,30.661
1990-08-01,30.669
1990-09-01,30.584
1990-10-01,30.467
1990-11-01,30.249
1990-12-01,30.108
1991-01-01,29.641
1991-02-01,29.797
1991-03-01,29.82
1991-04-01,29.781
1991-05-01,29.734
1991-06-01,29.82
1991-07-01,29.431
1991-08-01,29.625
1991-09-01,29.399
1991-10-01,29.088
1991-11-01,28.878
1991-12-01,28.558
1992-01-01,28.075
1992-02-01,27.351
1992-03-01,27.429
1992-04-01,27.047
1992-05-01,26.712
1992-06-01,26.361
1992-07-01,25.66
1992-08-01,25.302
1992-09-01,24.998
1992-10-01,24.5
1992-11-01,24.009
1992-12-01,23.767
1993-01-01,23.23
1993-02-01,23.152
1993-03-01,23.136
1993-04-01,23.051
1993-05-01,22.965
1993-06-01,22.918
1993-07-01,22.646
1993-08-01,22.63
1993-09-01,22.482
1993-10-01,22.092
1993-11-01,21.944
1993-12-01,21.719
1994-01-01,21.625
1994-02-01,21.446
1994-03-01,21.391
1994-04-01,21.173
1994-05-01,20.862
1994-06-01,20.838
1994-07-01,19.981
1994-08-01,19.779
1994-09-01,19.755
1994-10-01,19.35
1994-11-01,19.21
1994-12-01,18.875
1995-01-01,18.727
1995-02-01,18.571
1995-03-01,18.789
1995-04-01,18.751
1995-05-01,18.719
1995-06-01,18.704
1995-07-01,18.439
1995-08-01,18.416
1995-09-01,18.377
1995-10-01,18.174
1995-11-01,18.01
1995-12-01,17.8
1996-01-01,17.45
1996-02-01,17.403
1996-03-01,17.442
1996-04-01,17.185
1996-05-01,17.239
1996-06-01,17.224
1996-07-01,16.889
1996-08-01,16.858
1996-09-01,16.78
1996-10-01,16.585
1996-11-01,16.312
1996-12-01,16.079
1997-01-01,16.016
1997-02-01,15.915
1997-03-01,15.806
1997-04-01,15.673
1997-05-01,15.596
1997-06-01,15.393
1997-07-01,15.097
1997-08-01,14.996
1997-09-01,14.653
1997-10-01,14.513
1997-11-01,14.396
1997-12-01,14.271
1998-01-01,13.89
1998-02-01,13.71
1998-03-01,13.679
1998-04-01,13.446
1998-05-01,13.407
1998-06-01,13.391
1998-07-01,13.033
1998-08-01,12.939
1998-09-01,12.877
1998-10-01,12.838
1998-11-01,12.815
1998-12-01,12.62
1999-01-01,12.503
1999-02-01,12.472
1999-03-01,12.363
1999-04-01,12.113
1999-05-01,12.09
1999-06-01,11.888
