ds,y
1980-01-01,272.073
1980-02-01,256.763
1980-03-01,267.288
1980-04-01,294.4
1980-05-01,281.642
1980-06-01,256.444
1980-07-01,268.564
1980-08-01,267.607
1980-09-01,289.935
1980-10-01,318.003
1980-11-01,319.598
1980-12-01,425.493
1981-01-01,264.418
1981-02-01,267.607
1981-03-01,291.529
1981-04-01,283.874
1981-05-01,300.46
1981-06-01,311.943
1981-07-01,340.968
1981-08-01,332.675
1981-09-01,349.58
1981-10-01,352.132
1981-11-01,367.761
1981-12-01,553.077
1982-01-01,334.589
1982-02-01,323.744
1982-03-01,322.469
1982-04-01,329.805
1982-05-01,338.098
1982-06-01,351.175
1982-07-01,361.063
1982-08-01,356.278
1982-09-01,380.519
1982-10-01,381.795
1982-11-01,396.148
1982-12-01,547.016
1983-01-01,346.072
1983-02-01,307.796
1983-03-01,336.503
1983-04-01,327.572
1983-05-01,355.959
1983-06-01,326.296
1983-07-01,356.916
1983-08-01,378.606
1983-09-01,386.58
1983-10-01,382.752
1983-11-01,401.89
1983-12-01,599.326
1984-01-01,396.148
1984-02-01,366.804
1984-03-01,375.097
1984-04-01,398.062
1984-05-01,434.424
1984-06-01,404.76
1984-07-01,404.441
1984-08-01,388.493
1984-09-01,376.373
1984-10-01,425.812
1984-11-01,420.708
1984-12-01,534.896
1985-01-01,391.045
1985-02-01,371.907
1985-03-01,363.295
1985-04-01,414.648
1985-05-01,423.898
1985-06-01,382.114
1985-07-01,425.812
1985-08-01,413.691
1985-09-01,436.656
1985-10-01,447.82
1985-11-01,438.889
1985-12-01,605.705
1986-01-01,395.829
1986-02-01,356.278
1986-03-01,365.209
1986-04-01,362.976
1986-05-01,369.675
1986-06-01,364.89
1986-07-01,388.174
1986-08-01,373.183
1986-09-01,392.002
1986-10-01,425.493
1986-11-01,437.613
1986-12-01,617.188
1987-01-01,400.614
1987-02-01,379.881
1987-03-01,411.458
1987-04-01,372.864
1987-05-01,379.562
1987-06-01,369.994
1987-07-01,366.166
1987-08-01,371.907
1987-09-01,367.123
1987-10-01,408.907
1987-11-01,430.596
1987-12-01,563.921
1988-01-01,424.536
1988-02-01,417.2
1988-03-01,435.38
1988-04-01,423.26
1988-05-01,457.389
1988-06-01,451.009
1988-07-01,421.984
1988-08-01,467.276
1988-09-01,480.354
1988-10-01,452.604
1988-11-01,482.905
1988-12-01,602.515
1989-01-01,449.415
1989-02-01,434.424
1989-03-01,460.897
1989-04-01,449.415
1989-05-01,458.346
1989-06-01,459.94
1989-07-01,472.38
1989-08-01,506.508
1989-09-01,508.741
1989-10-01,546.378
1989-11-01,569.344
1989-12-01,717.66
1990-01-01,512.888
1990-02-01,475.888
1990-03-01,507.784
1990-04-01,494.388
1990-05-01,522.775
1990-06-01,492.155
1990-07-01,520.224
1990-08-01,530.43
1990-09-01,487.052
1990-10-01,511.931
1990-11-01,523.094
1990-12-01,709.686
1991-01-01,495.664
1991-02-01,444.311
1991-03-01,457.389
1991-04-01,480.354
1991-05-01,518.629
1991-06-01,478.121
1991-07-01,484.5
1991-08-01,498.534
1991-09-01,486.414
1991-10-01,516.396
1991-11-01,533.62
1991-12-01,753.702
1992-01-01,529.793
1992-02-01,496.94
1992-03-01,519.267
1992-04-01,498.853
1992-05-01,509.698
1992-06-01,507.784
1992-07-01,532.982
1992-08-01,525.646
1992-09-01,555.947
1992-10-01,596.774
1992-11-01,621.972
1992-12-01,835.675
1993-01-01,571.257
1993-02-01,514.801
1993-03-01,554.99
1993-04-01,561.051
1993-05-01,562.326
1993-06-01,562.645
1993-07-01,548.93
1993-08-01,552.12
1993-09-01,551.482
1993-10-01,548.292
1993-11-01,592.628
1993-12-01,830.891
1994-01-01,561.051
1994-02-01,531.068
1994-03-01,563.921
1994-04-01,511.931
1994-05-01,545.422
1994-06-01,536.81
1994-07-01,555.309
1994-08-01,592.947
1994-09-01,585.93
1994-10-01,622.61
1994-11-01,685.764
1994-12-01,937.742
1995-01-01,634.092
1995-02-01,582.74
1995-03-01,638.558
1995-04-01,594.541
1995-05-01,628.032
1995-06-01,604.429
1995-07-01,641.11
1995-08-01,663.756
1995-09-01,623.248
1995-10-01,700.117
1995-11-01,740.625
1995-12-01,963.259
1996-01-01,716.065
1996-02-01,684.169
1996-03-01,714.789
1996-04-01,742.858
1996-05-01,782.09
1996-06-01,726.91
1996-07-01,786.236
1996-08-01,766.461
1996-09-01,745.728
1996-10-01,773.159
1996-11-01,771.245
1996-12-01,1099.455
1997-01-01,791.978
1997-02-01,680.342
1997-03-01,752.427
1997-04-01,695.333
1997-05-01,735.203
1997-06-01,726.91
1997-07-01,808.245
1997-08-01,784.004
1997-09-01,771.883
1997-10-01,849.709
1997-11-01,824.512
1997-12-01,1123.377
1998-01-01,889.579
1998-02-01,774.435
1998-03-01,881.286
1998-04-01,810.477
1998-05-01,829.296
1998-06-01,789.745
1998-07-01,835.037
1998-08-01,875.545
1998-09-01,893.407
1998-10-01,846.839
1998-11-01,867.571
1998-12-01,1081.593
1999-01-01,850.028
1999-02-01,779.219
1999-03-01,887.347
1999-04-01,911.907
1999-05-01,925.303
1999-06-01,947.949
1999-07-01,929.768
1999-08-01,940.932
1999-09-01,927.217
1999-10-01,971.233
1999-11-01,1014.293
1999-12-01,1341.865
2000-01-01,1012.06
2000-02-01,995.793
2000-03-01,1057.99
2000-04-01,962.302
2000-05-01,1054.801
2000-06-01,1011.741
2000-07-01,993.56
2000-08-01,1057.033
2000-09-01,1033.111
2000-10-01,1131.67
2000-11-01,1164.842
2000-12-01,1490.5
2001-01-01,1023.543
2001-02-01,976.337
2001-03-01,1052.568
2001-04-01,1031.198
2001-05-01,1096.266
2001-06-01,963.578
2001-07-01,1009.189
2001-08-01,1047.465
2001-09-01,1017.801
2001-10-01,1058.947
2001-11-01,1158.782
2001-12-01,1449.035
