ds,y
2006-01-01,1384.817
2006-02-01,1389.748
2006-03-01,1405.911
2006-04-01,1415.5
2006-05-01,1427.553
2006-06-01,1451.113
2006-07-01,1458.236
2006-08-01,1470.016
2006-09-01,1473.029
2006-10-01,1475.221
2006-11-01,1474.399
2006-12-01,1478.508
2007-01-01,1473.577
2007-02-01,1476.59
2007-03-01,1489.192
2007-04-01,1512.752
2007-05-01,1529.189
2007-06-01,1564.528
2007-07-01,1569.734
2007-08-01,1581.787
2007-09-01,1577.13
2007-10-01,1577.678
2007-11-01,1581.239
2007-12-01,1572.747
2008-01-01,1560.145
2008-02-01,1552.475
2008-03-01,1559.323
2008-04-01,1564.528
2008-05-01,1573.295
2008-06-01,1590.006
2008-07-01,1587.54
2008-08-01,1595.485
2008-09-01,1592.197
2008-10-01,1591.923
2008-11-01,1585.897
2008-12-01,1585.623
2009-01-01,1549.735
2009-02-01,1552.749
2009-03-01,1559.323
2009-04-01,1581.513
2009-05-01,1598.224
2009-06-01,1626.167
2009-07-01,1625.893
2009-08-01,1640.961
2009-09-01,1632.194
2009-10-01,1631.098
2009-11-01,1624.797
2009-12-01,1615.483
2010-01-01,1588.362
2010-02-01,1591.102
2010-03-01,1606.169
2010-04-01,1622.058
2010-05-01,1640.413
2010-06-01,1658.767
2010-07-01,1655.754
2010-08-01,1669.725
2010-09-01,1658.767
2010-10-01,1656.576
2010-11-01,1652.192
2010-12-01,1650.823
2011-01-01,1634.934
2011-02-01,1636.577
2011-03-01,1649.179
2011-04-01,1664.246
2011-05-01,1676.848
2011-06-01,1693.833
2011-07-01,1696.846
2011-08-01,1697.942
2011-09-01,1692.737
2011-10-01,1688.902
2011-11-01,1685.888
2011-12-01,1686.436
2012-01-01,1670.273
2012-02-01,1671.917
2012-03-01,1680.135
2012-04-01,1694.107
2012-05-01,1708.352
2012-06-01,1726.433
2012-07-01,1726.707
2012-08-01,1731.638
2012-09-01,1724.241
2012-10-01,1718.214
2012-11-01,1715.201
2012-12-01,1703.147
2013-01-01,1683.971
2013-02-01,1684.519
2013-03-01,1688.08
2013-04-01,1703.421
2013-05-01,1706.708
2013-06-01,1725.063
2013-07-01,1713.009
2013-08-01,1708.352
2013-09-01,1685.34
2013-10-01,1659.863
2013-11-01,1646.44
2013-12-01,1626.989
2014-01-01,1586.992
2014-02-01,1574.665
2014-03-01,1576.308
2014-04-01,1580.692
2014-05-01,1582.061
2014-06-01,1606.443
2014-07-01,1600.69
2014-08-01,1592.197
2014-09-01,1591.65
2014-10-01,1566.446
2014-11-01,1550.009
2014-12-01,1538.503
2015-01-01,1516.039
2015-02-01,1513.3
2015-03-01,1514.122
2015-04-01,1524.532
2015-05-01,1534.942
2015-06-01,1552.201
2015-07-01,1546.448
2015-08-01,1557.132
2015-09-01,1537.133
2015-10-01,1521.244
2015-11-01,1508.095
2015-12-01,1485.631
2016-01-01,1465.906
2016-02-01,1460.427
2016-03-01,1453.305
2016-04-01,1470.29
2016-05-01,1479.878
2016-06-01,1490.014
2016-07-01,1487.275
2016-08-01,1489.74
2016-09-01,1486.453
2016-10-01,1487.001
2016-11-01,1488.096
2016-12-01,1478.508
2017-01-01,1457.14
2017-02-01,1465.906
2017-03-01,1471.659
2017-04-01,1485.905
2017-05-01,1511.656
2017-06-01,1534.668
2017-07-01,1537.407
2017-08-01,1543.982
2017-09-01,1530.011
2017-10-01,1540.695
2017-11-01,1530.559
2017-12-01,1522.614
2018-01-01,1500.698
2018-02-01,1504.259
2018-03-01,1513.026
2018-04-01,1515.217
2018-05-01,1524.532
2018-06-01,1559.049
2018-07-01,1551.379
2018-08-01,1560.693
2018-09-01,1554.94
2018-10-01,1547.27
2018-11-01,1554.392
2018-12-01,1557.68
2019-01-01,1542.886
2019-02-01,1541.243
2019-03-01,1548.365
2019-04-01,1550.831
2019-05-01,1564.802
2019-06-01,1575.212
2019-07-01,1567.542
2019-08-01,1557.68
2019-09-01,1534.942
2019-10-01,1499.602
2019-11-01,1478.782
2019-12-01,1466.454
2020-01-01,1444.264
2020-02-01,1421.253
2020-03-01,1422.074
2020-04-01,1421.8
2020-05-01,1434.402
2020-06-01,1447.826
2020-07-01,1452.209
2020-08-01,1436.868
2020-09-01,1407.007
2020-10-01,1384.269
2020-11-01,1365.641
2020-12-01,1360.436
2021-01-01,1329.479
2021-02-01,1303.728
2021-03-01,1293.592
2021-04-01,1294.962
2021-05-01,1282.634
2021-06-01,1284.826
2021-07-01,1276.059
2021-08-01,1259.074
2021-09-01,1234.693
2021-10-01,1200.449
2021-11-01,1164.014
2021-12-01,1121.277
2022-01-01,1055.529
2022-02-01,998.822
2022-03-01,1004.849
2022-04-01,1002.109
2022-05-01,988.138
2022-06-01,985.124
2022-07-01,982.659
2022-08-01,984.302
2022-09-01,976.358
2022-10-01,964.852
2022-11-01,953.62
2022-12-01,943.484
2023-01-01,914.993
2023-02-01,910.062
2023-03-01,914.993
2023-04-01,936.909
2023-05-01,951.154
2023-06-01,971.153
2023-07-01,961.291
2023-08-01,961.291
2023-09-01,944.58
2023-10-01,930.334
2023-11-01,929.238
2023-12-01,921.02
2024-01-01,911.158
2024-02-01,912.254
2024-03-01,913.623
2024-04-01,924.855
2024-05-01,931.156
2024-06-01,937.183
2024-07-01,925.951
2024-08-01,936.361
2024-09-01,929.786
2024-10-01,924.307
2024-11-01,919.65
2024-12-01,914.993
2025-01-01,905.953
2025-02-01,903.213
2025-03-01,910.062
2025-04-01,918.828
2025-05-01,927.595
2025-06-01,940.47
2025-07-01,942.114
2025-08-01,938.279
2025-09-01,933.622
2025-10-01,937.731
2025-11-01,945.128
2025-12-01,944.854
2026-01-01,933.348
2026-02-01,934.991
2026-03-01,942.936
2026-04-01,947.593
2026-05-01,961.565
2026-06-01,975.536
2026-07-01,982.111
2026-08-01,983.48
2026-09-01,983.48
