ds,y
2003-01-01,42.914
2003-02-01,41.707
2003-03-01,43.97
2003-04-01,42.16
2003-05-01,43.065
2003-06-01,41.028
2003-07-01,42.914
2003-08-01,43.291
2003-09-01,41.481
2003-10-01,45.327
2003-11-01,51.059
2003-12-01,75.118
2004-01-01,40.35
2004-02-01,40.501
2004-03-01,45.554
2004-04-01,40.802
2004-05-01,44.196
2004-06-01,41.179
2004-07-01,44.875
2004-08-01,48.42
2004-09-01,49.4
2004-10-01,59.356
2004-11-01,61.618
2004-12-01,95.708
2005-01-01,52.568
2005-02-01,54.68
2005-03-01,61.316
2005-04-01,62.146
2005-05-01,63.579
2005-06-01,60.034
2005-07-01,58.903
2005-08-01,61.618
2005-09-01,62.297
2005-10-01,61.769
2005-11-01,64.861
2005-12-01,107.851
2006-01-01,57.168
2006-02-01,56.037
2006-03-01,57.395
2006-04-01,56.414
2006-05-01,60.487
2006-06-01,55.057
2006-07-01,57.621
2006-08-01,62.976
2006-09-01,59.582
2006-10-01,72.328
2006-11-01,78.588
2006-12-01,118.862
2007-01-01,68.708
2007-02-01,66.445
2007-03-01,67.35
2007-04-01,70.141
2007-05-01,72.931
2007-06-01,66.143
2007-07-01,70.291
2007-08-01,76.099
2007-09-01,78.663
2007-10-01,84.772
2007-11-01,82.434
2007-12-01,128.516
2008-01-01,82.887
2008-02-01,76.627
2008-03-01,87.563
2008-04-01,88.769
2008-05-01,81.831
2008-06-01,78.663
2008-07-01,88.015
2008-08-01,86.959
2008-09-01,89.75
2008-10-01,99.932
2008-11-01,102.496
2008-12-01,144.882
2009-01-01,88.317
2009-02-01,84.169
2009-03-01,99.026
2009-04-01,94.728
2009-05-01,87.638
2009-06-01,93.295
2009-07-01,97.367
2009-08-01,95.934
2009-09-01,101.138
2009-10-01,105.211
2009-11-01,108.982
2009-12-01,154.158
2010-01-01,86.507
2010-02-01,82.736
2010-03-01,90.655
2010-04-01,87.487
2010-05-01,91.937
2010-06-01,94.577
2010-07-01,78.663
2010-08-01,85.3
2010-09-01,85.828
2010-10-01,103.099
2010-11-01,113.733
2010-12-01,172.486
2011-01-01,95.557
2011-02-01,96.085
2011-03-01,102.722
2011-04-01,84.621
2011-05-01,93.219
2011-06-01,89.524
2011-07-01,103.325
2011-08-01,106.795
2011-09-01,107.021
2011-10-01,119.164
2011-11-01,130.552
2011-12-01,194.961
2012-01-01,121.125
2012-02-01,115.091
2012-03-01,122.03
2012-04-01,122.407
2012-05-01,132.965
2012-06-01,113.96
2012-07-01,123.312
2012-08-01,129.194
2012-09-01,125.801
2012-10-01,145.033
2012-11-01,154.309
2012-12-01,230.861
2013-01-01,126.555
2013-02-01,128.893
2013-03-01,137.868
2013-04-01,127.384
2013-05-01,140.13
2013-06-01,130.703
2013-07-01,151.82
2013-08-01,150.237
2013-09-01,152.273
2013-10-01,178.067
2013-11-01,179.273
2013-12-01,264.95
2014-01-01,145.334
2014-02-01,155.516
2014-03-01,168.036
2014-04-01,148.502
2014-05-01,150.84
2014-06-01,149.633
2014-07-01,156.798
2014-08-01,157.628
2014-09-01,161.851
2014-10-01,170.902
2014-11-01,177.388
2014-12-01,271.059
2015-01-01,144.429
2015-02-01,145.184
2015-03-01,150.614
2015-04-01,145.108
2015-05-01,156.723
2015-06-01,146.994
2015-07-01,151.745
2015-08-01,155.893
2015-09-01,150.991
2015-10-01,161.927
2015-11-01,173.089
2015-12-01,254.165
2016-01-01,139.527
2016-02-01,143.147
2016-03-01,155.29
2016-04-01,152.876
2016-05-01,162.153
2016-06-01,168.337
2016-07-01,156.798
2016-08-01,174.446
2016-09-01,168.639
2016-10-01,179.65
2016-11-01,197.45
2016-12-01,264.498
2017-01-01,152.348
2017-02-01,145.636
2017-03-01,155.818
2017-04-01,143.675
2017-05-01,157.1
2017-06-01,147.446
2017-07-01,158.382
2017-08-01,170.148
2017-09-01,175.352
2017-10-01,190.813
2017-11-01,213.514
2017-12-01,288.406
2018-01-01,169.921
