ds,y
1987-01-01,193.904
1987-02-01,194.478
1987-03-01,212.262
1987-04-01,199.067
1987-05-01,192.183
1987-06-01,187.02
1987-07-01,195.625
1987-08-01,183.004
1987-09-01,181.857
1987-10-01,187.02
1987-11-01,205.377
1987-12-01,234.061
1988-01-01,205.377
1988-02-01,181.857
1988-03-01,200.214
1988-04-01,181.857
1988-05-01,174.399
1988-06-01,162.925
1988-07-01,192.183
1988-08-01,191.035
1988-09-01,192.183
1988-10-01,222.014
1988-11-01,220.867
1988-12-01,238.651
1989-01-01,224.309
1989-02-01,196.772
1989-03-01,214.556
1989-04-01,209.393
1989-05-01,218.572
1989-06-01,207.098
1989-07-01,204.23
1989-08-01,212.835
1989-09-01,216.277
1989-10-01,221.44
1989-11-01,230.619
1989-12-01,242.093
1990-01-01,212.262
1990-02-01,207.098
1990-03-01,221.44
1990-04-01,197.346
1990-05-01,226.03
1990-06-01,211.688
1990-07-01,201.362
1990-08-01,207.672
1990-09-01,208.246
1990-10-01,207.098
1990-11-01,194.478
1990-12-01,223.162
1991-01-01,201.362
1991-02-01,187.593
1991-03-01,206.525
1991-04-01,204.804
1991-05-01,208.246
1991-06-01,197.346
1991-07-01,227.177
1991-08-01,221.44
1991-09-01,223.162
1991-10-01,222.588
1991-11-01,226.03
1991-12-01,252.993
1992-01-01,247.83
1992-02-01,227.177
1992-03-01,247.83
1992-04-01,243.814
1992-05-01,235.209
1992-06-01,225.456
1992-07-01,247.256
1992-08-01,234.635
1992-09-01,240.946
1992-10-01,261.598
1992-11-01,250.698
1992-12-01,279.382
1993-01-01,243.814
1993-02-01,212.835
1993-03-01,232.914
1993-04-01,193.904
1993-05-01,183.578
1993-06-01,181.283
1993-07-01,191.035
1993-08-01,192.183
1993-09-01,197.92
1993-10-01,197.346
1993-11-01,187.02
1993-12-01,208.246
1994-01-01,224.309
1994-02-01,195.625
1994-03-01,216.277
1994-04-01,263.319
1994-05-01,266.188
1994-06-01,264.466
1994-07-01,234.061
1994-08-01,231.193
1994-09-01,234.061
1994-10-01,234.061
1994-11-01,232.914
1994-12-01,251.272
1995-01-01,256.435
1995-02-01,256.435
1995-03-01,292.003
1995-04-01,258.73
1995-05-01,260.451
1995-06-01,254.14
1995-07-01,282.824
1995-08-01,274.793
1995-09-01,259.877
1995-10-01,289.135
1995-11-01,298.314
1995-12-01,310.935
1996-01-01,281.677
1996-02-01,245.535
1996-03-01,277.087
1996-04-01,279.382
1996-05-01,270.777
1996-06-01,257.582
1996-07-01,290.282
1996-08-01,290.856
1996-09-01,273.645
1996-10-01,302.329
1996-11-01,291.429
1996-12-01,292.577
1997-01-01,283.972
1997-02-01,242.667
1997-03-01,275.366
1997-04-01,277.661
1997-05-01,269.63
1997-06-01,256.435
1997-07-01,271.924
1997-08-01,269.63
1997-09-01,262.172
1997-10-01,288.561
1997-11-01,278.808
1997-12-01,275.366
1998-01-01,259.303
1998-02-01,243.814
1998-03-01,260.451
1998-04-01,259.303
1998-05-01,270.777
1998-06-01,251.846
1998-07-01,297.166
1998-08-01,257.582
1998-09-01,265.614
1998-10-01,286.84
1998-11-01,292.003
1998-12-01,335.029
1999-01-01,337.324
1999-02-01,287.414
1999-03-01,308.64
1999-04-01,319.54
1999-05-01,321.834
1999-06-01,308.066
1999-07-01,339.619
1999-08-01,325.277
1999-09-01,330.44
1999-10-01,314.95
1999-11-01,314.95
1999-12-01,355.108
2000-01-01,333.882
2000-02-01,277.087
2000-03-01,321.261
2000-04-01,325.85
2000-05-01,312.082
2000-06-01,304.05
2000-07-01,309.214
2000-08-01,325.277
2000-09-01,324.129
2000-10-01,360.271
2000-11-01,354.534
2000-12-01,392.971
2001-01-01,361.992
2001-02-01,306.919
2001-03-01,350.518
2001-04-01,341.34
2001-05-01,329.866
2001-06-01,338.471
2001-07-01,340.192
2001-08-01,357.403
2001-09-01,355.682
2001-10-01,334.455
2001-11-01,329.292
2001-12-01,365.434
2002-01-01,328.719
2002-02-01,306.919
2002-03-01,316.671
2002-04-01,319.54
2002-05-01,324.703
2002-06-01,315.524
2002-07-01,335.603
2002-08-01,347.076
2002-09-01,334.455
2002-10-01,371.745
2002-11-01,370.024
2002-12-01,410.181
2003-01-01,386.087
2003-02-01,329.866
2003-03-01,355.108
2003-04-01,335.029
2003-05-01,337.324
2003-06-01,328.145
2003-07-01,345.355
2003-08-01,338.471
2003-09-01,352.24
2003-10-01,354.534
2003-11-01,350.518
2003-12-01,384.939
2004-01-01,398.134
2004-02-01,310.935
2004-03-01,352.813
2004-04-01,360.845
2004-05-01,361.992
2004-06-01,364.287
2004-07-01,373.466
2004-08-01,353.387
2004-09-01,345.929
2004-10-01,379.202
2004-11-01,378.055
2004-12-01,422.228
2005-01-01,399.855
2005-02-01,335.029
2005-03-01,378.629
2005-04-01,372.892
2005-05-01,367.155
2005-06-01,362.566
2005-07-01,410.755
2005-08-01,407.886
2005-09-01,398.134
2005-10-01,410.755
2005-11-01,392.971
2005-12-01,408.46
2006-01-01,409.034
2006-02-01,358.55
2006-03-01,405.018
2006-04-01,376.334
2006-05-01,392.397
2006-06-01,382.645
2006-07-01,396.987
2006-08-01,390.676
2006-09-01,390.102
2006-10-01,404.444
2006-11-01,391.25
2006-12-01,406.739
2007-01-01,398.134
2007-02-01,333.308
2007-03-01,377.481
2007-04-01,329.292
2007-05-01,350.518
2007-06-01,349.945
2007-07-01,399.281
2007-08-01,395.839
2007-09-01,386.087
2007-10-01,449.765
2007-11-01,466.402
2007-12-01,502.544
2008-01-01,502.544
2008-02-01,438.865
2008-03-01,476.154
2008-04-01,449.765
2008-05-01,460.091
2008-06-01,430.26
2008-07-01,431.407
2008-08-01,441.16
2008-09-01,456.649
2008-10-01,480.744
2008-11-01,461.812
2008-12-01,469.844
