ds,y
2009-01-01,5.268
2009-02-01,5.378
2009-03-01,5.543
2009-04-01,4.775
2009-05-01,5.708
2009-06-01,6.037
2009-07-01,5.268
2009-08-01,5.488
2009-09-01,5.433
2009-10-01,8.177
2009-11-01,8.397
2009-12-01,9.769
2010-01-01,6.695
2010-02-01,6.586
2010-03-01,6.092
2010-04-01,7.519
2010-05-01,8.506
2010-06-01,8.506
2010-07-01,7.683
2010-08-01,7.025
2010-09-01,6.805
2010-10-01,7.519
2010-11-01,7.903
2010-12-01,10.482
2011-01-01,6.256
2011-02-01,6.256
2011-03-01,6.586
2011-04-01,6.86
2011-05-01,6.915
2011-06-01,7.025
2011-07-01,7.134
2011-08-01,6.97
2011-09-01,7.464
2011-10-01,8.177
2011-11-01,8.945
2011-12-01,10.263
2012-01-01,8.177
2012-02-01,8.781
2012-03-01,8.671
2012-04-01,8.177
2012-05-01,7.573
2012-06-01,8.726
2012-07-01,8.452
2012-08-01,8.342
2012-09-01,8.561
2012-10-01,8.397
2012-11-01,8.726
2012-12-01,10.208
2013-01-01,8.177
2013-02-01,7.848
2013-03-01,8.067
2013-04-01,8.397
2013-05-01,9.549
2013-06-01,12.238
2013-07-01,7.573
2013-08-01,8.671
2013-09-01,8.616
2013-10-01,8.177
2013-11-01,8.561
2013-12-01,10.043
2014-01-01,8.232
2014-02-01,7.903
2014-03-01,8.342
2014-04-01,8.397
2014-05-01,8.726
2014-06-01,8.781
2014-07-01,7.848
2014-08-01,8.177
2014-09-01,7.793
2014-10-01,9.0
2014-11-01,10.043
2014-12-01,11.25
2015-01-01,9.33
2015-02-01,8.945
2015-03-01,9.0
2015-04-01,9.933
2015-05-01,10.372
2015-06-01,11.086
2015-07-01,9.384
2015-08-01,9.878
2015-09-01,9.659
2015-10-01,9.659
2015-11-01,10.647
2015-12-01,11.25
2016-01-01,8.726
2016-02-01,8.342
2016-03-01,9.659
2016-04-01,8.945
2016-05-01,10.043
2016-06-01,10.317
2016-07-01,9.933
2016-08-01,10.208
2016-09-01,10.811
2016-10-01,11.47
2016-11-01,12.677
2016-12-01,14.653
2017-01-01,10.866
2017-02-01,9.549
2017-03-01,11.196
2017-04-01,10.756
2017-05-01,11.196
2017-06-01,11.689
2017-07-01,12.183
2017-08-01,11.196
2017-09-01,11.799
2017-10-01,12.183
2017-11-01,13.171
2017-12-01,15.037
2018-01-01,11.854
2018-02-01,10.976
2018-03-01,11.635
2018-04-01,12.952
2018-05-01,12.897
2018-06-01,13.281
2018-07-01,14.049
2018-08-01,14.763
2018-09-01,14.982
2018-10-01,14.982
2018-11-01,15.312
2018-12-01,17.232
2019-01-01,13.171
2019-02-01,12.842
2019-03-01,14.488
2019-04-01,12.787
2019-05-01,14.324
2019-06-01,15.202
2019-07-01,13.336
2019-08-01,15.037
2019-09-01,14.872
2019-10-01,15.421
2019-11-01,15.805
2019-12-01,18.385
2020-01-01,14.269
2020-02-01,13.281
2020-03-01,14.324
2020-04-01,14.104
2020-05-01,16.244
2020-06-01,16.574
2020-07-01,15.476
2020-08-01,15.86
2020-09-01,15.202
2020-10-01,17.397
2020-11-01,17.452
2020-12-01,19.043
2021-01-01,15.751
2021-02-01,15.97
2021-03-01,15.147
2021-04-01,15.421
2021-05-01,17.013
2021-06-01,16.903
2021-07-01,15.86
2021-08-01,16.08
2021-09-01,15.97
2021-10-01,17.123
2021-11-01,16.848
2021-12-01,18.659
2022-01-01,14.598
2022-02-01,12.787
2022-03-01,13.94
2022-04-01,14.818
2022-05-01,14.818
2022-06-01,15.86
2022-07-01,15.202
2022-08-01,15.641
2022-09-01,15.092
2022-10-01,15.037
2022-11-01,11.141
2022-12-01,14.269
2023-01-01,8.891
2023-02-01,9.878
2023-03-01,10.702
2023-04-01,11.525
2023-05-01,12.074
2023-06-01,12.348
2023-07-01,12.568
2023-08-01,13.171
2023-09-01,12.732
2023-10-01,13.885
2023-11-01,14.763
2023-12-01,15.751
2024-01-01,10.702
2024-02-01,13.061
2024-03-01,13.061
2024-04-01,11.196
2024-05-01,11.58
2024-06-01,13.226
2024-07-01,12.183
2024-08-01,14.104
2024-09-01,14.159
2024-10-01,11.744
2024-11-01,14.927
2024-12-01,15.037
2025-01-01,9.659
2025-02-01,11.305
2025-03-01,10.702
2025-04-01,10.811
2025-05-01,12.238
2025-06-01,12.293
2025-07-01,12.348
2025-08-01,11.689
2025-09-01,11.141
