ds,y
2001-01-01,17.327
2001-02-01,16.192
2001-03-01,17.131
2001-04-01,21.032
2001-05-01,21.032
2001-06-01,20.093
2001-07-01,19.061
2001-08-01,17.658
2001-09-01,19.608
2001-10-01,21.507
2001-11-01,23.437
2001-12-01,40.516
2002-01-01,18.669
2002-02-01,15.201
2002-03-01,18.493
2002-04-01,20.95
2002-05-01,22.26
2002-06-01,21.393
2002-07-01,17.926
2002-08-01,16.285
2002-09-01,19.98
2002-10-01,20.743
2002-11-01,22.694
2002-12-01,40.95
2003-01-01,17.286
2003-02-01,15.387
2003-03-01,19.525
2003-04-01,20.33
2003-05-01,21.889
2003-06-01,21.755
2003-07-01,17.534
2003-08-01,18.803
2003-09-01,20.929
2003-10-01,22.209
2003-11-01,23.024
2003-12-01,43.21
2004-01-01,17.038
2004-02-01,15.686
2004-03-01,19.422
2004-04-01,22.26
2004-05-01,21.837
2004-06-01,21.662
2004-07-01,20.351
2004-08-01,20.413
2004-09-01,20.155
2004-10-01,20.95
2004-11-01,25.47
2004-12-01,45.067
2005-01-01,19.34
2005-02-01,17.461
2005-03-01,19.546
2005-04-01,22.714
2005-05-01,23.137
2005-06-01,22.013
2005-07-01,20.991
2005-08-01,20.609
2005-09-01,19.216
2005-10-01,21.042
2005-11-01,25.883
2005-12-01,45.656
2006-01-01,20.372
2006-02-01,17.74
2006-03-01,22.116
2006-04-01,21.94
2006-05-01,24.871
2006-06-01,20.681
2006-07-01,23.354
2006-08-01,20.454
2006-09-01,23.385
2006-10-01,24.004
2006-11-01,28.101
2006-12-01,48.019
2007-01-01,22.105
2007-02-01,17.977
2007-03-01,21.558
2007-04-01,25.367
2007-05-01,24.582
2007-06-01,21.775
2007-07-01,26.264
2007-08-01,21.951
2007-09-01,23.519
2007-10-01,25.965
2007-11-01,29.391
2007-12-01,51.476
2008-01-01,23.168
2008-02-01,19.185
2008-03-01,24.097
2008-04-01,24.417
2008-05-01,26.161
2008-06-01,22.745
2008-07-01,27.162
2008-08-01,22.838
2008-09-01,25.645
2008-10-01,26.76
2008-11-01,31.383
2008-12-01,54.5
2009-01-01,23.53
2009-02-01,20.217
2009-03-01,23.137
2009-04-01,26.894
2009-05-01,27.379
2009-06-01,30.816
2009-07-01,21.27
2009-08-01,24.789
2009-09-01,25.914
2009-10-01,27.885
2009-11-01,32.044
2009-12-01,57.162
2010-01-01,25.284
2010-02-01,21.342
2010-03-01,27.668
2010-04-01,27.431
2010-05-01,28.463
2010-06-01,27.111
2010-07-01,28.463
2010-08-01,24.025
2010-09-01,25.944
2010-10-01,28.958
2010-11-01,33.963
2010-12-01,59.206
2011-01-01,26.079
2011-02-01,21.466
2011-03-01,27.606
2011-04-01,28.813
2011-05-01,30.361
2011-06-01,31.074
2011-07-01,27.503
2011-08-01,26.006
2011-09-01,26.068
2011-10-01,30.011
2011-11-01,38.215
2011-12-01,60.888
2012-01-01,27.812
2012-02-01,23.148
2012-03-01,28.721
2012-04-01,31.321
2012-05-01,32.147
2012-06-01,33.003
2012-07-01,29.784
2012-08-01,27.802
2012-09-01,29.257
2012-10-01,33.354
2012-11-01,38.927
2012-12-01,62.983
2013-01-01,29.04
2013-02-01,25.274
2013-03-01,29.309
2013-04-01,33.519
2013-05-01,32.394
2013-06-01,35.625
2013-07-01,32.787
2013-08-01,28.813
2013-09-01,32.085
2013-10-01,33.819
2013-11-01,38.06
2013-12-01,64.376
2014-01-01,30.939
2014-02-01,26.842
2014-03-01,33.034
2014-04-01,29.515
2014-05-01,32.797
2014-06-01,36.987
2014-07-01,32.859
2014-08-01,29.825
2014-09-01,31.528
2014-10-01,32.642
2014-11-01,37.575
2014-12-01,63.695
2015-01-01,29.34
2015-02-01,25.769
2015-03-01,30.227
2015-04-01,34.913
2015-05-01,31.393
2015-06-01,35.645
2015-07-01,35.088
2015-08-01,30.052
2015-09-01,29.02
2015-10-01,32.838
2015-11-01,39.969
2015-12-01,65.934
2016-01-01,31.012
2016-02-01,25.563
2016-03-01,33.592
2016-04-01,32.797
2016-05-01,33.973
2016-06-01,36.481
2016-07-01,35.945
2016-08-01,31.569
2016-09-01,31.992
2016-10-01,34.706
2016-11-01,41.001
2016-12-01,68.153
2017-01-01,33.54
2017-02-01,28.184
2017-03-01,33.684
2017-04-01,33.85
2017-05-01,35.356
2017-06-01,34.097
2017-07-01,37.616
2017-08-01,30.516
2017-09-01,32.116
2017-10-01,34.469
2017-11-01,40.392
2017-12-01,70.021
2018-01-01,34.066
2018-02-01,25.346
2018-03-01,35.057
2018-04-01,37.689
2018-05-01,36.368
2018-06-01,35.738
2018-07-01,37.978
2018-08-01,31.848
2018-09-01,32.735
2018-10-01,36.337
2018-11-01,42.116
2018-12-01,68.721
2019-01-01,34.128
2019-02-01,26.966
2019-03-01,33.984
2019-04-01,34.438
2019-05-01,34.913
2019-06-01,37.544
2019-07-01,37.833
2019-08-01,32.178
2019-09-01,33.045
2019-10-01,35.408
2019-11-01,40.97
2019-12-01,68.246
2020-01-01,33.746
2020-02-01,27.462
2020-03-01,32.725
2020-04-01,36.45
2020-05-01,34.531
2020-06-01,35.336
2020-07-01,36.925
2020-08-01,30.836
2020-09-01,31.693
2020-10-01,34.345
2020-11-01,39.495
2020-12-01,66.966
2021-01-01,32.735
2021-02-01,27.369
2021-03-01,33.354
2021-04-01,34.149
2021-05-01,35.14
2021-06-01,38.752
2021-07-01,34.221
2021-08-01,32.591
2021-09-01,31.94
2021-10-01,34.593
2021-11-01,39.835
2021-12-01,67.41
2022-01-01,33.168
2022-02-01,26.481
2022-03-01,34.211
2022-04-01,33.881
2022-05-01,34.737
2022-06-01,36.667
2022-07-01,33.292
2022-08-01,32.054
2022-09-01,31.734
2022-10-01,34.851
2022-11-01,39.464
2022-12-01,67.018
