ds,y
2015-01-01,61.864
2015-04-01,26.503
2015-07-01,32.05
2015-10-01,56.519
2016-01-01,61.038
2016-04-01,75.701
2016-07-01,15.732
2016-10-01,14.219
2017-01-01,67.173
2017-04-01,39.85
2017-07-01,20.215
2017-10-01,52.92
2018-01-01,56.06
2018-04-01,59.487
2018-07-01,27.447
2018-10-01,51.749
2019-01-01,114.665
2019-04-01,53.133
2019-07-01,11.004
2019-10-01,63.167
2020-01-01,75.961
2020-04-01,41.246
2020-07-01,29.037
2020-10-01,40.087
2021-01-01,66.459
2021-04-01,60.173
2021-07-01,5.763
2021-10-01,31.428
2022-01-01,68.301
2022-04-01,54.071
2022-07-01,25.768
2022-10-01,59.814
2023-01-01,86.656
2023-04-01,50.918
2023-07-01,15.376
2023-10-01,19.917
2024-01-01,83.226
2024-04-01,35.802
2024-07-01,24.855
2024-10-01,48.544
2025-01-01,78.457
2025-04-01,60.268
2025-07-01,21.819
2025-10-01,38.349
2026-01-01,48.7
2026-04-01,21.317
2026-07-01,6.135
2026-10-01,19.68
2027-01-01,60.169
2027-04-01,23.057
2027-07-01,5.144
2027-10-01,30.403
2028-01-01,63.83
2028-04-01,34.908
2028-07-01,18.095
2028-10-01,35.499
2029-01-01,78.764
2029-04-01,48.347
