ds,y
2005-01-01,345.762
2005-02-01,359.1
2005-03-01,349.695
2005-04-01,347.643
2005-05-01,358.074
2005-06-01,333.108
2005-07-01,368.847
2005-08-01,390.906
2005-09-01,387.486
2005-10-01,392.958
2005-11-01,414.846
2005-12-01,575.415
2006-01-01,390.564
2006-02-01,364.059
2006-03-01,380.133
2006-04-01,371.412
2006-05-01,385.434
2006-06-01,371.412
2006-07-01,390.222
2006-08-01,389.709
2006-09-01,401.679
2006-10-01,440.496
2006-11-01,479.997
2006-12-01,667.071
2007-01-01,402.876
2007-02-01,383.724
2007-03-01,374.661
2007-04-01,414.162
2007-05-01,409.716
2007-06-01,394.155
2007-07-01,411.255
2007-08-01,399.969
2007-09-01,415.017
2007-10-01,388.683
2007-11-01,417.069
2007-12-01,577.638
2008-01-01,361.152
2008-02-01,336.87
2008-03-01,332.253
2008-04-01,373.635
2008-05-01,380.646
2008-06-01,333.45
2008-07-01,367.992
2008-08-01,380.817
2008-09-01,397.746
2008-10-01,404.757
2008-11-01,431.262
2008-12-01,623.466
2009-01-01,374.832
2009-02-01,367.992
2009-03-01,377.91
2009-04-01,363.546
2009-05-01,390.906
2009-06-01,409.374
2009-07-01,343.71
2009-08-01,361.494
2009-09-01,412.281
2009-10-01,434.169
2009-11-01,446.652
2009-12-01,620.046
2010-01-01,418.779
2010-02-01,403.731
2010-03-01,426.987
2010-04-01,450.414
2010-05-01,458.451
2010-06-01,425.619
2010-07-01,433.143
2010-08-01,454.86
2010-09-01,448.362
2010-10-01,498.636
2010-11-01,541.728
2010-12-01,760.95
2011-01-01,459.306
2011-02-01,424.764
2011-03-01,465.804
2011-04-01,447.165
2011-05-01,484.101
2011-06-01,435.024
2011-07-01,453.663
2011-08-01,487.179
2011-09-01,497.952
2011-10-01,512.487
2011-11-01,567.72
2011-12-01,777.708
2012-01-01,464.778
2012-02-01,446.823
2012-03-01,456.057
2012-04-01,471.618
2012-05-01,491.283
2012-06-01,474.525
2012-07-01,488.034
2012-08-01,508.041
2012-09-01,537.624
2012-10-01,552.33
2012-11-01,592.515
2012-12-01,779.76
2013-01-01,459.135
2013-02-01,439.128
2013-03-01,462.897
2013-04-01,429.039
2013-05-01,455.544
2013-06-01,436.392
2013-07-01,446.31
2013-08-01,451.269
2013-09-01,472.473
2013-10-01,497.952
2013-11-01,521.208
2013-12-01,730.17
2014-01-01,477.774
2014-02-01,437.247
2014-03-01,458.793
2014-04-01,445.626
2014-05-01,444.771
2014-06-01,435.024
2014-07-01,427.329
2014-08-01,448.704
2014-09-01,461.529
2014-10-01,475.038
2014-11-01,518.13
2014-12-01,713.583
2015-01-01,454.518
2015-02-01,425.277
2015-03-01,467.001
2015-04-01,446.31
2015-05-01,455.373
2015-06-01,445.284
2015-07-01,458.793
2015-08-01,471.789
2015-09-01,475.722
2015-10-01,485.811
2015-11-01,511.632
2015-12-01,733.761
2016-01-01,454.86
2016-02-01,429.381
2016-03-01,461.529
2016-04-01,447.507
2016-05-01,468.027
2016-06-01,435.708
2016-07-01,470.592
2016-08-01,496.584
2016-09-01,524.457
2016-10-01,529.758
2016-11-01,554.553
2016-12-01,807.12
2017-01-01,488.889
2017-02-01,490.428
2017-03-01,470.763
2017-04-01,439.812
2017-05-01,488.718
2017-06-01,444.087
2017-07-01,446.652
2017-08-01,467.514
2017-09-01,470.592
2017-10-01,513.855
2017-11-01,553.185
2017-12-01,781.983
2018-01-01,497.268
2018-02-01,487.692
2018-03-01,514.026
2018-04-01,503.424
2018-05-01,521.379
2018-06-01,500.175
2018-07-01,522.063
2018-08-01,494.361
2018-09-01,506.502
2018-10-01,510.606
2018-11-01,548.91
2018-12-01,699.219
2019-01-01,455.202
2019-02-01,410.4
2019-03-01,457.425
2019-04-01,445.797
2019-05-01,466.488
2019-06-01,445.455
2019-07-01,459.135
2019-08-01,473.67
2019-09-01,476.577
2019-10-01,477.09
2019-11-01,546.003
2019-12-01,684.342
2020-01-01,506.502
2020-02-01,517.275
2020-03-01,531.468
2020-04-01,469.908
2020-05-01,456.57
2020-06-01,451.098
2020-07-01,503.766
2020-08-01,543.438
2020-09-01,547.884
2020-10-01,527.706
2020-11-01,731.025
2020-12-01,793.269
2021-01-01,493.506
2021-02-01,490.941
2021-03-01,539.676
2021-04-01,497.952
2021-05-01,528.903
2021-06-01,564.3
2021-07-01,559.17
2021-08-01,566.181
2021-09-01,589.266
2021-10-01,625.86
2021-11-01,913.482
2021-12-01,915.534
2022-01-01,623.295
2022-02-01,615.771
2022-03-01,684.513
2022-04-01,648.774
2022-05-01,675.621
2022-06-01,638.856
2022-07-01,684.171
2022-08-01,656.811
2022-09-01,664.164
2022-10-01,717.345
2022-11-01,992.484
2022-12-01,971.28
2023-01-01,662.796
2023-02-01,672.03
2023-03-01,742.995
2023-04-01,707.94
2023-05-01,745.389
2023-06-01,714.267
2023-07-01,755.991
2023-08-01,786.429
2023-09-01,861.669
2023-10-01,951.273
2023-11-01,1123.299
2023-12-01,1146.726
2024-01-01,791.901
2024-02-01,786.429
2024-03-01,879.966
2024-04-01,818.064
2024-05-01,867.312
2024-06-01,890.91
2024-07-01,873.297
2024-08-01,874.323
2024-09-01,886.122
2024-10-01,911.088
2024-11-01,1137.834
2024-12-01,1159.893
2025-01-01,821.655
2025-02-01,850.212
2025-03-01,869.535
2025-04-01,860.301
2025-05-01,930.24
2025-06-01,907.155
2025-07-01,895.869
2025-08-01,894.501
2025-09-01,917.928
2025-10-01,974.529
2025-11-01,1232.739
2025-12-01,1187.937
2026-01-01,876.033
2026-02-01,842.004
2026-03-01,906.129
2026-04-01,832.428
2026-05-01,895.869
2026-06-01,883.215
2026-07-01,885.267
2026-08-01,905.787
2026-09-01,873.81
2026-10-01,974.358
2026-11-01,1280.448
2026-12-01,1153.908
