ds,y
2006-01-01,77.14
2006-02-01,80.95
2006-03-01,99.997
2006-04-01,117.139
2006-05-01,98.092
2006-06-01,98.092
2006-07-01,90.473
2006-08-01,98.092
2006-09-01,89.521
2006-10-01,93.33
2006-11-01,103.806
2006-12-01,144.757
2007-01-01,87.616
2007-02-01,81.902
2007-03-01,94.283
2007-04-01,102.854
2007-05-01,99.997
2007-06-01,90.473
2007-07-01,91.426
2007-08-01,90.473
2007-09-01,80.95
2007-10-01,90.473
2007-11-01,103.806
2007-12-01,152.376
2008-01-01,84.759
2008-02-01,71.426
2008-03-01,87.616
2008-04-01,90.473
2008-05-01,91.426
2008-06-01,79.997
2008-07-01,90.473
2008-08-01,81.902
2008-09-01,84.759
2008-10-01,90.473
2008-11-01,98.092
2008-12-01,154.281
2009-01-01,82.854
2009-02-01,78.093
2009-03-01,83.807
2009-04-01,99.044
2009-05-01,99.044
2009-06-01,91.426
2009-07-01,86.664
2009-08-01,78.093
2009-09-01,94.283
2009-10-01,87.616
2009-11-01,97.14
2009-12-01,142.852
2010-01-01,80.95
2010-02-01,75.236
2010-03-01,88.569
2010-04-01,99.044
2010-05-01,88.569
2010-06-01,87.616
2010-07-01,87.616
2010-08-01,78.093
2010-09-01,80.95
2010-10-01,74.283
2010-11-01,82.854
2010-12-01,130.472
2011-01-01,67.617
2011-02-01,63.807
2011-03-01,68.569
2011-04-01,70.474
2011-05-01,69.522
2011-06-01,77.14
2011-07-01,56.189
2011-08-01,56.189
2011-09-01,60.95
2011-10-01,66.664
2011-11-01,84.759
2011-12-01,123.806
2012-01-01,70.474
2012-02-01,63.807
2012-03-01,77.14
2012-04-01,92.378
2012-05-01,88.569
2012-06-01,83.807
2012-07-01,79.997
2012-08-01,78.093
2012-09-01,79.045
2012-10-01,92.378
2012-11-01,113.33
2012-12-01,154.281
2013-01-01,97.14
2013-02-01,88.569
2013-03-01,100.949
2013-04-01,101.901
2013-05-01,109.52
2013-06-01,98.092
2013-07-01,91.426
2013-08-01,97.14
2013-09-01,90.473
2013-10-01,88.569
2013-11-01,113.33
2013-12-01,171.423
2014-01-01,100.949
2014-02-01,87.616
2014-03-01,104.758
2014-04-01,112.377
2014-05-01,105.711
2014-06-01,102.854
2014-07-01,92.378
2014-08-01,91.426
2014-09-01,94.283
2014-10-01,97.14
2014-11-01,106.663
2014-12-01,166.661
2015-01-01,103.806
2015-02-01,96.187
2015-03-01,105.711
2015-04-01,119.044
2015-05-01,105.711
2015-06-01,110.473
2015-07-01,100.949
2015-08-01,99.997
2015-09-01,104.758
2015-10-01,86.664
2015-11-01,103.806
2015-12-01,167.614
2016-01-01,102.854
2016-02-01,99.044
2016-03-01,113.33
2016-04-01,130.472
2016-05-01,121.901
2016-06-01,126.663
2016-07-01,111.425
2016-08-01,108.568
2016-09-01,119.996
2016-10-01,109.52
2016-11-01,134.281
2016-12-01,193.327
2017-01-01,128.567
2017-02-01,130.472
2017-03-01,142.852
2017-04-01,145.71
2017-05-01,137.138
2017-06-01,129.52
2017-07-01,131.424
2017-08-01,136.186
2017-09-01,148.567
2017-10-01,152.376
2017-11-01,159.042
2017-12-01,223.802
2018-01-01,146.662
2018-02-01,141.9
2018-03-01,159.042
2018-04-01,151.424
2018-05-01,151.424
2018-06-01,153.328
2018-07-01,129.52
2018-08-01,132.377
2018-09-01,130.472
2018-10-01,150.471
2018-11-01,177.137
2018-12-01,224.755
2019-01-01,148.567
2019-02-01,146.662
2019-03-01,165.709
2019-04-01,160.947
2019-05-01,151.424
2019-06-01,142.852
2019-07-01,139.043
2019-08-01,136.186
2019-09-01,142.852
2019-10-01,147.614
2019-11-01,160.947
2019-12-01,228.564
2020-01-01,144.757
2020-02-01,132.377
2020-03-01,173.328
2020-04-01,168.566
2020-05-01,160.947
2020-06-01,136.186
2020-07-01,131.424
2020-08-01,121.901
2020-09-01,120.948
2020-10-01,139.043
2020-11-01,158.09
2020-12-01,210.469
2021-01-01,143.805
2021-02-01,131.424
2021-03-01,155.233
2021-04-01,154.281
2021-05-01,149.519
2021-06-01,150.471
2021-07-01,153.328
2021-08-01,146.662
2021-09-01,149.519
2021-10-01,146.662
2021-11-01,160.947
2021-12-01,229.516
2022-01-01,142.852
2022-02-01,141.9
2022-03-01,164.757
2022-04-01,166.661
2022-05-01,163.804
2022-06-01,158.09
2022-07-01,216.183
2022-08-01,209.517
2022-09-01,212.374
2022-10-01,199.994
2022-11-01,209.517
2022-12-01,342.846
2023-01-01,192.375
2023-02-01,200.946
2023-03-01,209.517
2023-04-01,220.945
2023-05-01,229.516
2023-06-01,223.802
2023-07-01,208.565
2023-08-01,206.66
2023-09-01,199.041
2023-10-01,260.944
2023-11-01,277.134
2023-12-01,480.937
2024-01-01,278.086
2024-02-01,270.467
2024-03-01,267.61
2024-04-01,305.704
2024-05-01,317.133
2024-06-01,287.61
2024-07-01,323.799
2024-08-01,309.514
2024-09-01,285.705
2024-10-01,239.992
2024-11-01,278.086
2024-12-01,437.129
2025-01-01,279.991
2025-02-01,235.23
2025-03-01,269.515
2025-04-01,226.659
2025-05-01,227.612
2025-06-01,208.565
2025-07-01,232.373
2025-08-01,219.04
2025-09-01,211.422
2025-10-01,209.517
2025-11-01,227.612
2025-12-01,349.512
2026-01-01,238.088
2026-02-01,211.422
2026-03-01,240.945
2026-04-01,231.421
2026-05-01,233.326
2026-06-01,224.755
2026-07-01,235.23
2026-08-01,217.136
2026-09-01,224.755
2026-10-01,237.135
2026-11-01,244.754
2026-12-01,375.226
2027-01-01,264.753
2027-02-01,217.136
2027-03-01,235.23
2027-04-01,259.992
2027-05-01,222.85
2027-06-01,219.993
2027-07-01,224.755
2027-08-01,211.422
2027-09-01,217.136
2027-10-01,199.041
2027-11-01,236.183
2027-12-01,371.416
