ds,y
2011-01-01,1298.716
2011-04-01,995.146
2011-07-01,700.791
2011-10-01,1138.716
2012-01-01,1864.612
2012-04-01,1068.514
2012-07-01,659.466
2012-10-01,1188.537
2013-01-01,1927.87
2013-04-01,1314.13
2013-07-01,576.913
2013-10-01,1109.919
2014-01-01,1967.016
2014-04-01,1173.328
2014-07-01,739.603
2014-10-01,1152.487
2015-01-01,1707.695
2015-04-01,1295.828
2015-07-01,898.107
2015-10-01,688.853
2016-01-01,2211.416
2016-04-01,1426.124
2016-07-01,599.924
2016-10-01,986.691
2017-01-01,1545.516
2017-04-01,841.162
2017-07-01,811.872
2017-10-01,772.095
2018-01-01,1503.199
2018-04-01,1063.185
2018-07-01,785.989
2018-10-01,722.409
2019-01-01,1690.11
2019-04-01,1607.912
2019-07-01,486.299
2019-10-01,631.077
2020-01-01,2020.076
2020-04-01,1039.994
2020-07-01,742.145
2020-10-01,956.304
2021-01-01,1476.178
2021-04-01,1089.936
2021-07-01,694.907
2021-10-01,1106.461
2022-01-01,1600.676
2022-04-01,1222.11
2022-07-01,748.802
2022-10-01,1208.174
2023-01-01,2068.258
2023-04-01,1122.923
2023-07-01,576.697
2023-10-01,1159.161
2024-01-01,1128.315
2024-04-01,798.873
2024-07-01,584.098
2024-10-01,1287.766
2025-01-01,2079.742
2025-04-01,1092.813
2025-07-01,527.402
2025-10-01,1117.171
2026-01-01,1639.998
2026-04-01,1146.329
