ds,y
1999-04-01,11.451
1999-05-01,12.24
1999-06-01,12.635
1999-07-01,13.425
1999-08-01,12.635
1999-09-01,13.03
1999-10-01,13.03
1999-11-01,13.425
1999-12-01,19.348
2000-01-01,11.451
2000-02-01,11.846
2000-03-01,13.425
2000-04-01,13.82
2000-05-01,14.215
2000-06-01,13.82
2000-07-01,13.425
2000-08-01,13.425
2000-09-01,14.215
2000-10-01,13.03
2000-11-01,13.82
2000-12-01,18.163
2001-01-01,11.846
2001-02-01,11.451
2001-03-01,13.425
2001-04-01,11.056
2001-05-01,12.635
2001-06-01,15.004
2001-07-01,15.399
2001-08-01,14.609
2001-09-01,15.794
2001-10-01,16.189
2001-11-01,16.189
2001-12-01,19.742
2002-01-01,15.004
2002-02-01,15.399
2002-03-01,16.189
2002-04-01,13.82
2002-05-01,15.399
2002-06-01,15.794
2002-07-01,15.794
2002-08-01,15.794
2002-09-01,16.979
2002-10-01,14.215
2002-11-01,13.82
2002-12-01,19.742
2003-01-01,13.425
2003-02-01,13.03
2003-03-01,13.425
2003-04-01,13.03
2003-05-01,13.82
2003-06-01,13.425
2003-07-01,13.82
2003-08-01,14.215
2003-09-01,14.215
2003-10-01,15.004
2003-11-01,13.425
2003-12-01,16.979
2004-01-01,13.425
2004-02-01,14.609
2004-03-01,13.82
2004-04-01,12.24
2004-05-01,11.846
2004-06-01,11.056
2004-07-01,20.137
2004-08-01,20.532
2004-09-01,18.558
2004-10-01,22.506
2004-11-01,20.532
2004-12-01,25.665
2005-01-01,18.953
2005-02-01,20.137
2005-03-01,23.691
2005-04-01,22.112
2005-05-01,21.322
2005-06-01,20.927
2005-07-01,20.532
2005-08-01,20.137
2005-09-01,21.717
2005-10-01,23.296
2005-11-01,22.112
2005-12-01,26.85
2006-01-01,22.506
2006-02-01,19.742
2006-03-01,21.717
2006-04-01,18.953
2006-05-01,18.953
2006-06-01,21.322
2006-07-01,22.506
2006-08-01,22.112
2006-09-01,21.717
2006-10-01,22.506
2006-11-01,26.06
2006-12-01,39.88
2007-01-01,26.455
2007-02-01,27.64
2007-03-01,29.219
2007-04-01,29.219
2007-05-01,27.245
2007-06-01,31.983
2007-07-01,26.455
2007-08-01,27.245
2007-09-01,28.034
2007-10-01,26.85
2007-11-01,27.64
2007-12-01,33.957
2008-01-01,21.717
2008-02-01,21.322
2008-03-01,21.717
2008-04-01,18.953
2008-05-01,22.901
2008-06-01,23.691
2008-07-01,23.691
2008-08-01,27.245
2008-09-01,27.245
2008-10-01,31.588
2008-11-01,32.378
2008-12-01,39.09
2009-01-01,28.429
2009-02-01,25.27
2009-03-01,26.455
2009-04-01,25.665
2009-05-01,27.245
2009-06-01,28.824
2009-07-01,31.193
2009-08-01,35.537
2009-09-01,32.378
2009-10-01,31.983
2009-11-01,31.588
2009-12-01,36.721
2010-01-01,31.193
2010-02-01,26.85
2010-03-01,31.193
2010-04-01,28.824
2010-05-01,32.378
2010-06-01,31.193
2010-07-01,34.747
2010-08-01,38.3
2010-09-01,39.485
2010-10-01,45.803
2010-11-01,44.223
2010-12-01,53.305
2011-01-01,38.3
2011-02-01,34.747
2011-03-01,37.906
2011-04-01,37.906
2011-05-01,40.275
2011-06-01,43.828
2011-07-01,35.537
2011-08-01,38.695
2011-09-01,35.537
2011-10-01,39.09
2011-11-01,40.275
2011-12-01,45.408
2012-01-01,36.326
2012-02-01,32.378
2012-03-01,35.142
2012-04-01,32.378
2012-05-01,31.983
2012-06-01,35.931
2012-07-01,34.747
2012-08-01,38.3
2012-09-01,38.695
2012-10-01,41.459
2012-11-01,43.828
2012-12-01,59.622
2013-01-01,38.695
2013-02-01,37.116
2013-03-01,40.67
2013-04-01,37.906
2013-05-01,40.275
2013-06-01,43.434
2013-07-01,45.408
2013-08-01,48.172
2013-09-01,47.777
2013-10-01,45.408
2013-11-01,46.987
2013-12-01,60.807
2014-01-01,41.854
2014-02-01,40.275
2014-03-01,46.987
2014-04-01,43.434
2014-05-01,47.382
2014-06-01,48.172
2014-07-01,50.936
2014-08-01,58.438
2014-09-01,60.412
2014-10-01,58.833
2014-11-01,60.412
2014-12-01,84.103
2015-01-01,52.12
2015-02-01,50.146
2015-03-01,51.725
2015-04-01,51.725
2015-05-01,54.884
2015-06-01,56.858
2015-07-01,58.833
2015-08-01,63.176
2015-09-01,61.597
2015-10-01,65.15
2015-11-01,63.966
2015-12-01,92.395
2016-01-01,58.833
2016-02-01,50.936
2016-03-01,58.833
2016-04-01,50.146
2016-05-01,55.279
2016-06-01,59.228
2016-07-01,58.043
2016-08-01,59.228
2016-09-01,58.043
2016-10-01,65.545
2016-11-01,69.888
2016-12-01,92.395
2017-01-01,59.228
2017-02-01,52.515
2017-03-01,57.253
2017-04-01,54.489
2017-05-01,55.674
2017-06-01,54.094
2017-07-01,61.202
2017-08-01,66.73
2017-09-01,68.309
2017-10-01,64.755
2017-11-01,68.309
2017-12-01,89.236
2018-01-01,64.361
2018-02-01,55.279
2018-03-01,63.966
2018-04-01,58.438
2018-05-01,60.807
2018-06-01,65.545
2018-07-01,65.545
2018-08-01,71.863
2018-09-01,72.652
2018-10-01,71.863
2018-11-01,73.047
2018-12-01,95.949
2019-01-01,68.309
2019-02-01,61.991
2019-03-01,71.863
2019-04-01,61.202
2019-05-01,67.519
2019-06-01,75.416
2019-07-01,74.232
2019-08-01,76.601
2019-09-01,70.678
2019-10-01,76.996
2019-11-01,74.232
2019-12-01,104.635
2020-01-01,64.361
2020-02-01,55.674
2020-03-01,59.228
2020-04-01,50.541
2020-05-01,55.279
2020-06-01,60.017
2020-07-01,62.781
2020-08-01,62.781
2020-09-01,58.833
2020-10-01,58.833
2020-11-01,61.202
2020-12-01,82.524
