ds,y
1986-10-01,132.753
1986-11-01,129.361
1986-12-01,126.454
1987-01-01,123.386
1987-02-01,121.932
1987-03-01,119.833
1987-04-01,117.734
1987-05-01,122.901
1987-06-01,128.393
1987-07-01,133.076
1987-08-01,132.107
1987-09-01,132.592
1987-10-01,133.56
1987-11-01,130.492
1987-12-01,128.231
1988-01-01,124.032
1988-02-01,127.746
1988-03-01,122.256
1988-04-01,117.572
1988-05-01,123.386
1988-06-01,131.622
1988-07-01,137.114
1988-08-01,138.244
1988-09-01,139.698
1988-10-01,139.374
1988-11-01,136.144
1988-12-01,132.753
1989-01-01,130.169
1989-02-01,130.492
1989-03-01,126.939
1989-04-01,122.578
1989-05-01,128.07
1989-06-01,133.884
1989-07-01,138.728
1989-08-01,138.89
1989-09-01,137.921
1989-10-01,135.983
1989-11-01,134.529
1989-12-01,131.461
1990-01-01,130.815
1990-02-01,130.008
1990-03-01,125.647
1990-04-01,121.448
1990-05-01,124.84
1990-06-01,133.238
1990-07-01,136.468
1990-08-01,139.698
1990-09-01,140.344
1990-10-01,141.636
1990-11-01,137.436
1990-12-01,136.79
1991-01-01,129.846
1991-02-01,129.2
1991-03-01,126.293
1991-04-01,122.094
1991-05-01,124.84
1991-06-01,131.3
1991-07-01,133.884
1991-08-01,136.468
1991-09-01,134.691
1991-10-01,133.399
1991-11-01,131.461
1991-12-01,129.684
1992-01-01,128.554
1992-02-01,127.585
1992-03-01,124.194
1992-04-01,123.87
1992-05-01,127.424
1992-06-01,133.722
1992-07-01,136.952
1992-08-01,139.374
1992-09-01,140.505
1992-10-01,139.374
1992-11-01,136.306
1992-12-01,133.884
1993-01-01,126.616
1993-02-01,124.84
1993-03-01,120.964
1993-04-01,119.187
1993-05-01,124.516
1993-06-01,130.492
1993-07-01,133.56
1993-08-01,135.337
1993-09-01,135.498
1993-10-01,135.337
1993-11-01,132.592
1993-12-01,131.784
1994-01-01,125.97
1994-02-01,125.324
1994-03-01,121.61
1994-04-01,117.895
1994-05-01,124.516
1994-06-01,131.622
1994-07-01,138.567
1994-08-01,139.536
1994-09-01,137.436
1994-10-01,139.536
1994-11-01,134.852
1994-12-01,129.038
1995-01-01,126.293
1995-02-01,126.293
1995-03-01,119.672
1995-04-01,115.311
1995-05-01,121.932
1995-06-01,129.361
1995-07-01,134.852
1995-08-01,134.529
1995-09-01,134.368
1995-10-01,134.368
1995-11-01,130.169
1995-12-01,123.063
1996-01-01,120.318
1996-02-01,114.504
1996-03-01,110.95
1996-04-01,107.398
1996-05-01,113.696
1996-06-01,121.771
1996-07-01,123.224
1996-08-01,126.131
1996-09-01,123.87
1996-10-01,124.194
1996-11-01,121.448
1996-12-01,116.441
1997-01-01,111.596
1997-02-01,111.92
1997-03-01,107.398
1997-04-01,104.975
1997-05-01,109.658
1997-06-01,114.665
1997-07-01,116.119
1997-08-01,118.056
1997-09-01,118.702
1997-10-01,117.734
1997-11-01,117.734
1997-12-01,115.472
1998-01-01,110.466
1998-02-01,110.628
1998-03-01,103.683
1998-04-01,100.292
1998-05-01,106.913
1998-06-01,115.634
1998-07-01,115.311
1998-08-01,116.764
1998-09-01,116.926
1998-10-01,119.187
1998-11-01,117.572
1998-12-01,111.92
1999-01-01,105.621
1999-02-01,104.975
1999-03-01,103.844
1999-04-01,103.037
1999-05-01,107.236
1999-06-01,109.982
1999-07-01,112.404
1999-08-01,113.696
1999-09-01,115.311
1999-10-01,113.696
1999-11-01,110.95
1999-12-01,108.851
2000-01-01,105.459
2000-02-01,104.975
2000-03-01,102.876
2000-04-01,94.962
2000-05-01,100.292
2000-06-01,104.814
2000-07-01,108.69
2000-08-01,110.143
2000-09-01,110.304
2000-10-01,109.658
2000-11-01,107.236
2000-12-01,104.975
2001-01-01,102.23
2001-02-01,101.584
2001-03-01,100.292
2001-04-01,98.03
2001-05-01,104.006
2001-06-01,106.752
2001-07-01,108.69
2001-08-01,108.205
2001-09-01,106.59
2001-10-01,105.621
2001-11-01,103.683
2001-12-01,101.584
2002-01-01,97.869
2002-02-01,97.223
2002-03-01,94.962
2002-04-01,91.894
2002-05-01,94.154
2002-06-01,99.646
2002-07-01,99.161
2002-08-01,99.646
2002-09-01,99.484
2002-10-01,97.708
2002-11-01,97.384
2002-12-01,96.254
2003-01-01,93.347
2003-02-01,91.248
2003-03-01,88.825
2003-04-01,88.018
2003-05-01,89.31
2003-06-01,89.148
2003-07-01,91.732
2003-08-01,93.508
2003-09-01,94.316
2003-10-01,95.124
2003-11-01,92.539
2003-12-01,88.825
2004-01-01,86.08
2004-02-01,85.434
2004-03-01,77.036
2004-04-01,74.452
2004-05-01,77.036
2004-06-01,79.781
2004-07-01,81.719
2004-08-01,83.98
2004-09-01,86.887
2004-10-01,84.626
2004-11-01,81.234
2004-12-01,79.297
2005-01-01,77.358
2005-02-01,77.682
2005-03-01,77.036
2005-04-01,76.551
2005-05-01,79.458
2005-06-01,81.234
2005-07-01,83.818
2005-08-01,85.756
2005-09-01,83.818
2005-10-01,83.818
2005-11-01,80.104
2005-12-01,76.712
2006-01-01,76.712
2006-02-01,77.682
2006-03-01,77.682
2006-04-01,72.675
2006-05-01,75.259
2006-06-01,77.036
2006-07-01,81.396
2006-08-01,81.719
2006-09-01,81.88
2006-10-01,80.104
2006-11-01,81.396
2006-12-01,79.619
2007-01-01,79.135
2007-02-01,77.843
2007-03-01,76.228
2007-04-01,73.321
2007-05-01,80.104
2007-06-01,83.011
2007-07-01,85.595
2007-08-01,86.564
2007-09-01,87.856
2007-10-01,87.048
2007-11-01,84.949
2007-12-01,83.657
2008-01-01,78.974
2008-02-01,79.942
2008-03-01,79.135
2008-04-01,78.651
2008-05-01,81.396
2008-06-01,84.303
2008-07-01,84.626
2008-08-01,86.887
2008-09-01,88.179
